year,month,status,bytes
2019,1,OK,450178
2019,2,OK,406026
2019,3,OK,443439
2019,4,OK,442993
2019,5,OK,464129
2019,6,OK,459498
2019,7,OK,480172
2019,8,OK,467170
2019,9,OK,453008
2019,10,OK,468385
2019,11,OK,451056
2019,12,OK,464301
2020,1,OK,469558
2020,2,OK,437971
2020,3,OK,479177
2020,4,OK,456571
2020,5,OK,477076
2020,6,OK,450231
2020,7,OK,465604
2020,8,OK,474677
2020,9,OK,458044
2020,10,OK,469954
2020,11,OK,468732
2020,12,OK,484075
2021,1,OK,502729
2021,2,OK,452415
2021,3,OK,498443
2021,4,OK,475842
2021,5,OK,504630
2021,6,OK,482776
2021,7,OK,488756
2021,8,OK,485921
2021,9,OK,459071
2021,10,OK,477592
2021,11,OK,461307
2021,12,OK,473801
2022,1,OK,471666
2022,2,OK,426425
2022,3,OK,470542
2022,4,OK,451680
2022,5,OK,472624
2022,6,OK,458989
2022,7,OK,484900
2022,8,OK,487491
2022,9,OK,475148
2022,10,OK,484426
2022,11,OK,472167
2022,12,OK,477480
2023,1,OK,485503
2023,2,OK,443952
2023,3,OK,486093
2023,4,OK,446470
2023,5,OK,458040
2023,6,OK,443755
2023,7,OK,446813
2023,8,OK,443882
2023,9,OK,431662
2023,10,OK,455417
2023,11,OK,444556
2023,12,OK,462569
2024,1,OK,465498
2024,2,OK,434210
2024,3,OK,474003
2024,4,OK,454656
2024,5,OK,462542
2024,6,OK,440069
2024,7,OK,461448
2024,8,OK,464434
2024,9,OK,441999
2024,10,OK,458990
2024,11,OK,458714
2024,12,OK,474874
2025,1,OK,477793
2025,2,OK,428947
2025,3,OK,475553
2025,4,OK,456750
2025,5,OK,473236
2025,6,OK,452618
2025,7,OK,466153
2025,8,OK,467590
2025,9,OK,448044
2025,10,OK,479009
2025,11,OK,463951
2025,12,OK,467107
