date,direction,prior_close,signal_px,entry,exit,gross_points,net_points,net_usd,scenario
2026-01-21 00:00:00-05:00,long,6833.25,6910.5,6910.5,6910.75,0.25,-0.35,-17.5,PRIMARY
2026-01-22 00:00:00-05:00,long,6910.75,6938.25,6938.25,6946.0,7.75,7.15,357.5,PRIMARY
2026-01-23 00:00:00-05:00,short,6946.0,6942.5,6942.5,6945.5,-3.0,-3.6,-180.0,PRIMARY
2026-01-26 00:00:00-05:00,long,6945.5,6989.0,6989.0,6980.5,-8.5,-9.1,-455.0,PRIMARY
2026-01-27 00:00:00-05:00,long,6980.5,7013.25,7013.25,7009.0,-4.25,-4.85,-242.49999999999997,PRIMARY
2026-01-28 00:00:00-05:00,short,7009.0,7006.25,7006.25,7006.75,-0.5,-1.1,-55.00000000000001,PRIMARY
2026-01-29 00:00:00-05:00,short,7006.75,6966.5,6966.5,6990.0,-23.5,-24.1,-1205.0,PRIMARY
2026-01-30 00:00:00-05:00,short,6990.0,6948.25,6948.5,6968.25,-19.75,-20.35,-1017.5000000000001,PRIMARY
2026-02-02 00:00:00-05:00,long,6968.25,7005.75,7005.5,7003.0,-2.5,-3.1,-155.0,PRIMARY
2026-02-03 00:00:00-05:00,short,7003.0,6921.75,6921.75,6940.75,-19.0,-19.6,-980.0000000000001,PRIMARY
2026-02-04 00:00:00-05:00,short,6940.75,6920.75,6920.75,6906.5,14.25,13.65,682.5,PRIMARY
2026-02-05 00:00:00-05:00,short,6906.5,6821.75,6821.5,6817.75,3.75,3.15,157.5,PRIMARY
2026-02-06 00:00:00-05:00,long,6817.75,6939.5,6939.5,6948.5,9.0,8.4,420.0,PRIMARY
2026-02-09 00:00:00-05:00,long,6948.5,6987.0,6987.0,6980.25,-6.75,-7.35,-367.5,PRIMARY
2026-02-10 00:00:00-05:00,short,6980.25,6973.75,6973.5,6961.25,12.25,11.65,582.5,PRIMARY
2026-02-11 00:00:00-05:00,long,6961.25,6962.0,6962.0,6958.75,-3.25,-3.85,-192.5,PRIMARY
2026-02-12 00:00:00-05:00,short,6958.75,6870.25,6870.0,6851.0,19.0,18.4,919.9999999999999,PRIMARY
2026-02-13 00:00:00-05:00,short,6851.0,6841.0,6841.0,6850.0,-9.0,-9.6,-480.0,PRIMARY
2026-02-17 00:00:00-05:00,long,6850.0,6863.25,6863.0,6862.5,-0.5,-1.1,-55.00000000000001,PRIMARY
2026-02-18 00:00:00-05:00,long,6862.5,6875.25,6875.25,6895.25,20.0,19.4,969.9999999999999,PRIMARY
2026-02-19 00:00:00-05:00,short,6895.25,6861.5,6861.25,6877.75,-16.5,-17.1,-855.0000000000001,PRIMARY
2026-02-20 00:00:00-05:00,long,6877.75,6914.5,6914.5,6924.75,10.25,9.65,482.5,PRIMARY
2026-02-23 00:00:00-05:00,short,6924.75,6843.0,6843.0,6854.0,-11.0,-11.6,-580.0,PRIMARY
2026-02-24 00:00:00-05:00,long,6854.0,6894.5,6894.5,6903.25,8.75,8.15,407.5,PRIMARY
