year,week,status
2012,1,ok
2012,2,ok
2012,3,ok
2012,4,ok
2012,5,ok
2012,6,ok
2012,7,ok
2012,8,ok
2012,9,ok
2012,10,ok
2012,11,ok
2012,12,ok
2012,13,ok
2012,14,ok
2012,15,ok
2012,16,ok
2012,17,ok
2012,18,ok
2012,19,ok
2012,20,ok
2012,21,ok
2012,22,ok
2012,23,ok
2012,24,ok
2012,25,ok
2012,26,ok
2012,27,ok
2012,28,ok
2012,29,ok
2012,30,ok
2012,31,ok
2012,32,ok
2012,33,ok
2012,34,ok
2012,35,ok
2012,36,ok
2012,37,ok
2012,38,ok
2012,39,ok
2012,40,ok
2012,41,ok
2012,42,ok
2012,43,ok
2012,44,ok
2012,45,ok
2012,46,ok
2012,47,ok
2012,48,ok
2012,49,ok
2012,50,ok
2012,51,ok
2012,52,ok
2012,53,ok
2013,1,ok
2013,2,ok
2013,3,ok
2013,4,ok
2013,5,ok
2013,6,ok
2013,7,ok
2013,8,ok
2013,9,ok
2013,10,ok
2013,11,ok
2013,12,ok
2013,13,ok
2013,14,ok
2013,15,ok
2013,16,ok
2013,17,ok
2013,18,ok
2013,19,ok
2013,20,ok
2013,21,ok
2013,22,ok
2013,23,ok
2013,24,ok
2013,25,ok
2013,26,ok
2013,27,ok
2013,28,ok
2013,29,ok
2013,30,ok
2013,31,ok
2013,32,ok
2013,33,ok
2013,34,ok
2013,35,ok
2013,36,ok
2013,37,ok
2013,38,ok
2013,39,ok
2013,40,ok
2013,41,ok
2013,42,ok
2013,43,ok
2013,44,ok
2013,45,ok
2013,46,ok
2013,47,ok
2013,48,ok
2013,49,ok
2013,50,ok
2013,51,ok
2013,52,ok
2013,53,ok
2014,1,ok
2014,2,ok
2014,3,ok
2014,4,ok
2014,5,ok
2014,6,ok
2014,7,ok
2014,8,ok
2014,9,ok
2014,10,ok
2014,11,ok
2014,12,ok
2014,13,ok
2014,14,ok
2014,15,ok
2014,16,ok
2014,17,ok
2014,18,ok
2014,19,ok
2014,20,ok
2014,21,ok
2014,22,ok
2014,23,ok
2014,24,ok
2014,25,ok
2014,26,ok
2014,27,ok
2014,28,ok
2014,29,ok
2014,30,ok
2014,31,ok
2014,32,ok
2014,33,ok
2014,34,ok
2014,35,ok
2014,36,ok
2014,37,ok
2014,38,ok
2014,39,ok
2014,40,ok
2014,41,ok
2014,42,ok
2014,43,ok
2014,44,ok
2014,45,ok
2014,46,ok
2014,47,ok
2014,48,ok
2014,49,ok
2014,50,ok
2014,51,ok
2014,52,ok
2014,53,ok
2015,1,ok
2015,2,ok
2015,3,ok
2015,4,ok
2015,5,ok
2015,6,ok
2015,7,ok
2015,8,ok
2015,9,ok
2015,10,ok
2015,11,ok
2015,12,ok
2015,13,ok
2015,14,ok
2015,15,ok
2015,16,ok
2015,17,ok
2015,18,ok
2015,19,ok
2015,20,ok
2015,21,ok
2015,22,ok
2015,23,ok
2015,24,ok
2015,25,ok
2015,26,ok
2015,27,ok
2015,28,ok
2015,29,ok
2015,30,ok
2015,31,ok
2015,32,ok
2015,33,ok
2015,34,ok
2015,35,ok
2015,36,ok
2015,37,ok
2015,38,ok
2015,39,ok
2015,40,ok
2015,41,ok
2015,42,ok
2015,43,ok
2015,44,ok
2015,45,ok
2015,46,ok
2015,47,ok
2015,48,ok
2015,49,ok
2015,50,ok
2015,51,ok
2015,52,ok
2015,53,404
2016,1,ok
2016,2,ok
2016,3,ok
2016,4,ok
2016,5,ok
2016,6,ok
2016,7,ok
2016,8,ok
2016,9,ok
2016,10,ok
2016,11,ok
2016,12,ok
2016,13,ok
2016,14,ok
2016,15,ok
2016,16,ok
2016,17,ok
2016,18,ok
2016,19,ok
2016,20,ok
2016,21,ok
2016,22,ok
2016,23,ok
2016,24,ok
2016,25,ok
2016,26,ok
2016,27,ok
2016,28,ok
2016,29,ok
2016,30,ok
2016,31,ok
2016,32,ok
2016,33,ok
2016,34,ok
2016,35,ok
2016,36,ok
2016,37,ok
2016,38,ok
2016,39,ok
2016,40,ok
2016,41,ok
2016,42,ok
2016,43,ok
2016,44,ok
2016,45,ok
2016,46,ok
2016,47,ok
2016,48,ok
2016,49,ok
2016,50,ok
2016,51,ok
2016,52,ok
2016,53,404
2017,1,ok
2017,2,ok
2017,3,ok
2017,4,ok
2017,5,ok
2017,6,ok
2017,7,ok
2017,8,ok
2017,9,ok
2017,10,ok
2017,11,ok
2017,12,ok
2017,13,ok
2017,14,ok
2017,15,ok
2017,16,ok
2017,17,ok
2017,18,ok
2017,19,ok
2017,20,ok
2017,21,ok
2017,22,ok
2017,23,ok
2017,24,ok
2017,25,ok
2017,26,ok
2017,27,ok
2017,28,ok
2017,29,ok
2017,30,ok
2017,31,ok
2017,32,ok
2017,33,ok
2017,34,ok
2017,35,ok
2017,36,ok
2017,37,ok
2017,38,ok
2017,39,ok
2017,40,ok
2017,41,ok
2017,42,ok
2017,43,ok
2017,44,ok
2017,45,ok
2017,46,ok
2017,47,ok
2017,48,ok
2017,49,ok
2017,50,ok
2017,51,ok
2017,52,ok
2017,53,404
2018,1,ok
2018,2,ok
2018,3,ok
2018,4,ok
2018,5,ok
2018,6,ok
2018,7,ok
2018,8,ok
2018,9,ok
2018,10,ok
2018,11,ok
2018,12,ok
2018,13,ok
2018,14,ok
2018,15,ok
2018,16,ok
2018,17,ok
2018,18,ok
2018,19,ok
2018,20,ok
2018,21,ok
2018,22,ok
2018,23,ok
2018,24,ok
2018,25,ok
2018,26,ok
2018,27,ok
2018,28,ok
2018,29,ok
2018,30,ok
2018,31,ok
2018,32,ok
2018,33,ok
2018,34,ok
2018,35,ok
2018,36,ok
2018,37,ok
2018,38,ok
2018,39,ok
2018,40,ok
2018,41,ok
2018,42,ok
2018,43,ok
2018,44,ok
2018,45,ok
2018,46,ok
2018,47,ok
2018,48,ok
2018,49,ok
2018,50,ok
2018,51,ok
2018,52,ok
2018,53,ok
2019,1,404
2019,2,ok
2019,3,ok
2019,4,ok
2019,5,ok
2019,6,ok
2019,7,ok
2019,8,ok
2019,9,ok
2019,10,ok
2019,11,ok
2019,12,ok
2019,13,ok
2019,14,ok
2019,15,ok
2019,16,ok
2019,17,ok
2019,18,ok
2019,19,ok
2019,20,ok
2019,21,ok
2019,22,ok
2019,23,ok
2019,24,ok
2019,25,ok
2019,26,ok
2019,27,ok
2019,28,ok
2019,29,ok
2019,30,ok
2019,31,ok
2019,32,ok
2019,33,ok
2019,34,ok
2019,35,ok
2019,36,ok
2019,37,ok
2019,38,ok
2019,39,ok
2019,40,ok
2019,41,ok
2019,42,ok
2019,43,ok
2019,44,ok
2019,45,ok
2019,46,ok
2019,47,ok
2019,48,ok
2019,49,ok
2019,50,ok
2019,51,ok
2019,52,ok
2019,53,ok
2020,1,404
2020,2,ok
2020,3,ok
2020,4,ok
2020,5,ok
2020,6,ok
2020,7,ok
2020,8,ok
2020,9,ok
2020,10,ok
2020,11,ok
2020,12,ok
2020,13,ok
2020,14,ok
2020,15,ok
2020,16,ok
2020,17,ok
2020,18,ok
2020,19,ok
2020,20,ok
2020,21,ok
2020,22,ok
2020,23,ok
2020,24,ok
2020,25,ok
2020,26,ok
2020,27,ok
2020,28,ok
2020,29,ok
2020,30,ok
2020,31,ok
2020,32,ok
2020,33,ok
2020,34,ok
2020,35,ok
2020,36,ok
2020,37,ok
2020,38,ok
2020,39,ok
2020,40,ok
2020,41,ok
2020,42,ok
2020,43,ok
2020,44,ok
2020,45,ok
2020,46,ok
2020,47,ok
2020,48,ok
2020,49,ok
2020,50,ok
2020,51,ok
2020,52,ok
2020,53,ok
2021,1,ok
2021,2,ok
2021,3,ok
2021,4,ok
2021,5,ok
2021,6,ok
2021,7,ok
2021,8,ok
2021,9,ok
2021,10,ok
2021,11,ok
2021,12,ok
2021,13,ok
2021,14,ok
2021,15,ok
2021,16,ok
2021,17,ok
2021,18,ok
2021,19,ok
2021,20,ok
2021,21,ok
2021,22,ok
2021,23,ok
2021,24,ok
2021,25,ok
