key,entry_time,exit_time,direction,model,tag,entry,exit,stop,target,reason,risk_ticks,total_r,primary_r,stress_r
2026-08-21 10:31:00|or_rev|long,2026-08-21 10:31:00,2026-08-21 10:32:00,long,or_rev,or_rev_long,29286.25,29304.4375,29275.5,29394.0,trail,43.0,1.691860465116279,1.5988372093023255,1.505813953488372
2026-08-21 13:06:00|kalman_mom|long,2026-08-21 13:06:00,2026-08-21 13:08:00,long,kalman_mom,kalman_mom_long,29412.75,29412.6875,29402.0,29438.75,trail,43.0,-0.005813953488372,-0.0988372093023255,-0.1918604651162789
2026-08-21 13:45:00|pm_mom|long,2026-08-21 13:45:00,2026-08-21 13:50:00,long,pm_mom,pm_mom_long,29404.75,29393.1875,29393.25,29427.75,trail,46.0,-1.0054347826086956,-1.092391304347826,-1.1793478260869563
2026-08-24 09:51:00|ou_rev|long,2026-08-24 09:51:00,2026-08-24 09:52:00,long,ou_rev,ou_rev_long,28990.75,28990.6875,28972.75,29075.0,trail,72.0,-0.0034722222222222,-0.0590277777777777,-0.1145833333333333
2026-08-24 10:04:00|vwap_scalp|long,2026-08-24 10:04:00,2026-08-24 10:04:00,long,vwap_scalp,vwap_scalp_long,28976.5,28966.1875,28966.25,29015.5,stop,41.0,-1.0060975609756098,-1.103658536585366,-1.201219512195122
2026-08-24 10:10:00|ou_rev|long,2026-08-24 10:10:00,2026-08-24 10:11:00,long,ou_rev,ou_rev_long,28977.0,28958.9375,28959.0,29047.75,stop,72.0,-1.0034722222222223,-1.059027777777778,-1.1145833333333337
2026-08-24 10:14:00|ou_rev|long,2026-08-24 10:14:00,2026-08-24 10:15:00,long,ou_rev,ou_rev_long,28970.5,28998.9375,28952.5,29044.25,trail,72.0,1.5798611111111112,1.5243055555555556,1.46875
2026-08-24 10:27:00|vwap_scalp|long,2026-08-24 10:27:00,2026-08-24 10:28:00,long,vwap_scalp,vwap_scalp_long,28989.5,29019.4375,28978.25,29013.5,trail,45.0,2.661111111111111,2.572222222222222,2.4833333333333334
2026-08-25 10:09:00|or_rev|long,2026-08-25 10:09:00,2026-08-25 10:13:00,long,or_rev,or_rev_long,29256.75,29256.6875,29243.0,29327.75,trail,55.0,-0.0045454545454545,-0.0772727272727272,-0.1499999999999999
2026-08-25 10:51:00|ou_rev|long,2026-08-25 10:51:00,2026-08-25 10:52:00,long,ou_rev,ou_rev_long,29224.25,29249.9375,29207.25,29292.5,trail,68.0,1.5110294117647058,1.4522058823529411,1.3933823529411764
