dt,date,contract,segment,open,high,low,close,volume
2019-05-06 03:00:00,2019-05-06,MNQ 06-19,0,7692.75,7696.5,7688.5,7695.5,35.0
2019-05-06 03:15:00,2019-05-06,MNQ 06-19,0,7694.25,7725.0,7693.25,7721.25,278.0
2019-05-06 03:30:00,2019-05-06,MNQ 06-19,0,7716.25,7719.0,7697.5,7698.75,54.0
2019-05-06 03:45:00,2019-05-06,MNQ 06-19,0,7702.5,7708.0,7690.25,7703.5,139.0
2019-05-06 04:00:00,2019-05-06,MNQ 06-19,0,7703.5,7707.5,7695.0,7703.75,39.0
2019-05-06 04:15:00,2019-05-06,MNQ 06-19,0,7702.5,7702.5,7696.25,7700.25,9.0
2019-05-06 04:30:00,2019-05-06,MNQ 06-19,0,7700.25,7700.25,7687.25,7687.25,26.0
2019-05-06 04:45:00,2019-05-06,MNQ 06-19,0,7689.0,7689.75,7673.25,7680.5,82.0
2019-05-06 05:00:00,2019-05-06,MNQ 06-19,0,7679.5,7682.0,7676.0,7679.75,29.0
2019-05-06 05:15:00,2019-05-06,MNQ 06-19,0,7681.5,7681.5,7677.75,7679.0,26.0
2019-05-06 05:30:00,2019-05-06,MNQ 06-19,0,7683.0,7685.75,7682.0,7685.0,12.0
2019-05-06 05:45:00,2019-05-06,MNQ 06-19,0,7684.0,7692.0,7682.75,7691.0,14.0
2019-05-06 06:00:00,2019-05-06,MNQ 06-19,0,7692.75,7693.25,7685.0,7690.75,125.0
2019-05-06 06:15:00,2019-05-06,MNQ 06-19,0,7690.25,7696.25,7690.25,7694.25,22.0
2019-05-06 06:30:00,2019-05-06,MNQ 06-19,0,7692.75,7696.5,7691.5,7692.0,25.0
2019-05-06 06:45:00,2019-05-06,MNQ 06-19,0,7690.25,7702.0,7688.25,7702.0,34.0
2019-05-06 07:00:00,2019-05-06,MNQ 06-19,0,7698.75,7707.0,7698.75,7707.0,51.0
2019-05-06 07:15:00,2019-05-06,MNQ 06-19,0,7700.75,7701.25,7695.0,7700.0,70.0
2019-05-06 07:30:00,2019-05-06,MNQ 06-19,0,7700.25,7711.25,7700.25,7709.25,204.0
2019-05-06 07:45:00,2019-05-06,MNQ 06-19,0,7710.75,7710.75,7706.5,7706.75,11.0
2019-05-06 08:00:00,2019-05-06,MNQ 06-19,0,7707.75,7710.5,7704.0,7708.25,98.0
2019-05-06 08:15:00,2019-05-06,MNQ 06-19,0,7708.75,7722.5,7706.75,7722.0,842.0
2019-05-07 03:00:00,2019-05-07,MNQ 06-19,0,7787.75,7791.0,7784.0,7785.25,45.0
2019-05-07 03:15:00,2019-05-07,MNQ 06-19,0,7787.5,7792.5,7778.5,7780.75,124.0
2019-05-07 03:30:00,2019-05-07,MNQ 06-19,0,7782.25,7791.0,7782.25,7791.0,105.0
2019-05-07 03:45:00,2019-05-07,MNQ 06-19,0,7791.0,7791.0,7781.0,7783.5,76.0
2019-05-07 04:00:00,2019-05-07,MNQ 06-19,0,7784.5,7785.75,7778.25,7780.25,28.0
2019-05-07 04:15:00,2019-05-07,MNQ 06-19,0,7779.5,7779.5,7772.0,7776.75,196.0
2019-05-07 04:30:00,2019-05-07,MNQ 06-19,0,7775.25,7775.25,7771.5,7772.0,40.0
2019-05-07 04:45:00,2019-05-07,MNQ 06-19,0,7773.0,7773.0,7765.5,7767.5,42.0
2019-05-07 05:00:00,2019-05-07,MNQ 06-19,0,7766.25,7768.0,7759.25,7763.0,69.0
2019-05-07 05:15:00,2019-05-07,MNQ 06-19,0,7761.75,7765.25,7758.75,7758.75,31.0
2019-05-07 05:30:00,2019-05-07,MNQ 06-19,0,7760.75,7760.75,7754.5,7760.0,72.0
2019-05-07 05:45:00,2019-05-07,MNQ 06-19,0,7759.5,7764.75,7759.25,7763.0,95.0
2019-05-07 06:00:00,2019-05-07,MNQ 06-19,0,7762.25,7765.75,7760.0,7760.0,76.0
2019-05-07 06:15:00,2019-05-07,MNQ 06-19,0,7759.5,7760.25,7756.25,7758.75,88.0
2019-05-07 06:30:00,2019-05-07,MNQ 06-19,0,7758.5,7762.25,7758.5,7761.25,158.0
2019-05-07 06:45:00,2019-05-07,MNQ 06-19,0,7759.75,7760.25,7745.25,7746.5,153.0
2019-05-07 07:00:00,2019-05-07,MNQ 06-19,0,7746.5,7747.25,7744.0,7745.0,89.0
2019-05-07 07:15:00,2019-05-07,MNQ 06-19,0,7746.75,7751.0,7746.25,7751.0,66.0
2019-05-07 07:30:00,2019-05-07,MNQ 06-19,0,7751.0,7755.25,7748.75,7753.25,227.0
2019-05-07 07:45:00,2019-05-07,MNQ 06-19,0,7752.75,7756.75,7726.75,7728.25,490.0
2019-05-07 08:00:00,2019-05-07,MNQ 06-19,0,7728.5,7737.5,7719.0,7736.75,701.0
2019-05-07 08:15:00,2019-05-07,MNQ 06-19,0,7736.75,7744.75,7735.5,7743.25,312.0
2019-05-08 03:00:00,2019-05-08,MNQ 06-19,0,7674.0,7683.0,7671.0,7682.5,151.0
2019-05-08 03:15:00,2019-05-08,MNQ 06-19,0,7683.5,7683.75,7674.75,7675.5,253.0
2019-05-08 03:30:00,2019-05-08,MNQ 06-19,0,7678.0,7680.25,7675.25,7679.25,105.0
2019-05-08 03:45:00,2019-05-08,MNQ 06-19,0,7678.25,7682.25,7674.25,7682.25,77.0
2019-05-08 04:00:00,2019-05-08,MNQ 06-19,0,7681.25,7685.25,7679.75,7685.25,142.0
2019-05-08 04:15:00,2019-05-08,MNQ 06-19,0,7686.0,7697.75,7686.0,7693.75,624.0
2019-05-08 04:30:00,2019-05-08,MNQ 06-19,0,7692.0,7692.0,7685.5,7689.0,255.0
2019-05-08 04:45:00,2019-05-08,MNQ 06-19,0,7689.0,7690.5,7667.75,7678.25,907.0
2019-05-08 05:00:00,2019-05-08,MNQ 06-19,0,7675.0,7675.0,7663.5,7666.75,802.0
2019-05-08 05:15:00,2019-05-08,MNQ 06-19,0,7667.0,7677.25,7653.5,7659.25,613.0
2019-05-08 05:30:00,2019-05-08,MNQ 06-19,0,7658.25,7659.75,7644.75,7646.25,239.0
2019-05-08 05:45:00,2019-05-08,MNQ 06-19,0,7646.25,7646.25,7635.0,7637.75,379.0
2019-05-08 06:00:00,2019-05-08,MNQ 06-19,0,7637.0,7643.5,7627.25,7628.0,323.0
2019-05-08 06:15:00,2019-05-08,MNQ 06-19,0,7629.75,7636.75,7629.0,7636.75,463.0
2019-05-08 06:30:00,2019-05-08,MNQ 06-19,0,7637.25,7640.25,7629.0,7630.25,372.0
2019-05-08 06:45:00,2019-05-08,MNQ 06-19,0,7633.5,7639.5,7633.0,7638.5,280.0
2019-05-08 07:00:00,2019-05-08,MNQ 06-19,0,7636.5,7637.5,7611.75,7614.75,1276.0
2019-05-08 07:15:00,2019-05-08,MNQ 06-19,0,7613.25,7625.75,7605.75,7621.0,859.0
2019-05-08 07:30:00,2019-05-08,MNQ 06-19,0,7621.0,7625.75,7615.75,7622.25,785.0
2019-05-08 07:45:00,2019-05-08,MNQ 06-19,0,7623.5,7627.5,7612.5,7623.5,193.0
2019-05-08 08:00:00,2019-05-08,MNQ 06-19,0,7623.0,7633.5,7623.0,7629.25,1505.0
2019-05-08 08:15:00,2019-05-08,MNQ 06-19,0,7630.5,7634.75,7626.25,7628.75,502.0
2019-05-09 03:00:00,2019-05-09,MNQ 06-19,0,7581.25,7581.25,7571.0,7581.25,154.0
2019-05-09 03:15:00,2019-05-09,MNQ 06-19,0,7581.75,7582.75,7563.75,7571.75,349.0
2019-05-09 03:30:00,2019-05-09,MNQ 06-19,0,7574.5,7577.25,7565.0,7571.75,222.0
2019-05-09 03:45:00,2019-05-09,MNQ 06-19,0,7573.0,7579.0,7558.75,7571.0,498.0
2019-05-09 04:00:00,2019-05-09,MNQ 06-19,0,7571.5,7579.0,7567.5,7568.5,379.0
2019-05-09 04:15:00,2019-05-09,MNQ 06-19,0,7567.75,7570.5,7560.0,7568.75,221.0
2019-05-09 04:30:00,2019-05-09,MNQ 06-19,0,7569.0,7576.5,7569.0,7575.0,231.0
2019-05-09 04:45:00,2019-05-09,MNQ 06-19,0,7573.25,7579.0,7571.75,7579.0,205.0
2019-05-09 05:00:00,2019-05-09,MNQ 06-19,0,7578.0,7585.75,7577.0,7584.0,175.0
2019-05-09 05:15:00,2019-05-09,MNQ 06-19,0,7584.5,7586.5,7580.75,7583.5,87.0
2019-05-09 05:30:00,2019-05-09,MNQ 06-19,0,7581.25,7582.0,7572.0,7572.0,209.0
2019-05-09 05:45:00,2019-05-09,MNQ 06-19,0,7575.0,7580.0,7570.5,7578.0,151.0
2019-05-09 06:00:00,2019-05-09,MNQ 06-19,0,7576.75,7580.5,7574.75,7577.25,97.0
2019-05-09 06:15:00,2019-05-09,MNQ 06-19,0,7574.5,7578.0,7569.5,7577.25,120.0
2019-05-09 06:30:00,2019-05-09,MNQ 06-19,0,7578.0,7584.5,7577.0,7582.5,129.0
2019-05-09 06:45:00,2019-05-09,MNQ 06-19,0,7584.5,7590.5,7584.25,7586.5,303.0
2019-05-09 07:00:00,2019-05-09,MNQ 06-19,0,7587.75,7590.25,7586.0,7586.25,157.0
2019-05-09 07:15:00,2019-05-09,MNQ 06-19,0,7585.75,7593.5,7581.0,7586.25,293.0
