contract,file,status,n_dates,min_date,max_date
MNQ 06-19,*,ok,36,2019-05-05,2019-06-12
MNQ 09-19,*,ok,89,2019-06-09,2019-09-11
MNQ 12-19,*,ok,94,2019-09-08,2019-12-11
MNQ 03-20,*,ok,88,2019-12-08,2020-03-11
MNQ 06-20,*,ok,88,2020-03-08,2020-06-10
MNQ 09-20,*,ok,90,2020-06-07,2020-09-09
MNQ 12-20,*,ok,85,2020-09-06,2020-12-09
MNQ 03-21,*,ok,87,2020-12-06,2021-03-10
MNQ 06-21,*,ok,88,2021-03-07,2021-06-09
MNQ 09-21,*,ok,90,2021-06-06,2021-09-08
MNQ 12-21,*,ok,75,2021-09-05,2021-11-28
MNQ 03-22,*,ok,83,2021-12-05,2022-03-09
MNQ 06-22,*,ok,85,2022-03-06,2022-06-08
MNQ 09-22,*,ok,88,2022-06-05,2022-09-07
MNQ 03-23,*,ok,83,2022-12-08,2023-03-12
MNQ 06-23,*,ok,83,2023-03-09,2023-06-11
MNQ 09-23,*,ok,84,2023-06-08,2023-09-10
MNQ 03-24,*,ok,85,2023-12-07,2024-03-10
MNQ 06-24,*,ok,90,2024-03-07,2024-06-16
MNQ 09-24,*,ok,81,2024-06-13,2024-09-15
MNQ 03-25,*,ok,17,2024-12-12,2024-12-31
