test_year,signal_time,entry_time,exit_time,contract,entry,exit,gross_points,friction_points,net_points
2022,2022-01-07 03:30:00,2022-01-07 03:45:00,2022-01-07 04:30:00,MNQ 03-22,15670.25,15771.75,101.5,4.0,97.5
2022,2022-01-10 03:00:00,2022-01-10 03:15:00,2022-01-10 04:00:00,MNQ 03-22,15599.0,15586.25,-12.75,4.0,-16.75
2022,2022-01-14 07:30:00,2022-01-14 07:45:00,2022-01-14 08:15:00,MNQ 03-22,15380.75,15355.75,-25.0,4.0,-29.0
2022,2022-01-18 04:45:00,2022-01-18 05:00:00,2022-01-18 05:45:00,MNQ 03-22,15309.75,15317.25,7.5,4.0,3.5
2022,2022-01-26 07:15:00,2022-01-26 07:30:00,2022-01-26 08:15:00,MNQ 03-22,14389.0,14490.5,101.5,4.0,97.5
2022,2022-02-01 04:30:00,2022-02-01 04:45:00,2022-02-01 05:30:00,MNQ 03-22,14875.25,14903.25,28.0,4.0,24.0
2022,2022-02-03 03:00:00,2022-02-03 03:15:00,2022-02-03 04:00:00,MNQ 03-22,14836.0,14828.75,-7.25,4.0,-11.25
2022,2022-02-04 05:15:00,2022-02-04 05:30:00,2022-02-04 06:15:00,MNQ 03-22,14620.25,14578.5,-41.75,4.0,-45.75
2022,2022-02-10 08:00:00,2022-02-10 08:15:00,2022-02-10 08:15:00,MNQ 03-22,15036.25,15021.5,-14.75,4.0,-18.75
2022,2022-02-11 03:00:00,2022-02-11 03:15:00,2022-02-11 04:00:00,MNQ 03-22,14655.0,14618.5,-36.5,4.0,-40.5
2022,2022-02-16 03:00:00,2022-02-16 03:15:00,2022-02-16 04:00:00,MNQ 03-22,14587.75,14616.5,28.75,4.0,24.75
2022,2022-02-21 06:30:00,2022-02-21 06:45:00,2022-02-21 07:30:00,MNQ 03-22,13889.25,13866.0,-23.25,4.0,-27.25
2022,2022-02-22 05:00:00,2022-02-22 05:15:00,2022-02-22 06:00:00,MNQ 03-22,13785.0,13926.75,141.75,4.0,137.75
2022,2022-02-23 03:00:00,2022-02-23 03:15:00,2022-02-23 04:00:00,MNQ 03-22,14000.75,14043.0,42.25,4.0,38.25
2022,2022-02-24 03:00:00,2022-02-24 03:15:00,2022-02-24 04:00:00,MNQ 03-22,13154.25,13185.25,31.0,4.0,27.0
2022,2022-02-24 07:45:00,2022-02-24 08:00:00,2022-02-24 08:15:00,MNQ 03-22,13073.25,13041.75,-31.5,4.0,-35.5
2022,2022-02-28 08:00:00,2022-02-28 08:15:00,2022-02-28 08:15:00,MNQ 03-22,14016.5,14000.75,-15.75,4.0,-19.75
2022,2022-03-17 03:00:00,2022-03-17 03:15:00,2022-03-17 04:00:00,MNQ 06-22,14010.25,13950.75,-59.5,4.0,-63.5
2022,2022-03-17 06:00:00,2022-03-17 06:15:00,2022-03-17 07:00:00,MNQ 06-22,13857.5,13914.25,56.75,4.0,52.75
2022,2022-03-24 07:00:00,2022-03-24 07:15:00,2022-03-24 08:00:00,MNQ 06-22,14552.25,14520.5,-31.75,4.0,-35.75
2022,2022-03-29 03:00:00,2022-03-29 03:15:00,2022-03-29 04:00:00,MNQ 06-22,15008.25,15012.75,4.5,4.0,0.5
2022,2022-04-04 03:00:00,2022-04-04 03:15:00,2022-04-04 04:00:00,MNQ 06-22,14836.75,14856.75,20.0,4.0,16.0
2022,2022-04-05 03:00:00,2022-04-05 03:15:00,2022-04-05 04:00:00,MNQ 06-22,15154.75,15189.0,34.25,4.0,30.25
2022,2022-04-06 03:00:00,2022-04-06 03:15:00,2022-04-06 04:00:00,MNQ 06-22,14830.25,14734.0,-96.25,4.0,-100.25
2022,2022-04-06 07:00:00,2022-04-06 07:15:00,2022-04-06 08:00:00,MNQ 06-22,14622.5,14598.5,-24.0,4.0,-28.0
2022,2022-04-07 07:00:00,2022-04-07 07:15:00,2022-04-07 08:00:00,MNQ 06-22,14573.5,14519.75,-53.75,4.0,-57.75
2022,2022-04-08 03:00:00,2022-04-08 03:15:00,2022-04-08 04:00:00,MNQ 06-22,14602.5,14632.25,29.75,4.0,25.75
2022,2022-04-18 08:00:00,2022-04-18 08:15:00,2022-04-18 08:15:00,MNQ 06-22,13816.75,13829.25,12.5,4.0,8.5
2022,2022-04-22 03:00:00,2022-04-22 03:15:00,2022-04-22 04:00:00,MNQ 06-22,13748.0,13718.5,-29.5,4.0,-33.5
2022,2022-05-02 07:30:00,2022-05-02 07:45:00,2022-05-02 08:15:00,MNQ 06-22,12840.75,12809.25,-31.5,4.0,-35.5
2022,2022-05-05 03:00:00,2022-05-05 03:15:00,2022-05-05 04:00:00,MNQ 06-22,13459.0,13438.75,-20.25,4.0,-24.25
2022,2022-05-05 04:30:00,2022-05-05 04:45:00,2022-05-05 05:30:00,MNQ 06-22,13389.0,13415.75,26.75,4.0,22.75
2022,2022-05-09 06:15:00,2022-05-09 06:30:00,2022-05-09 07:15:00,MNQ 06-22,12437.25,12361.75,-75.5,4.0,-79.5
2022,2022-05-12 03:00:00,2022-05-12 03:15:00,2022-05-12 04:00:00,MNQ 06-22,11877.5,11884.75,7.25,4.0,3.25
2022,2022-05-18 07:00:00,2022-05-18 07:15:00,2022-05-18 08:00:00,MNQ 06-22,12437.0,12421.5,-15.5,4.0,-19.5
2022,2022-05-19 06:00:00,2022-05-19 06:15:00,2022-05-19 07:00:00,MNQ 06-22,11767.25,11787.25,20.0,4.0,16.0
2022,2022-05-25 07:15:00,2022-05-25 07:30:00,2022-05-25 08:15:00,MNQ 06-22,11711.0,11700.5,-10.5,4.0,-14.5
2022,2022-05-31 03:00:00,2022-05-31 03:15:00,2022-05-31 04:00:00,MNQ 06-22,12664.0,12682.5,18.5,4.0,14.5
2022,2022-06-03 07:00:00,2022-06-03 07:15:00,2022-06-03 08:00:00,MNQ 06-22,12751.0,12759.25,8.25,4.0,4.25
2022,2022-06-08 03:00:00,2022-06-08 03:15:00,2022-06-08 04:00:00,MNQ 06-22,12637.5,12661.0,23.5,4.0,19.5
2022,2022-06-14 04:45:00,2022-06-14 05:00:00,2022-06-14 05:45:00,MNQ 09-22,11408.25,11418.5,10.25,4.0,6.25
2022,2022-06-14 06:15:00,2022-06-14 06:30:00,2022-06-14 07:15:00,MNQ 09-22,11377.5,11405.5,28.0,4.0,24.0
2022,2022-06-21 03:00:00,2022-06-21 03:15:00,2022-06-21 04:00:00,MNQ 09-22,11467.5,11542.75,75.25,4.0,71.25
2022,2022-06-24 03:00:00,2022-06-24 03:15:00,2022-06-24 04:00:00,MNQ 09-22,11834.75,11832.25,-2.5,4.0,-6.5
2022,2022-06-28 03:00:00,2022-06-28 03:15:00,2022-06-28 04:00:00,MNQ 09-22,12153.0,12087.5,-65.5,4.0,-69.5
2022,2022-06-29 06:00:00,2022-06-29 06:15:00,2022-06-29 07:00:00,MNQ 09-22,11637.75,11626.5,-11.25,4.0,-15.25
2022,2022-07-05 03:00:00,2022-07-05 03:15:00,2022-07-05 04:00:00,MNQ 09-22,11653.25,11600.75,-52.5,4.0,-56.5
2022,2022-07-05 07:45:00,2022-07-05 08:00:00,2022-07-05 08:15:00,MNQ 09-22,11482.25,11472.0,-10.25,4.0,-14.25
2022,2022-07-07 05:00:00,2022-07-07 05:15:00,2022-07-07 06:00:00,MNQ 09-22,11931.25,11910.5,-20.75,4.0,-24.75
2022,2022-07-08 03:00:00,2022-07-08 03:15:00,2022-07-08 04:00:00,MNQ 09-22,12081.25,12104.25,23.0,4.0,19.0
2022,2022-07-14 03:00:00,2022-07-14 03:15:00,2022-07-14 04:00:00,MNQ 09-22,11680.25,11692.75,12.5,4.0,8.5
2022,2022-07-20 03:00:00,2022-07-20 03:15:00,2022-07-20 04:00:00,MNQ 09-22,12322.75,12315.0,-7.75,4.0,-11.75
2022,2022-07-20 06:30:00,2022-07-20 06:45:00,2022-07-20 07:30:00,MNQ 09-22,12273.0,12263.0,-10.0,4.0,-14.0
2022,2022-07-25 03:00:00,2022-07-25 03:15:00,2022-07-25 04:00:00,MNQ 09-22,12433.0,12426.25,-6.75,4.0,-10.75
2022,2022-07-26 03:00:00,2022-07-26 03:15:00,2022-07-26 04:00:00,MNQ 09-22,12311.0,12306.5,-4.5,4.0,-8.5
2022,2022-07-29 04:45:00,2022-07-29 05:00:00,2022-07-29 05:45:00,MNQ 09-22,12873.5,12894.5,21.0,4.0,17.0
2022,2022-08-02 03:00:00,2022-08-02 03:15:00,2022-08-02 04:00:00,MNQ 09-22,12868.75,12867.5,-1.25,4.0,-5.25
2022,2022-08-03 03:00:00,2022-08-03 03:15:00,2022-08-03 04:00:00,MNQ 09-22,12909.75,12897.0,-12.75,4.0,-16.75
2022,2022-08-09 06:15:00,2022-08-09 06:30:00,2022-08-09 07:15:00,MNQ 09-22,13113.5,13113.25,-0.25,4.0,-4.25
2022,2022-08-18 03:00:00,2022-08-18 03:15:00,2022-08-18 04:00:00,MNQ 09-22,13438.5,13454.5,16.0,4.0,12.0
2022,2022-08-19 03:00:00,2022-08-19 03:15:00,2022-08-19 04:00:00,MNQ 09-22,13446.5,13425.0,-21.5,4.0,-25.5
2022,2022-08-22 03:00:00,2022-08-22 03:15:00,2022-08-22 04:00:00,MNQ 09-22,13177.25,13077.25,-100.0,4.0,-104.0
2022,2022-08-23 03:00:00,2022-08-23 03:15:00,2022-08-23 04:00:00,MNQ 09-22,12884.5,12960.0,75.5,4.0,71.5
2022,2022-08-26 03:00:00,2022-08-26 03:15:00,2022-08-26 04:00:00,MNQ 09-22,13126.25,13097.75,-28.5,4.0,-32.5
2022,2022-08-31 03:00:00,2022-08-31 03:15:00,2022-08-31 04:00:00,MNQ 09-22,12436.0,12400.5,-35.5,4.0,-39.5
2022,2022-09-02 03:00:00,2022-09-02 03:15:00,2022-09-02 04:00:00,MNQ 09-22,12278.25,12292.25,14.0,4.0,10.0
