direction,entry_time,exit_time,entry_price,exit_price,contracts,stop_points,pnl_per_contract,pnl,fees,exit_reason,days_in_trade,account_value,risk_dollars,risk_pct,account_value_entry,scenario
long,2026-01-20 10:00:00,2026-01-20 11:45:00,25367.75,25267.75,5,100.0,-2020.0,-10100.0,25.0,stop,1,989900.0,10000.0,1.0,1000000.0,PRIMARY
short,2026-01-20 11:50:00,2026-01-20 14:30:00,25268.5,25131.75,4,100.0,2715.0,10860.0,20.0,eod_short,1,1000760.0,8000.0,0.8081624406505709,989900.0,PRIMARY
long,2026-01-21 10:10:00,2026-01-21 10:35:00,25488.0,25388.0,5,100.0,-2020.0,-10100.0,25.0,stop,1,990660.0,10000.0,0.9992405771613575,1000760.0,PRIMARY
long,2026-01-21 13:35:00,2026-01-22 02:50:00,25488.0,25688.0,4,100.0,3980.0,15920.0,20.0,target,2,1006580.0,8000.0,0.8075424464498415,990660.0,PRIMARY
long,2026-01-23 10:00:00,2026-01-23 11:40:00,25827.5,25727.5,5,100.0,-2020.0,-10100.0,25.0,stop,1,996480.0,10000.0,0.9934630133720121,1006580.0,PRIMARY
long,2026-01-26 10:25:00,2026-01-27 09:45:00,25898.5,26098.5,4,100.0,3980.0,15920.0,20.0,target,2,1012400.0,8000.0,0.802825947334618,996480.0,PRIMARY
long,2026-01-27 10:10:00,2026-01-28 00:00:00,26098.5,26298.5,5,100.0,3980.0,19900.0,25.0,target,2,1032300.0,10000.0,0.9877518767285659,1012400.0,PRIMARY
short,2026-01-28 10:20:00,2026-01-28 14:30:00,26159.5,26153.0,5,100.0,110.0,550.0,25.0,eod_short,1,1032850.0,10000.0,0.9687106461300009,1032300.0,PRIMARY
short,2026-01-30 10:20:00,2026-01-30 12:20:00,25770.75,25570.75,5,100.0,3980.0,19900.0,25.0,target,1,1052750.0,10000.0,0.9681948007939197,1032850.0,PRIMARY
short,2026-01-30 12:25:00,2026-01-30 12:50:00,25619.0,25719.0,5,100.0,-2020.0,-10100.0,25.0,stop,1,1042650.0,10000.0,0.9498931370220851,1052750.0,PRIMARY
long,2026-02-02 11:00:00,2026-02-03 08:35:00,25912.25,25812.25,5,100.0,-2020.0,-10100.0,25.0,stop,2,1032550.0,10000.0,0.9590946146837386,1042650.0,PRIMARY
short,2026-02-03 10:50:00,2026-02-03 12:50:00,25470.25,25270.25,5,100.0,3980.0,19900.0,25.0,target,1,1052450.0,10000.0,0.9684761028521621,1032550.0,PRIMARY
short,2026-02-03 12:55:00,2026-02-03 14:30:00,25268.0,25368.0,5,100.0,-2020.0,-10100.0,25.0,stop,1,1042350.0,10000.0,0.9501639032733147,1052450.0,PRIMARY
short,2026-02-04 10:00:00,2026-02-04 11:25:00,25108.0,24908.0,5,100.0,3980.0,19900.0,25.0,target,1,1062250.0,10000.0,0.9593706528517293,1042350.0,PRIMARY
short,2026-02-04 11:30:00,2026-02-04 13:30:00,24889.0,24989.0,5,100.0,-2020.0,-10100.0,25.0,stop,1,1052150.0,10000.0,0.9413979759943516,1062250.0,PRIMARY
short,2026-02-05 10:10:00,2026-02-05 10:15:00,24550.0,24650.0,5,100.0,-2020.0,-10100.0,25.0,stop,1,1042050.0,10000.0,0.9504348239319489,1052150.0,PRIMARY
long,2026-02-06 10:05:00,2026-02-06 14:50:00,24984.0,25184.0,5,100.0,3980.0,19900.0,25.0,target,1,1061950.0,10000.0,0.9596468499592149,1042050.0,PRIMARY
long,2026-02-09 10:10:00,2026-02-10 14:35:00,25329.0,25229.0,5,100.0,-2020.0,-10100.0,25.0,stop,2,1051850.0,10000.0,0.9416639201468995,1061950.0,PRIMARY
short,2026-02-12 10:00:00,2026-02-12 10:30:00,25006.5,24806.5,5,100.0,3980.0,19900.0,25.0,target,1,1071750.0,10000.0,0.9507058991301042,1051850.0,PRIMARY
short,2026-02-12 10:35:00,2026-02-12 14:30:00,24846.0,24804.75,5,100.0,805.0,4025.0,25.0,eod_short,1,1075775.0,10000.0,0.9330534173081408,1071750.0,PRIMARY
long,2026-02-13 10:55:00,2026-02-13 14:10:00,24928.5,24828.5,5,100.0,-2020.0,-10100.0,25.0,stop,1,1065675.0,10000.0,0.9295624084962003,1075775.0,PRIMARY
short,2026-02-16 10:35:00,2026-02-16 11:55:00,24678.5,24747.25,5,100.0,-1395.0,-6975.0,25.0,eod_short,1,1058700.0,10000.0,0.9383723930841954,1065675.0,PRIMARY
long,2026-02-17 12:35:00,2026-02-17 17:35:00,24815.75,24715.75,5,100.0,-2020.0,-10100.0,25.0,stop,2,1048600.0,10000.0,0.9445546424860679,1058700.0,PRIMARY
long,2026-02-18 10:00:00,2026-02-18 12:50:00,25099.75,24999.75,5,100.0,-2020.0,-10100.0,25.0,stop,1,1038500.0,10000.0,0.9536524890329964,1048600.0,PRIMARY
long,2026-02-19 10:20:00,2026-02-19 10:40:00,24956.5,24856.5,5,100.0,-2020.0,-10100.0,25.0,stop,1,1028400.0,10000.0,0.9629272989889264,1038500.0,PRIMARY
short,2026-02-19 12:20:00,2026-02-19 14:30:00,24763.0,24807.5,5,100.0,-910.0,-4550.0,25.0,eod_short,1,1023850.0,10000.0,0.9723842862699339,1028400.0,PRIMARY
long,2026-02-20 10:00:00,2026-02-20 10:15:00,25127.0,25027.0,5,100.0,-2020.0,-10100.0,25.0,stop,1,1013750.0,10000.0,0.976705572105289,1023850.0,PRIMARY
long,2026-02-20 10:45:00,2026-02-20 11:10:00,25127.0,25027.0,5,100.0,-2020.0,-10100.0,25.0,stop,1,1003650.0,10000.0,0.9864364981504316,1013750.0,PRIMARY
short,2026-02-23 10:00:00,2026-02-23 14:30:00,24738.75,24746.75,5,100.0,-180.0,-900.0,25.0,eod_short,1,1002750.0,10000.0,0.9963632740497185,1003650.0,PRIMARY
