scenario,date,entry_time,exit_time,entry,exit,gross_points,gross_usd,costs_usd,net_usd,net_R,exit_reason
PRIMARY,2026-04-20,2026-04-20 11:00:00-04:00,2026-04-20 13:15:00-04:00,26611.25,26711.25,-100.0,-2000.0,20.0,-2020.0,-1.01,stop
PRIMARY,2026-04-21,2026-04-21 11:00:00-04:00,2026-04-21 15:30:00-04:00,26726.75,26767.75,-41.0,-820.0,20.0,-840.0,-0.42,eod_short
PRIMARY,2026-04-23,2026-04-23 13:05:00-04:00,2026-04-23 13:40:00-04:00,26965.0,26765.0,200.0,4000.0,20.0,3980.0,1.99,target
PRIMARY,2026-04-23,2026-04-23 13:45:00-04:00,2026-04-23 13:50:00-04:00,26761.0,26861.0,-100.0,-2000.0,20.0,-2020.0,-1.01,stop
PRIMARY,2026-04-28,2026-04-28 11:35:00-04:00,2026-04-28 13:35:00-04:00,27012.5,27112.5,-100.0,-2000.0,20.0,-2020.0,-1.01,stop
PRIMARY,2026-05-04,2026-05-04 11:15:00-04:00,2026-05-04 15:30:00-04:00,27808.25,27787.5,20.75,415.0,20.0,395.0,0.1975,eod_short
PRIMARY,2026-05-07,2026-05-07 12:10:00-04:00,2026-05-07 15:30:00-04:00,28708.0,28643.0,65.0,1300.0,20.0,1280.0,0.64,eod_short
PRIMARY,2026-05-12,2026-05-12 11:00:00-04:00,2026-05-12 12:30:00-04:00,29000.0,28800.0,200.0,4000.0,20.0,3980.0,1.99,target
PRIMARY,2026-05-12,2026-05-12 12:35:00-04:00,2026-05-12 13:20:00-04:00,28812.25,28912.25,-100.0,-2000.0,20.0,-2020.0,-1.01,stop
PRIMARY,2026-05-18,2026-05-18 11:25:00-04:00,2026-05-18 12:20:00-04:00,28970.75,29070.75,-100.0,-2000.0,20.0,-2020.0,-1.01,stop
PRIMARY,2026-05-18,2026-05-18 12:25:00-04:00,2026-05-18 15:30:00-04:00,28970.75,28952.0,18.75,375.0,20.0,355.0,0.1775,eod_short
PRIMARY,2026-06-05,2026-06-05 11:10:00-04:00,2026-06-05 12:15:00-04:00,29758.0,29558.0,200.0,4000.0,20.0,3980.0,1.99,target
PRIMARY,2026-06-05,2026-06-05 12:20:00-04:00,2026-06-05 14:10:00-04:00,29545.0,29345.0,200.0,4000.0,20.0,3980.0,1.99,target
PRIMARY,2026-06-09,2026-06-09 11:20:00-04:00,2026-06-09 11:25:00-04:00,29083.75,28883.75,200.0,4000.0,20.0,3980.0,1.99,target
PRIMARY,2026-06-09,2026-06-09 11:30:00-04:00,2026-06-09 11:50:00-04:00,28861.25,28961.25,-100.0,-2000.0,20.0,-2020.0,-1.01,stop
PRIMARY,2026-06-10,2026-06-10 11:10:00-04:00,2026-06-10 11:25:00-04:00,28772.5,28872.5,-100.0,-2000.0,20.0,-2020.0,-1.01,stop
PRIMARY,2026-06-10,2026-06-10 11:30:00-04:00,2026-06-10 11:40:00-04:00,28772.5,28872.5,-100.0,-2000.0,20.0,-2020.0,-1.01,stop
PRIMARY,2026-06-11,2026-06-11 11:00:00-04:00,2026-06-11 11:05:00-04:00,28607.5,28707.5,-100.0,-2000.0,20.0,-2020.0,-1.01,stop
PRIMARY,2026-06-16,2026-06-16 11:20:00-04:00,2026-06-16 15:15:00-04:00,30255.0,30055.0,200.0,4000.0,20.0,3980.0,1.99,target
PRIMARY,2026-06-16,2026-06-16 15:20:00-04:00,2026-06-16 15:30:00-04:00,30084.5,30107.25,-22.75,-455.0,20.0,-475.0,-0.2375,eod_short
PRIMARY,2026-06-17,2026-06-17 14:00:00-04:00,2026-06-17 14:05:00-04:00,30284.75,30084.75,200.0,4000.0,20.0,3980.0,1.99,target
PRIMARY,2026-06-17,2026-06-17 14:10:00-04:00,2026-06-17 14:35:00-04:00,30256.75,30356.75,-100.0,-2000.0,20.0,-2020.0,-1.01,stop
PRIMARY,2026-06-19,2026-06-19 13:00:00-04:00,2026-06-19 15:30:00-04:00,30333.75,30343.55,-9.799999999999272,-195.99999999998545,20.0,-215.99999999998545,-0.10799999999999273,eod_short
PRIMARY,2026-06-22,2026-06-22 11:45:00-04:00,2026-06-22 13:50:00-04:00,30545.0,30645.0,-100.0,-2000.0,20.0,-2020.0,-1.01,stop
PRIMARY,2026-06-22,2026-06-22 15:05:00-04:00,2026-06-22 15:30:00-04:00,30545.0,30585.25,-40.25,-805.0,20.0,-825.0,-0.4125,eod_short
PRIMARY,2026-06-23,2026-06-23 14:45:00-04:00,2026-06-23 15:05:00-04:00,29616.5,29716.5,-100.0,-2000.0,20.0,-2020.0,-1.01,stop
PRIMARY,2026-06-23,2026-06-23 15:20:00-04:00,2026-06-23 15:25:00-04:00,29616.5,29716.5,-100.0,-2000.0,20.0,-2020.0,-1.01,stop
PRIMARY,2026-06-24,2026-06-24 13:15:00-04:00,2026-06-24 14:50:00-04:00,29525.0,29325.0,200.0,4000.0,20.0,3980.0,1.99,target
PRIMARY,2026-06-24,2026-06-24 14:55:00-04:00,2026-06-24 15:30:00-04:00,29365.5,29398.75,-33.25,-665.0,20.0,-685.0,-0.3425,eod_short
PRIMARY,2026-07-02,2026-07-02 11:00:00-04:00,2026-07-02 12:30:00-04:00,29730.75,29530.75,200.0,4000.0,20.0,3980.0,1.99,target
