n,mean_net_points,sum_net_points,sum_net_usd,pf,win_rate,avg_win_usd,avg_loss_usd,max_dd_usd,losing_streak,scenario,month
10,-31.9,-319.0,-6380.0,0.2907170650361312,0.3,871.6666666666666,-1285.0,7835.0,5,PRIMARY,2026-02
16,36.0,576.0,11520.0,1.7453898414752507,0.5,3371.875,-1931.875,5435.0,2,PRIMARY,2026-03
15,-8.216666666666667,-123.25,-2465.0,0.7656844106463878,0.2,2685.0,-876.6666666666666,5505.0,5,PRIMARY,2026-04
21,1.9642857142857142,41.25,825.0,1.0552024088323855,0.42857142857142855,1752.2222222222222,-1245.4166666666667,6470.0,4,PRIMARY,2026-05
16,61.71875,987.5,19750.0,2.014381099126862,0.5,4902.5,-2433.75,5800.0,2,PRIMARY,2026-06
19,-35.921052631578945,-682.5,-13650.0,0.44489629930866204,0.2631578947368421,2188.0,-1756.4285714285713,17050.0,6,PRIMARY,2026-07
10,-32.4,-324.0,-6480.0,0.2851627137341423,0.3,861.6666666666666,-1295.0,7905.0,5,STRESS,2026-02
16,35.5,568.0,11360.0,1.7312520115867396,0.5,3361.875,-1941.875,5505.0,2,STRESS,2026-03
15,-8.716666666666667,-130.75,-2615.0,0.7542293233082706,0.2,2675.0,-886.6666666666666,5595.0,5,STRESS,2026-04
21,1.4642857142857142,30.75,615.0,1.0408230999004315,0.42857142857142855,1742.2222222222222,-1255.4166666666667,6510.0,4,STRESS,2026-05
16,61.21875,979.5,19590.0,2.0020460358056265,0.5,4892.5,-2443.75,5820.0,2,STRESS,2026-06
19,-36.421052631578945,-692.0,-13840.0,0.4403558431055398,0.2631578947368421,2178.0,-1766.4285714285713,17200.0,6,STRESS,2026-07
