scenario,entry_time,exit_time,side,entry_px,exit_px,gross_usd,costs_usd,net_usd,gross_points,net_points,exit_reason
PRIMARY,2026-02-20 11:00:00-05:00,2026-02-20 11:30:00-05:00,long,25103.0,24983.0,-2400.0,5.0,-2405.0,-120.0,-120.25,trail
PRIMARY,2026-02-20 12:00:00-05:00,2026-02-20 12:30:00-05:00,long,25092.5,24947.0,-2910.0,5.0,-2915.0,-145.5,-145.75,trail
PRIMARY,2026-02-23 11:00:00-05:00,2026-02-23 13:00:00-05:00,short,24752.75,24755.75,-60.0,5.0,-65.0,-3.0,-3.25,trail
PRIMARY,2026-02-23 15:00:00-05:00,2026-02-23 15:59:00-05:00,short,24703.5,24768.25,-1295.0,5.0,-1300.0,-64.75,-65.0,eod
PRIMARY,2026-02-24 10:30:00-05:00,2026-02-24 11:30:00-05:00,long,25016.5,24988.0,-570.0,5.0,-575.0,-28.5,-28.75,trail
PRIMARY,2026-02-24 12:00:00-05:00,2026-02-24 15:59:00-05:00,long,25023.0,25029.75,135.0,5.0,130.0,6.75,6.5,eod
PRIMARY,2026-02-25 10:00:00-05:00,2026-02-25 11:00:00-05:00,long,25342.5,25307.5,-700.0,5.0,-705.0,-35.0,-35.25,trail
PRIMARY,2026-02-25 15:00:00-05:00,2026-02-25 15:59:00-05:00,long,25371.25,25384.25,260.0,5.0,255.0,13.0,12.75,eod
PRIMARY,2026-02-26 10:00:00-05:00,2026-02-26 15:00:00-05:00,short,25175.75,25064.0,2235.0,5.0,2230.0,111.75,111.5,trail
PRIMARY,2026-02-26 15:30:00-05:00,2026-02-26 15:59:00-05:00,short,25032.25,25083.5,-1025.0,5.0,-1030.0,-51.25,-51.5,eod
PRIMARY,2026-03-04 10:00:00-05:00,2026-03-04 15:59:00-05:00,long,24966.5,25119.75,3065.0,5.0,3060.0,153.25,153.0,eod
PRIMARY,2026-03-09 15:30:00-04:00,2026-03-09 15:59:00-04:00,long,24904.25,24992.0,1755.0,5.0,1750.0,87.75,87.5,eod
PRIMARY,2026-03-11 10:00:00-04:00,2026-03-11 10:30:00-04:00,long,25173.75,25026.75,-2940.0,5.0,-2945.0,-147.0,-147.25,trail
PRIMARY,2026-03-13 10:00:00-04:00,2026-03-13 10:30:00-04:00,long,24752.75,24699.5,-1065.0,5.0,-1070.0,-53.25,-53.5,trail
PRIMARY,2026-03-18 15:00:00-04:00,2026-03-18 15:59:00-04:00,short,24534.0,24435.0,1980.0,5.0,1975.0,99.0,98.75,eod
PRIMARY,2026-03-19 10:00:00-04:00,2026-03-19 10:30:00-04:00,long,24529.75,24430.75,-1980.0,5.0,-1985.0,-99.0,-99.25,trail
PRIMARY,2026-03-20 10:00:00-04:00,2026-03-20 12:00:00-04:00,short,24278.75,24319.25,-810.0,5.0,-815.0,-40.5,-40.75,trail
PRIMARY,2026-03-20 12:30:00-04:00,2026-03-20 15:59:00-04:00,short,24283.5,24113.75,3395.0,5.0,3390.0,169.75,169.5,eod
PRIMARY,2026-03-23 10:00:00-04:00,2026-03-23 12:00:00-04:00,long,24590.0,24391.0,-3980.0,5.0,-3985.0,-199.0,-199.25,trail
PRIMARY,2026-03-26 12:30:00-04:00,2026-03-26 15:59:00-04:00,short,24003.0,23787.0,4320.0,5.0,4315.0,216.0,215.75,eod
