n,mean,sum,pf,win_rate,max_dd,losing_streak,avg_win,avg_loss,scenario,year
3,-1.060035805537721,-3.180107416613163,0.0,0.0,3.180107416613163,3,,-1.060035805537721,SOURCE_COST,2001
5,-1.0681435112205082,-5.3407175561025415,0.0,0.0,5.3407175561025415,5,,-1.0681435112205082,SOURCE_COST,2002
100,-0.6923286606231751,-69.23286606231751,0.3468285336317094,0.03,92.05732885334662,78,12.254022438662888,-1.092731271941301,SOURCE_COST,2003
92,-0.7743763702501186,-71.24262606301092,0.28948944443299107,0.03260869565217391,79.86945872052111,52,9.675665889049691,-1.1266249857321347,SOURCE_COST,2004
113,-0.07937721652157595,-8.969625466938082,0.9264538506301395,0.07079646017699115,41.64637204942414,28,14.123689893614635,-1.1615156630081447,SOURCE_COST,2005
78,-0.882028791225337,-68.79824571557629,0.21566598612405122,0.02564102564102564,72.91443230001889,40,9.458624287204028,-1.1541512406576886,SOURCE_COST,2006
116,-0.26099715792574496,-30.275670319386418,0.7582385700518895,0.05172413793103448,73.26608877915342,38,15.825643331707264,-1.1384502755420907,SOURCE_COST,2007
15,1.0762650802974532,16.143976204461797,2.1279375474179956,0.13333333333333333,7.735811523087645,7,15.228402143689838,-1.1009867756090672,SOURCE_COST,2008
85,0.21063345691185434,17.90384383750762,1.2108693448925174,0.10588235294117647,23.137776191550955,19,11.423195443937592,-1.1171699362885619,SOURCE_COST,2009
95,0.10574609943079438,10.045879445925467,1.105602790907587,0.11578947368421053,33.76989816067507,25,9.561345402367992,-1.1324871426205054,SOURCE_COST,2010
86,0.008198980169314527,0.7051122945610493,1.0079424340894456,0.09302325581395349,37.943954551752725,29,11.18537142522067,-1.1381776808615935,SOURCE_COST,2011
101,-0.5512792548201343,-55.67920473683356,0.49265912440052384,0.0594059405940594,55.67920473683357,34,9.01132078130359,-1.1552329413121587,SOURCE_COST,2012
128,0.20248561548111954,25.9181587815833,1.190103172581071,0.1015625,29.038793397780566,15,12.48119136678393,-1.1855419911878935,SOURCE_COST,2013
131,0.7881070742493558,103.24202672666561,1.7941330212386466,0.16030534351145037,22.46600808779432,14,11.107047042920184,-1.1818723743150754,SOURCE_COST,2014
94,0.38575974286157716,36.261415828988255,1.3787316541792851,0.11702127659574468,26.359979952321726,23,12.000524112303925,-1.1535463783898183,SOURCE_COST,2015
81,0.9376894280200405,75.95284366962328,1.9667680063615822,0.18518518518518517,12.525570959075356,8,10.301100983802279,-1.1903586528395589,SOURCE_COST,2016
125,-0.10801669769124758,-13.502087211405948,0.90259416604783,0.104,39.697129321511625,24,9.624210419445307,-1.2376502023588836,SOURCE_COST,2017
118,0.8007317109978277,94.48634189774367,1.7847412339840334,0.11016949152542373,28.656475507889745,26,16.530061427636188,-1.1467091110621601,SOURCE_COST,2018
104,0.7093036335044407,73.76757788446183,1.7088012678631168,0.1346153846153846,23.373428085064063,18,12.702949163349475,-1.1563745600270092,SOURCE_COST,2019
117,0.44944500993672126,52.58506616259639,1.4728635448307006,0.1452991452991453,16.489229551273453,15,9.634744065931367,-1.1120558295823681,SOURCE_COST,2020
131,0.6768066925239067,88.66167672063177,1.6988958488423487,0.15267175572519084,19.80141905648248,18,10.776065903208771,-1.142879651743636,SOURCE_COST,2021
10,-1.0940666175413258,-10.940666175413257,0.0,0.0,10.94066617541326,10,,-1.0940666175413258,SOURCE_COST,2022
131,0.113200296174658,14.829238798880198,1.1092735666529485,0.08396946564885496,52.22106755133274,46,13.685154954783515,-1.130895547531154,SOURCE_COST,2023
122,-0.2731847999848453,-33.32854559815112,0.7441786902530475,0.06557377049180328,83.28135305048174,35,12.119002828480431,-1.1428120019824086,SOURCE_COST,2024
97,0.06880789175885235,6.674365500608678,1.0670380991043802,0.10309278350515463,28.171870788281197,25,10.623514645617451,-1.1443767925927104,SOURCE_COST,2025
30,-0.18327466677411428,-5.498240003223429,0.819691471667509,0.1,14.498439282821625,13,8.331756834619755,-1.1293892780400998,SOURCE_COST,2026
3,-1.1200716110754463,-3.360214833226339,0.0,0.0,3.360214833226339,3,,-1.1200716110754463,DOUBLE_COST,2001
5,-1.1362870224410502,-5.681435112205251,0.0,0.0,5.681435112205251,5,,-1.1362870224410502,DOUBLE_COST,2002
100,-0.7852597182539425,-78.52597182539425,0.3171052890112309,0.03,100.91627303854659,78,12.154631643739558,-1.1854625438826074,DOUBLE_COST,2003
92,-0.9014034448105168,-82.92911692256754,0.2565028112452528,0.03260869565217391,89.09410342832294,52,9.536710179250615,-1.2532499714642629,DOUBLE_COST,2004
113,-0.24104204634560533,-27.237751237053402,0.8039296957391829,0.07079646017699115,55.54495634672898,28,13.960067249331976,-1.3230313260162783,DOUBLE_COST,2005
78,-1.0362641611979346,-80.82860457343891,0.18708839439494787,0.02564102564102564,83.24940522821606,40,9.301192003264251,-1.3083024813153608,DOUBLE_COST,2006
116,-0.3990947776560621,-46.294994208103205,0.6704022225124086,0.05172413793103448,85.19879192072882,38,15.694011068526237,-1.276900551084187,DOUBLE_COST,2007
15,0.9752210986111695,14.628316479167541,1.9361729404459271,0.13333333333333333,8.471623046175305,7,15.126986322501669,-1.2019735512181386,DOUBLE_COST,2008
85,0.09379010113237256,7.972158596251667,1.0849821236155008,0.10588235294117647,25.924741841541778,19,11.30910987912366,-1.234339872577122,DOUBLE_COST,2009
95,-0.02704502777194626,-2.5692776383348948,0.9758203475687428,0.11578947368421053,38.75209859532204,25,9.42623293835548,-1.2649742852410137,DOUBLE_COST,2010
86,-0.13066042573010328,-11.236796612788881,0.8871305755779021,0.09302325581395349,43.3949987589377,29,11.039865200202517,-1.276355361723193,DOUBLE_COST,2011
101,-0.7060684324112187,-71.3129116735331,0.42717911385896684,0.0594059405940594,71.31291167353314,34,8.863557862629538,-1.3104658826243192,DOUBLE_COST,2012
128,0.017501852433941978,2.240237111544573,1.0142079719109018,0.1015625,39.82403993312004,15,12.301145775750898,-1.3710839823758012,DOUBLE_COST,2013
131,0.6065361121367926,79.45623068991983,1.5289295957760687,0.15267175572519084,28.08011716830854,14,11.483851881306064,-1.3533406030288417,DOUBLE_COST,2014
94,0.2231556497086231,20.97663107261057,1.192167783824587,0.11702127659574468,31.194914058121732,23,11.830411604725306,-1.3151553804743108,DOUBLE_COST,2015
81,0.7467313291626475,60.48523766217445,1.6637441213432718,0.18518518518518517,16.354477468702555,8,10.10750532246638,-1.3807173056791102,DOUBLE_COST,2016
125,-0.3465776279555173,-43.32220349443966,0.7378124569706138,0.104,53.84595620749758,24,9.377803217996194,-1.4753004047177691,DOUBLE_COST,2017
118,0.6526634938041488,77.01429226888956,1.5670783337003256,0.11016949152542373,31.312951015779515,26,16.371015814764903,-1.2934182221243258,DOUBLE_COST,2018
104,0.5515853329122229,57.364874622871184,1.4855443274480344,0.1346153846153846,26.969055049924055,18,12.53645493070638,-1.312727715633535,DOUBLE_COST,2019
117,0.33786673053682625,39.53040747280867,1.3229313860124639,0.1452991452991453,18.584729882684695,15,9.525974905251937,-1.2241116591647423,DOUBLE_COST,2020
