date,reason,n,last_min
2000-02-22,bad_session_bounds,77,
2000-04-11,bad_session_bounds,75,
2000-07-03,non_contiguous,48,900.0
2000-08-30,bad_session_bounds,77,
2000-09-14,non_contiguous,72,955.0
2000-12-12,non_contiguous,76,955.0
2001-03-29,bad_session_bounds,70,
2001-05-04,bad_session_bounds,76,
2001-06-01,non_contiguous,77,955.0
2001-11-15,non_contiguous,75,955.0
2002-09-11,bad_session_bounds,60,
2002-11-29,non_contiguous,65,895.0
2002-12-24,non_contiguous,52,845.0
2003-06-23,non_contiguous,77,955.0
2003-11-28,non_contiguous,55,850.0
2004-04-13,non_contiguous,77,955.0
2004-11-26,non_contiguous,47,805.0
2007-02-08,bad_session_bounds,75,
2007-05-11,bad_session_bounds,76,
2007-07-03,non_contiguous,70,955.0
2007-11-23,non_contiguous,73,950.0
2007-12-24,non_contiguous,65,940.0
2008-07-03,non_contiguous,69,955.0
2008-11-28,non_contiguous,68,945.0
2008-12-24,non_contiguous,62,955.0
2009-11-27,non_contiguous,70,955.0
2009-12-24,non_contiguous,61,950.0
2010-11-26,non_contiguous,68,950.0
2011-11-25,non_contiguous,66,955.0
2012-07-03,non_contiguous,74,955.0
2012-11-23,non_contiguous,61,955.0
2012-12-24,non_contiguous,56,895.0
2013-01-03,non_contiguous,76,955.0
2013-07-03,non_contiguous,60,925.0
2013-08-22,non_contiguous,48,955.0
2013-11-29,non_contiguous,63,955.0
2013-12-24,non_contiguous,65,940.0
2014-07-03,non_contiguous,67,955.0
2014-11-28,non_contiguous,68,950.0
2014-12-24,non_contiguous,56,945.0
2015-11-27,non_contiguous,66,955.0
2015-12-24,non_contiguous,55,950.0
2016-11-25,non_contiguous,60,950.0
2017-07-03,non_contiguous,75,955.0
2017-11-24,non_contiguous,68,955.0
2018-07-03,non_contiguous,72,955.0
2018-11-23,non_contiguous,72,955.0
2018-12-24,non_contiguous,77,955.0
2019-07-03,non_contiguous,73,950.0
2019-11-29,non_contiguous,71,950.0
2019-12-24,non_contiguous,61,955.0
2020-03-09,non_contiguous,76,955.0
2020-03-12,non_contiguous,76,955.0
2020-03-16,non_contiguous,76,955.0
2020-03-18,non_contiguous,76,955.0
2020-11-27,non_contiguous,77,955.0
2020-12-24,non_contiguous,73,955.0
2021-04-12,bad_session_bounds,71,
2022-11-25,non_contiguous,73,955.0
