year,date,family,range_min,rr,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,reason,risk,r,scenario
2025,2025-01-02,ORB,30,2.0,long,2025-01-02 17:05:00,2025-01-02 17:06:00,2025-01-02 19:30:00,21160.22,20914.14,21652.380000000005,20914.14,stop,246.08000000000175,-1.0,PRIMARY
2025,2025-01-03,ORB,30,2.0,short,2025-01-03 17:21:00,2025-01-03 17:22:00,2025-01-03 18:31:00,21027.74,21181.99,20719.24,21181.99,stop,154.25,-1.0,PRIMARY
2025,2025-01-06,ORB,30,2.0,long,2025-01-06 17:15:00,2025-01-06 17:16:00,2025-01-06 20:46:00,21611.4,21482.85,21868.500000000007,21482.85,stop,128.5500000000029,-1.0,PRIMARY
2025,2025-01-07,ORB,30,2.0,short,2025-01-07 17:01:00,2025-01-07 17:02:00,2025-01-07 22:22:00,21414.71,21567.23,21109.67,21109.67,target,152.52000000000044,2.0,PRIMARY
2025,2025-01-08,ORB,30,2.0,long,2025-01-08 17:03:00,2025-01-08 17:04:00,2025-01-08 17:13:00,21158.43,21051.23,21372.83,21051.23,stop,107.20000000000073,-1.0,PRIMARY
2025,2025-01-10,ORB,30,2.0,short,2025-01-10 17:01:00,2025-01-10 17:02:00,2025-01-10 22:55:00,20751.56,20967.33,20320.02,20815.760000000002,time_exit,215.77000000000044,-0.29753904620661165,PRIMARY
2025,2025-01-13,ORB,30,2.0,long,2025-01-13 17:07:00,2025-01-13 17:08:00,2025-01-13 22:55:00,20632.48,20485.78,20925.88,20718.28,time_exit,146.70000000000073,0.5848670756646138,PRIMARY
2025,2025-01-14,ORB,30,2.0,short,2025-01-14 17:00:00,2025-01-14 17:01:00,2025-01-14 22:55:00,20767.59,20915.72,20471.329999999998,20680.170000000002,time_exit,148.13000000000102,0.590157294268532,PRIMARY
2025,2025-01-15,ORB,30,2.0,long,2025-01-15 17:01:00,2025-01-15 17:02:00,2025-01-15 22:55:00,21145.75,20977.43,21482.39,21194.8,time_exit,168.3199999999997,0.29140922053231555,PRIMARY
2025,2025-01-16,ORB,30,2.0,short,2025-01-16 17:01:00,2025-01-16 17:02:00,2025-01-16 22:55:00,21142.4,21292.92,20841.360000000008,21085.97,time_exit,150.5199999999968,0.37490034546905054,PRIMARY
2025,2025-01-17,ORB,30,2.0,short,2025-01-17 17:28:00,2025-01-17 17:29:00,2025-01-17 20:19:00,21285.73,21465.26,20926.670000000002,21465.26,stop,179.52999999999884,-1.0,PRIMARY
2025,2025-01-20,ORB,30,2.0,short,2025-01-20 17:17:00,2025-01-20 17:18:00,2025-01-20 19:59:00,21519.09,21586.09,21385.09,21496.04,end_of_day_data,67.0,0.3440298507462578,PRIMARY
