models,model_count,risk_pct,risk_dollars_10k,n,tpd,stress_mean,stress_pf,stress_dd,remove_best10_mean,step1_days,step2_days
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom,6,0.8,80.0,1322,1.772117962466488,0.1581280032615358,1.3961119397577917,11.017062611014538,-0.035890648016579235,44.607573357063956,22.303786678531978
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+trend+vwap_scalp,9,0.65,65.0,1892,2.5361930294906165,0.13455792445122292,1.3338590604100706,13.357321888322417,-0.058618156935065786,45.08115758324202,22.54057879162101
ema_rev+kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+vwap_rev+vwap_scalp,8,0.65,65.0,1793,2.403485254691689,0.13732723513645217,1.3386839632308685,13.701215152825274,-0.05614970494818599,46.61100906770477,23.305504533852385
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+trend,7,0.7000000000000001,70.0,1521,2.03887399463807,0.14908972277086474,1.3689638835962106,12.549210851235458,-0.04673826487601318,46.99632150968983,23.498160754844914
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom,6,0.75,75.0,1322,1.772117962466488,0.1581280032615358,1.3961119397577917,11.017062611014538,-0.035890648016579235,47.58141158086823,23.790705790434114
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+trend,8,0.65,65.0,1719,2.304289544235925,0.14029916415194982,1.3458265019038955,12.470480811708512,-0.053757985515236376,47.58767758104628,23.79383879052314
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom,7,0.7000000000000001,70.0,1520,2.037533512064343,0.14700922049635973,1.3660017302035954,12.294814789351506,-0.045225428234156824,47.69277853331884,23.84638926665942
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+vwap_rev,7,0.65,65.0,1506,2.0187667560321714,0.1597843209667851,1.3959269622954666,12.869458130124357,-0.036504342469007627,47.69428445637528,23.84714222818764
kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+vwap_rev,6,0.7000000000000001,70.0,1409,1.888739946380697,0.1580359046835573,1.3914388413440961,12.408706037339044,-0.03771651063520772,47.86014691589312,23.93007345794656
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+trend+vwap_rev,8,0.6,60.0,1705,2.285522788203753,0.15152811460335092,1.371929961431,14.34078985428971,-0.04610648624783488,48.124914864459065,24.062457432229532
ema_rev+kalman_mom+ou_rev+pd_rev+pm_mom+trend+vwap_rev,7,0.65,65.0,1621,2.1729222520107236,0.1456692510149076,1.3545898994576147,13.685449328998367,-0.05215510284711272,48.60428611796763,24.302143058983816
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+vwap_rev,8,0.6,60.0,1704,2.284182305630027,0.14967369848514955,1.3693286089704029,14.532705809610924,-0.04580276658657419,48.74976161041908,24.37488080520954
ema_rev+kalman_mom+ou_rev+pd_rev+pm_mom+vwap_rev,6,0.7000000000000001,70.0,1422,1.906166219839142,0.15359325448131525,1.3771757517840366,12.656633129621415,-0.04282890859454029,48.79429509056915,24.397147545284575
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+sweep+trend,8,0.7000000000000001,70.0,1562,2.0938337801608577,0.1398109268501242,1.3436512070022568,12.575944955281699,-0.05569543382136853,48.7998675339058,24.3999337669529
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+trend+vwap_scalp,9,0.6,60.0,1892,2.5361930294906165,0.13455792445122292,1.3338590604100706,13.357321888322417,-0.058618156935065786,48.837920715178846,24.418960357589423
ema_rev+kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+vwap_rev,7,0.65,65.0,1620,2.1715817694369974,0.14371506340441156,1.3517689778453839,12.922914585851544,-0.050748309748333595,49.29560096228773,24.647800481143864
kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+trend+vwap_rev,7,0.65,65.0,1722,2.3083109919571045,0.1350615871434585,1.3276696669430317,13.069894319508164,-0.06134213472075042,49.34696812449198,24.67348406224599
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+sweep+vwap_rev,8,0.65,65.0,1547,2.0737265415549597,0.1501321181521571,1.3694438625233105,12.869458130124361,-0.045849555121321175,49.41531239074466,24.70765619537233
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+sweep,7,0.75,75.0,1363,1.8270777479892761,0.14722261167803305,1.3657584239127374,11.394972084367481,-0.046473265459949335,49.568661353550944,24.784330676775472
kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+vwap_rev,6,0.7000000000000001,70.0,1523,2.0415549597855227,0.14107406765482638,1.3449115024876555,11.846081891872615,-0.05378117783704766,49.601372675237215,24.800686337618608
kalman_mom+ou_rev+pd_rev+pm_mom+vwap_rev,5,0.75,75.0,1325,1.7761394101876675,0.15128076241176164,1.3710979566034986,11.617930200751129,-0.04454005757498841,49.6224246845154,24.8112123422577
ema_rev+kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+trend+vwap_rev,8,0.6,60.0,1819,2.4383378016085793,0.13773427748096848,1.3346278853152578,14.175761616420061,-0.058196577393265045,49.626408127907276,24.813204063953638
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+trend+vwap_rev,9,0.5499999999999999,55.0,1903,2.5509383378016084,0.14333380464604825,1.35085868597112,15.279527952281367,-0.05343446096414482,49.72659483844668,24.86329741922334
kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+sweep+vwap_rev,7,0.7000000000000001,70.0,1450,1.9436997319034852,0.14778744076175238,1.3633669053124375,12.780075384586578,-0.04761764984916106,49.73192347534994,24.86596173767497
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+sweep+trend+vwap_rev,9,0.6,60.0,1746,2.3404825737265416,0.14316989393134136,1.349362057832332,14.712159201537247,-0.054160755307162675,49.73837982832133,24.869189914160664
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+trend+vwap_rev+vwap_scalp,9,0.5499999999999999,55.0,1878,2.517426273458445,0.1447096726747739,1.3576804711543966,15.82670018581981,-0.05087842782858141,49.90947354599385,24.954736772996924
ema_rev+kalman_mom+ou_rev+pd_rev+pm_mom,5,0.8,80.0,1238,1.6595174262734584,0.15090439483699697,1.3743640833552886,11.017062611014541,-0.04169811775679727,49.9144520333035,24.95722601665175
ema_rev+kalman_mom+open_drive+or_rev+ou_rev+pd_rev+pm_mom+trend+vwap_rev,9,0.5499999999999999,55.0,1949,2.6126005361930296,0.13933545652337137,1.3330724192996506,15.873886213093044,-0.0668561457145947,49.94622324281359,24.973111621406794
kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+vwap_rev+vwap_scalp,7,0.65,65.0,1696,2.2734584450402147,0.13459029181769613,1.3317357790747346,13.603683404834022,-0.058190034574680034,50.27891395155013,25.139456975775065
ema_rev+kalman_mom+ou_rev+pd_rev+pm_mom+sweep+trend+vwap_rev,8,0.65,65.0,1662,2.227882037533512,0.13703312593295663,1.3316058163357996,13.685449328998367,-0.06043898201988428,50.39284602860944,25.19642301430472
ema_rev+kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+vwap_rev+vwap_scalp,8,0.6,60.0,1793,2.403485254691689,0.13732723513645217,1.3386839632308685,13.701215152825274,-0.05614970494818599,50.49525982334683,25.247629911673414
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+sweep+trend+vwap_scalp,10,0.6,60.0,1933,2.591152815013405,0.12736823200575398,1.314262306339686,14.01621213239616,-0.06556270405907011,50.500374950026874,25.250187475013437
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+vwap_rev+vwap_scalp,9,0.5499999999999999,55.0,1877,2.5160857908847185,0.14302254240980652,1.3552266148501384,16.18212322991566,-0.05055738928097168,50.525122068234445,25.262561034117223
ema_rev+kalman_mom+or_rev+ou_lunch+ou_rev+pd_rev+pm_mom+vwap_rev,8,0.6,60.0,1864,2.4986595174262733,0.1319891481118477,1.314393096060608,14.811428509654878,-0.07288037231703288,50.53630014283902,25.26815007141951
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+trend,7,0.65,65.0,1521,2.03887399463807,0.14908972277086474,1.3689638835962106,12.549210851235458,-0.04673826487601318,50.61142316428136,25.30571158214068
ema_rev+kalman_mom+ou_rev+pd_rev+pm_mom+sweep+vwap_rev,7,0.7000000000000001,70.0,1463,1.9611260053619304,0.1435603604086391,1.3500779749146912,12.656633129621415,-0.05249984336840564,50.741338749045674,25.370669374522837
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom,6,0.7000000000000001,70.0,1322,1.772117962466488,0.1581280032615358,1.3961119397577917,11.017062611014538,-0.035890648016579235,50.980083836644525,25.490041918322262
kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+trend,6,0.7000000000000001,70.0,1424,1.9088471849865951,0.14663122939440953,1.3627060703919203,12.4563844965556,-0.04859800099577443,51.03925450630753,25.519627253153764
ema_rev+kalman_mom+ou_rev+pm_mom+vwap_rev,5,0.75,75.0,1352,1.8123324396782843,0.14385479848121252,1.3491620631619317,11.43701095716084,-0.05451453575690189,51.141860056530646,25.570930028265323
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+sweep+trend+vwap_rev,10,0.5499999999999999,55.0,1944,2.6058981233243967,0.13599970660845598,1.3311822919341914,15.6508972995289,-0.06048731701863963,51.30289890616284,25.65144945308142
ema_rev+kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+sweep+trend+vwap_rev,9,0.6,60.0,1860,2.493297587131367,0.1301923925501561,1.3146578526693304,14.302406754844043,-0.0654481674222589,51.34392019906125,25.671960099530626
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom,7,0.65,65.0,1520,2.037533512064343,0.14700922049635973,1.3660017302035954,12.294814789351506,-0.045225428234156824,51.3614538051126,25.6807269025563
kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+trend,7,0.65,65.0,1622,2.1742627345844503,0.1376150835390602,1.3389878548696816,11.516152506323607,-0.05681229744740554,51.417218948643125,25.708609474321563
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+sweep+trend+vwap_rev+vwap_scalp,10,0.5499999999999999,55.0,1919,2.572386058981233,0.1372506329800073,1.337377464106576,15.82670018581981,-0.05807682756163244,51.497578372589835,25.748789186294918
kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+vwap_rev,6,0.65,65.0,1409,1.888739946380697,0.1580359046835573,1.3914388413440961,12.408706037339044,-0.03771651063520772,51.541696678654134,25.770848339327067
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+trend,8,0.6,60.0,1719,2.304289544235925,0.14029916415194982,1.3458265019038955,12.470480811708512,-0.053757985515236376,51.553317379466804,25.776658689733402
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+vwap_rev,7,0.6,60.0,1506,2.0187667560321714,0.1597843209667851,1.3959269622954666,12.869458130124357,-0.036504342469007627,51.668808161073216,25.834404080536608
