type,segment,n,mean_r,sum_r,pf,win_rate,max_dd_r,share_trades,share_total_r,confidence
direction,long,1199,0.20499775078303545,245.7923031888595,1.565538120238743,0.5095913261050876,11.010975915421668,0.6064744562468386,0.679323896924527,HIGH
direction,short,778,0.14913459089894743,116.0267117193811,1.3457237506605213,0.4254498714652956,17.79600630276028,0.39352554375316134,0.3206761030754731,HIGH
model,pd_rev,102,0.28333035038798765,28.89969573957474,1.786034850712506,0.5392156862745098,7.4249142336314975,0.051593323216995446,0.0798733470293259,HIGH
model,open_drive,120,0.2656386412982703,31.87663695579244,1.8337362660349472,0.475,6.753407441046068,0.06069802731411229,0.08810105506444028,HIGH
model,kalman_mom,374,0.19470187684587942,72.8185019403589,1.479710029887694,0.4385026737967914,14.442997336103101,0.18917551846231664,0.2012567027712076,HIGH
model,ou_rev,738,0.17172663168711608,126.73425418509167,1.4352989572199584,0.4715447154471545,11.16039075030762,0.37329286798179057,0.35026974526817567,HIGH
model,pm_mom,488,0.16485153116598245,80.44754720899944,1.4279462357371944,0.5163934426229508,9.053211581606309,0.2468386444107233,0.22234195521592864,HIGH
model,ema_rev,155,0.1357572830866026,21.042378878423403,1.327268771779137,0.4258064516129032,9.983895996973954,0.07840161861406171,0.05815719465092202,HIGH
model_direction,pd_rev__long,61,0.3865867062076862,23.58178907866886,2.316048391972505,0.6065573770491803,8.35818669292788,0.030854830551340414,0.0651756488935479,HIGH
model_direction,kalman_mom__short,148,0.28464027036588796,42.126760014151415,1.6845199872721393,0.42567567567567566,8.596925156963005,0.07486090035407182,0.11643047567534562,HIGH
model_direction,open_drive__long,120,0.2656386412982703,31.87663695579244,1.8337362660349472,0.475,6.753407441046068,0.06069802731411229,0.08810105506444028,HIGH
model_direction,pm_mom__long,277,0.22864427355124461,63.33446377369476,1.6677078818210005,0.5667870036101083,5.200390801175978,0.14011127971674253,0.17504459733758534,HIGH
model_direction,ema_rev__long,80,0.21141832136304523,16.913465709043617,1.5546095037238488,0.4875,3.5185462529662694,0.04046535154274153,0.04674565186501592,HIGH
model_direction,ou_rev__long,435,0.18251541550678702,79.39420574545235,1.4874997754609038,0.5057471264367817,7.186540489489783,0.22003034901365706,0.2194307166680756,HIGH
model_direction,ou_rev__short,303,0.1562377836291727,47.34004843963933,1.3690281194143965,0.42244224422442245,12.405115375732331,0.15326251896813353,0.1308390286001001,HIGH
model_direction,kalman_mom__long,226,0.13580416781507734,30.691741926207477,1.3400563592045382,0.4469026548672566,12.460373586817663,0.11431461810824481,0.08482622709586196,HIGH
model_direction,pd_rev__short,41,0.1297050405098996,5.317906660905883,1.2821500416691098,0.43902439024390244,7.296550967678676,0.020738492665655032,0.014697698135778009,MODERATE
model_direction,pm_mom__short,211,0.08110466083082783,17.113083435304674,1.1837515882206855,0.45023696682464454,9.708335723766393,0.10672736469398078,0.04729735787834327,HIGH
model_direction,ema_rev__short,75,0.05505217559173047,4.128913169379786,1.1221544303746442,0.36,9.252683826420935,0.03793626707132018,0.011411542785906104,HIGH
session,OPEN_0930_1030,417,0.23726564308820766,98.93977316778259,1.6284531862473473,0.44844124700239807,8.416760517821743,0.2109256449165402,0.2734510047595876,HIGH
session,LUNCH_1200_1330,181,0.22943220233333675,41.52722862233395,1.632748134641523,0.5027624309392266,10.946171640132357,0.09155285786545271,0.11477348318154451,HIGH
session,PM_1330_1500,807,0.16825668372175456,135.78314376345594,1.4338948840879397,0.5080545229244114,12.487339228062464,0.40819423368740515,0.37527918149324285,HIGH
session,MORNING_1030_1200,563,0.1558869617892247,87.76435948733351,1.3832446298281034,0.44582593250444047,16.998484821631163,0.2847749114820435,0.24256425414676194,HIGH
session,POWER_1500_1600,9,-0.24394334807393175,-2.1954901326653857,0.5789665210322089,0.3333333333333333,3.195314939953341,0.004552352048558422,-0.00606792358113676,VERY_LOW
weekday,Monday,371,0.2439655771476994,90.51122912179648,1.6844259832338788,0.5040431266846361,8.320601634789021,0.18765806777946384,0.25015608741500406,HIGH
weekday,Friday,408,0.22582977346629984,92.13854757425034,1.5951999839428934,0.49019607843137253,7.776777880328154,0.20637329286798178,0.25465369087254086,HIGH
weekday,Wednesday,402,0.2200719728724767,88.46893309473563,1.564542310762319,0.48258706467661694,6.933168806133253,0.20333839150227617,0.2445115636533693,HIGH
weekday,Thursday,372,0.213986026713938,79.60280193758493,1.5425957932131666,0.5080645161290323,7.403370813593071,0.18816388467374812,0.22000723747969042,HIGH
weekday,Tuesday,424,0.026173356556304702,11.097503179873193,1.061735526592277,0.4056603773584906,26.799822393173844,0.2144663631765301,0.030671420579395436,HIGH
