entry_time,exit_time,model,direction,tag,risk_ticks,raw_r,spread_cost_points,primary_r,stress_r,reason,year,period,session,hour,weekday,model_direction,md_session,md_weekday,risk_quartile
2021-01-05 10:08:00,2021-01-05 10:12:00,or_rev,short,or_rev_short,44.19999999999709,0.6006787330317797,0.2,0.5825791855204663,0.5644796380091528,trail,2021,DEV,OPEN_0930_1030,10,Tuesday,or_rev__short,or_rev__short__OPEN_0930_1030,or_rev__short__Tuesday,Q2
2021-01-05 10:24:00,2021-01-05 10:25:00,kalman_mom,short,kalman_mom_short,41.19999999999709,-1.006067961165049,0.2,-1.0254854368932056,-1.0449029126213623,stop,2021,DEV,OPEN_0930_1030,10,Tuesday,kalman_mom__short,kalman_mom__short__OPEN_0930_1030,kalman_mom__short__Tuesday,Q1_TIGHT
2021-01-05 14:02:00,2021-01-05 14:07:00,pm_mom,long,pm_mom_long,69.59999999999854,0.6343390804598042,0.2,0.6228448275862408,0.6113505747126773,trail,2021,DEV,PM_1330_1500,14,Tuesday,pm_mom__long,pm_mom__long__PM_1330_1500,pm_mom__long__Tuesday,Q4_WIDE
2021-01-06 09:52:00,2021-01-06 09:53:00,sweep,long,sweep_pdl_long,49.19999999999709,-0.005081300813008431,0.2,-0.02134146341463541,-0.037601626016262386,trail,2021,DEV,OPEN_0930_1030,9,Wednesday,sweep__long,sweep__long__OPEN_0930_1030,sweep__long__Wednesday,Q3
2021-01-06 10:06:00,2021-01-06 10:07:00,or_rev,short,or_rev_short,44.400000000001455,-0.0056306306306304465,0.2,-0.023648648648647873,-0.041666666666665304,trail,2021,DEV,OPEN_0930_1030,10,Wednesday,or_rev__short,or_rev__short__OPEN_0930_1030,or_rev__short__Wednesday,Q2
2021-01-06 10:14:00,2021-01-06 10:20:00,ou_rev,short,ou_rev_short,53.400000000001455,-1.0046816479400749,0.2,-1.0196629213483142,-1.0346441947565534,stop,2021,DEV,OPEN_0930_1030,10,Wednesday,ou_rev__short,ou_rev__short__OPEN_0930_1030,ou_rev__short__Wednesday,Q3
2021-01-06 10:27:00,2021-01-06 10:28:00,ou_rev,short,ou_rev_short,53.599999999998545,-1.0046641791044777,0.2,-1.0195895522388065,-1.0345149253731352,stop,2021,DEV,OPEN_0930_1030,10,Wednesday,ou_rev__short,ou_rev__short__OPEN_0930_1030,ou_rev__short__Wednesday,Q3
2021-01-06 10:30:00,2021-01-06 10:31:00,ou_rev,short,ou_rev_short,41.400000000001455,-1.006038647342995,0.2,-1.025362318840579,-1.0446859903381627,stop,2021,DEV,MORNING_1030_1200,10,Wednesday,ou_rev__short,ou_rev__short__MORNING_1030_1200,ou_rev__short__Wednesday,Q1_TIGHT
2021-01-06 11:52:00,2021-01-06 11:57:00,kalman_mom,short,kalman_mom_short,43.19999999999709,-1.0057870370370374,0.2,-1.0243055555555571,-1.042824074074077,stop,2021,DEV,MORNING_1030_1200,11,Wednesday,kalman_mom__short,kalman_mom__short__MORNING_1030_1200,kalman_mom__short__Wednesday,Q1_TIGHT
2021-01-06 13:42:00,2021-01-06 13:46:00,pm_mom,long,pm_mom_long,55.599999999998545,0.7401079136691103,0.2,0.7257194244604769,0.7113309352518434,trail,2021,DEV,PM_1330_1500,13,Wednesday,pm_mom__long,pm_mom__long__PM_1330_1500,pm_mom__long__Wednesday,Q4_WIDE
2021-01-07 10:09:00,2021-01-07 10:11:00,or_rev,short,or_rev_short,46.599999999998545,-1.005364806866953,0.2,-1.0225321888412024,-1.039699570815452,stop,2021,DEV,OPEN_0930_1030,10,Thursday,or_rev__short,or_rev__short__OPEN_0930_1030,or_rev__short__Thursday,Q2
2021-01-07 10:42:00,2021-01-07 10:43:00,kalman_mom,long,kalman_mom_long,44.0,-0.005681818181818182,0.2,-0.023863636363636365,-0.04204545454545455,trail,2021,DEV,MORNING_1030_1200,10,Thursday,kalman_mom__long,kalman_mom__long__MORNING_1030_1200,kalman_mom__long__Thursday,Q1_TIGHT
2021-01-08 10:35:00,2021-01-08 10:39:00,vwap_rev,long,vwap_rev_long,49.19999999999709,2.04369918699205,0.2,2.0274390243904232,2.011178861788796,trail,2021,DEV,MORNING_1030_1200,10,Friday,vwap_rev__long,vwap_rev__long__MORNING_1030_1200,vwap_rev__long__Friday,Q3
2021-01-11 10:37:00,2021-01-11 10:39:00,vwap_scalp,short,vwap_scalp_short,40.599999999998545,0.4963054187192655,0.2,0.47660098522172784,0.4568965517241902,trail,2021,DEV,MORNING_1030_1200,10,Monday,vwap_scalp__short,vwap_scalp__short__MORNING_1030_1200,vwap_scalp__short__Monday,Q1_TIGHT
2021-01-11 10:46:00,2021-01-11 10:46:00,vwap_scalp,short,vwap_scalp_short,42.0,1.5476190476190477,0.2,1.5285714285714287,1.5095238095238095,target,2021,DEV,MORNING_1030_1200,10,Monday,vwap_scalp__short,vwap_scalp__short__MORNING_1030_1200,vwap_scalp__short__Monday,Q1_TIGHT
2021-01-12 10:01:00,2021-01-12 10:01:00,or_rev,long,or_rev_long,53.80000000000291,-1.0046468401486985,0.2,-1.0195167286245341,-1.0343866171003697,stop,2021,DEV,OPEN_0930_1030,10,Tuesday,or_rev__long,or_rev__long__OPEN_0930_1030,or_rev__long__Tuesday,Q3
2021-01-12 10:34:00,2021-01-12 10:41:00,kalman_mom,long,kalman_mom_long,43.599999999998545,-1.0057339449541287,0.2,-1.0240825688073403,-1.042431192660552,stop,2021,DEV,MORNING_1030_1200,10,Tuesday,kalman_mom__long,kalman_mom__long__MORNING_1030_1200,kalman_mom__long__Tuesday,Q1_TIGHT
2021-01-12 12:14:00,2021-01-12 12:15:00,vwap_rev,long,vwap_rev_long,41.19999999999709,-1.006067961165049,0.2,-1.0254854368932056,-1.0449029126213623,stop,2021,DEV,LUNCH_1200_1330,12,Tuesday,vwap_rev__long,vwap_rev__long__LUNCH_1200_1330,vwap_rev__long__Tuesday,Q1_TIGHT
2021-01-12 12:22:00,2021-01-12 12:24:00,vwap_rev,long,vwap_rev_long,41.400000000001455,-1.006038647342995,0.2,-1.025362318840579,-1.0446859903381627,stop,2021,DEV,LUNCH_1200_1330,12,Tuesday,vwap_rev__long,vwap_rev__long__LUNCH_1200_1330,vwap_rev__long__Tuesday,Q1_TIGHT
2021-01-12 13:31:00,2021-01-12 13:35:00,pm_mom,long,pm_mom_long,76.40000000000146,1.1695026178010057,0.2,1.1590314136125242,1.1485602094240428,trail,2021,DEV,PM_1330_1500,13,Tuesday,pm_mom__long,pm_mom__long__PM_1330_1500,pm_mom__long__Tuesday,Q4_WIDE
2021-01-13 09:39:00,2021-01-13 09:40:00,open_drive,long,open_drive_long,52.400000000001455,-1.004770992366412,0.2,-1.0200381679389308,-1.0353053435114494,stop,2021,DEV,OPEN_0930_1030,9,Wednesday,open_drive__long,open_drive__long__OPEN_0930_1030,open_drive__long__Wednesday,Q3
2021-01-13 10:45:00,2021-01-13 10:46:00,ou_rev,short,ou_rev_short,56.0,-1.0044642857142858,0.2,-1.01875,-1.0330357142857143,stop,2021,DEV,MORNING_1030_1200,10,Wednesday,ou_rev__short,ou_rev__short__MORNING_1030_1200,ou_rev__short__Wednesday,Q4_WIDE
2021-01-13 12:05:00,2021-01-13 12:07:00,kalman_mom,short,kalman_mom_short,41.400000000001455,0.6606280193236131,0.2,0.6413043478260293,0.6219806763284454,trail,2021,DEV,LUNCH_1200_1330,12,Wednesday,kalman_mom__short,kalman_mom__short__LUNCH_1200_1330,kalman_mom__short__Wednesday,Q1_TIGHT
2021-01-13 12:36:00,2021-01-13 12:41:00,pd_rev,short,pd_pdh_short,47.0,-1.0053191489361701,0.2,-1.0223404255319148,-1.0393617021276595,trail,2021,DEV,LUNCH_1200_1330,12,Wednesday,pd_rev__short,pd_rev__short__LUNCH_1200_1330,pd_rev__short__Wednesday,Q2
2021-01-13 14:02:00,2021-01-13 14:04:00,pm_mom,long,pm_mom_long,55.400000000001455,0.9629963898916452,0.2,0.9485559566786491,0.9341155234656531,trail,2021,DEV,PM_1330_1500,14,Wednesday,pm_mom__long,pm_mom__long__PM_1330_1500,pm_mom__long__Wednesday,Q3
2021-01-14 10:35:00,2021-01-14 10:37:00,pd_rev,short,pd_pdh_short,48.400000000001455,0.751033057851187,0.2,0.7345041322313528,0.7179752066115186,trail,2021,DEV,MORNING_1030_1200,10,Thursday,pd_rev__short,pd_rev__short__MORNING_1030_1200,pd_rev__short__Thursday,Q3
2021-01-14 12:13:00,2021-01-14 12:16:00,vwap_rev,long,vwap_rev_long,40.400000000001455,0.7264851485147893,0.2,0.7066831683167702,0.6868811881187511,trail,2021,DEV,LUNCH_1200_1330,12,Thursday,vwap_rev__long,vwap_rev__long__LUNCH_1200_1330,vwap_rev__long__Thursday,Q1_TIGHT
2021-01-14 12:48:00,2021-01-14 12:51:00,vwap_rev,long,vwap_rev_long,41.19999999999709,1.4696601941749317,0.2,1.450242718446775,1.4308252427186183,trail,2021,DEV,LUNCH_1200_1330,12,Thursday,vwap_rev__long,vwap_rev__long__LUNCH_1200_1330,vwap_rev__long__Thursday,Q1_TIGHT
2021-01-15 10:10:00,2021-01-15 10:10:00,or_rev,long,or_rev_long,54.0,-1.0046296296296295,0.2,-1.0194444444444444,-1.0342592592592592,stop,2021,DEV,OPEN_0930_1030,10,Friday,or_rev__long,or_rev__long__OPEN_0930_1030,or_rev__long__Friday,Q3
2021-01-15 10:17:00,2021-01-15 10:19:00,kalman_mom,short,kalman_mom_short,43.19999999999709,4.78125000000039,0.2,4.76273148148187,4.74421296296335,trail,2021,DEV,OPEN_0930_1030,10,Friday,kalman_mom__short,kalman_mom__short__OPEN_0930_1030,kalman_mom__short__Friday,Q1_TIGHT
