type,segment,n,mean_r,sum_r,pf,win_rate,max_dd_r,share_trades,share_r,confidence
model,ema_rev,161,0.09995245191366238,16.092344758099642,1.2348976533925011,0.40993788819875776,13.91127760769313,0.04611859066170152,0.03087940397870199,HIGH
model,kalman_mom,366,0.20550843153734855,75.21608594266957,1.506248328325153,0.43989071038251365,14.401670225170413,0.10484101976511029,0.14433122944072088,HIGH
model,open_drive,116,0.24008347963916607,27.849683638143265,1.7290816295509188,0.46551724137931033,6.753407441046068,0.03322830134631911,0.05344041807881506,HIGH
model,or_rev,354,0.12645040119427114,44.76344202277199,1.2680452380460887,0.3926553672316384,12.645456311544237,0.1014036092810083,0.08589602264161375,HIGH
model,ou_lunch,287,0.11217347221584677,32.19378652594802,1.3046045650761873,0.42857142857142855,12.75135512945887,0.08221140074477228,0.061776264098398474,HIGH
model,ou_rev,723,0.16643964364774683,120.33586235732095,1.4232084489998669,0.47164591977869985,10.085132508490084,0.20710398166714408,0.23091101779850293,HIGH
model,pd_rev,96,0.28490822761371654,27.35118985091679,1.7677381264114198,0.5520833333333334,7.4249142336314975,0.027499283872815812,0.0524838644337105,HIGH
model,pm_mom,504,0.16246140746727208,81.88054936350512,1.4215296794018215,0.5138888888888888,8.029504286973472,0.14437124033228302,0.15711958697138356,HIGH
model,sweep,61,-0.020819735263785086,-1.2700038510908902,0.9549146773557385,0.3770491803278688,11.910127211711728,0.017473503294185046,-0.0024369948917856796,HIGH
model,trend,323,0.07427411730863501,23.990539890689107,1.1734652689840932,0.42724458204334365,17.968871454786527,0.0925236321970782,0.04603515423561167,HIGH
model,vwap_rev,255,0.12953059938523245,33.030302843234274,1.2974454702274458,0.42745098039215684,11.322058887336457,0.073044972787167,0.06338144505148842,HIGH
model,vwap_scalp,245,0.1620466501239997,39.70142928037993,1.4381325575327069,0.4489795918367347,9.505510827216554,0.07018046405041535,0.0761825881628386,HIGH
direction,long,1999,0.17092254139925173,341.6741602571042,1.4456567737677746,0.4822411205602801,14.07687812730969,0.5726152964766542,0.6556343766095665,HIGH
direction,short,1492,0.12028220667927852,179.46105236548357,1.278821173472652,0.4101876675603217,27.402706321760405,0.42738470352334573,0.3443656233904336,HIGH
model_direction,ema_rev__long,83,0.13834775599570895,11.482863747643842,1.3314707479474563,0.4578313253012048,6.158970201797336,0.023775422515038672,0.022034327118017772,HIGH
model_direction,ema_rev__short,78,0.05909591039045891,4.609481010455795,1.1361104631713195,0.358974358974359,9.07788058495504,0.02234316814666285,0.008845076860684208,HIGH
model_direction,kalman_mom__long,225,0.1301066703844108,29.27400083649243,1.3208148999932725,0.4444444444444444,13.502040253484328,0.06445144657691206,0.056173522969542665,HIGH
model_direction,kalman_mom__short,141,0.3258303908239513,45.94208510617714,1.8014096471043004,0.4326241134751773,5.252522835208971,0.040389573188198226,0.08815770647117822,HIGH
model_direction,open_drive__long,116,0.24008347963916607,27.849683638143265,1.7290816295509188,0.46551724137931033,6.753407441046068,0.03322830134631911,0.05344041807881506,HIGH
model_direction,or_rev__long,204,0.15213577037656006,31.035697156818255,1.3326398470825418,0.4362745098039216,9.450388793925647,0.0584359782297336,0.05955402054033657,HIGH
model_direction,or_rev__short,150,0.09151829910635827,13.72774486595374,1.1862692926899396,0.3333333333333333,9.158321295405468,0.042967631051274706,0.02634200210127719,HIGH
model_direction,ou_lunch__long,146,0.10710936226715452,15.63796689100456,1.3114271595083153,0.4315068493150685,9.409350137954775,0.04182182755657405,0.030007503834383498,HIGH
model_direction,ou_lunch__short,141,0.11741716053151388,16.555819634943457,1.2984291811778408,0.425531914893617,10.392872172404338,0.040389573188198226,0.03176876026401497,HIGH
model_direction,ou_rev__long,426,0.17242557049388532,73.45329303039514,1.4571898376390422,0.5023474178403756,7.186540489489779,0.12202807218562016,0.1409486276330187,HIGH
model_direction,ou_rev__short,297,0.15785376877752788,46.88256932692578,1.3790657424843082,0.4276094276094276,13.317036674779072,0.08507590948152392,0.08996239016548417,HIGH
model_direction,pd_rev__long,57,0.3985247095887775,22.715908446560316,2.3484613203313303,0.6140350877192983,8.358186692927884,0.01632769979948439,0.04358927951201687,MODERATE
model_direction,pd_rev__short,39,0.11885336934247363,4.635281404356472,1.2468217116470617,0.46153846153846156,7.296550967678677,0.011171584073331424,0.00889458492169363,MODERATE
model_direction,pm_mom__long,287,0.23275910700437824,66.80186371025655,1.6818744907755214,0.5679442508710801,5.171289734591376,0.08221140074477228,0.1281852810791261,HIGH
model_direction,pm_mom__short,217,0.06948703066013161,15.07868565324856,1.1566157013390495,0.4423963133640553,11.791213755598994,0.06215983958751074,0.028934305892257414,HIGH
model_direction,sweep__long,45,-0.013551934028761413,-0.6098370312942636,0.9707388935506776,0.4,11.609767902618803,0.012890289315382412,-0.001170208837405725,MODERATE
model_direction,sweep__short,16,-0.04126042623728912,-0.660166819796626,0.9099078261297507,0.3125,4.511792366520285,0.004583213978802635,-0.0012667860543799534,LOW
model_direction,trend__long,113,0.13158757714340674,14.869396217204962,1.3367197646873348,0.4690265486725664,8.34587275207182,0.03236894872529361,0.02853270294742788,HIGH
model_direction,trend__short,210,0.04343401749278163,9.121143673484143,1.0968869466781916,0.40476190476190477,15.396467863021403,0.06015468347178459,0.01750245128818379,HIGH
model_direction,vwap_rev__long,163,0.16937837059416058,27.608674406848177,1.4138881066511477,0.44785276073619634,8.120919108154974,0.04669149240905185,0.052977948405959485,HIGH
model_direction,vwap_rev__short,92,0.05893074387376192,5.421628436386096,1.1222714080489393,0.391304347826087,8.624729048534675,0.026353480378115152,0.010403496645528929,HIGH
model_direction,vwap_scalp__long,134,0.16085559109724565,21.554649207030916,1.415404258765244,0.47761194029850745,9.723130094449074,0.038384417072472074,0.04136095332832757,HIGH
model_direction,vwap_scalp__short,111,0.1634845051653064,18.14678007334901,1.4685852714124714,0.4144144144144144,9.556853401440463,0.03179604697794328,0.03482163483451103,HIGH
session,LUNCH_1200_1330,500,0.14108446127836297,70.54223063918148,1.3809212963238962,0.46,9.067535807571339,0.14322543683758235,0.13536262553470746,HIGH
session,MORNING_1030_1200,1135,0.13894418161307956,157.7016461308453,1.3389487573008996,0.4370044052863436,20.84704073194463,0.32512174162131197,0.302611764300515,HIGH
session,OPEN_0930_1030,879,0.16835785044125842,147.98655053786615,1.3949320358818196,0.42093287827076226,13.142706804740532,0.2517903179604698,0.2839695859221084,HIGH
session,PM_1330_1500,966,0.14913280826638853,144.06229278533132,1.3791908219715239,0.4917184265010352,10.883754783861264,0.2767115439702091,0.276439375609153,HIGH
session,POWER_1500_1600,11,0.07659022994213281,0.8424925293634609,1.1611492298533053,0.45454545454545453,3.1515973384021754,0.003150959610426812,0.0016166486335161619,VERY_LOW
weekday,Friday,643,0.2169750317755411,139.5149454316729,1.5793910448772899,0.4758942457231726,13.423238710675362,0.1841879117731309,0.2677135262642697,HIGH
weekday,Monday,589,0.20877020561921414,122.96565110971713,1.5507568918630372,0.47877758913412566,11.87791361098444,0.16871956459467202,0.2359572873437173,HIGH
weekday,Thursday,741,0.15231564620861604,112.86589384058448,1.3705489991731756,0.45614035087719296,13.569326067913089,0.21226009739329704,0.21657698636903144,HIGH
weekday,Tuesday,777,0.023961823968125788,18.618337223233738,1.053889864066109,0.4041184041184041,21.14008846243756,0.222572328845603,0.03572650009493286,HIGH
weekday,Wednesday,741,0.17161995278998576,127.17038501737946,1.4293750541865462,0.4534412955465587,15.289565353249102,0.21226009739329704,0.24402569992804873,HIGH
