segment,type,DEV_n,DEV_mean,DEV_pf,DEV_sum,2024_n,2024_mean,2024_pf,2024_sum,2025_n,2025_mean,2025_pf,2025_sum,all_n,all_mean,all_pf,all_dd
ema_rev,model,101,0.1492861570758908,1.367165489109289,15.077901864664971,44,-0.11031017766081183,0.7811562962932525,-4.8536478170757205,16,0.3667556694068993,2.114841143917749,5.868090710510389,161,0.09995245191366238,1.2348976533925011,13.91127760769313
kalman_mom,model,243,0.1815440608051688,1.4419242111527601,44.11520677565602,90,0.11466808404029089,1.263602611673915,10.32012756362618,33,0.6297197455571929,3.164689909582439,20.780751603387365,366,0.20550843153734855,1.506248328325153,14.401670225170413
open_drive,model,81,0.23987974773806528,1.6775871085383955,19.43025956678329,35,0.24055497346742785,1.8841477630956114,8.419424071359975,0,,,0.0,116,0.24008347963916607,1.7290816295509188,6.753407441046068
or_rev,model,244,0.07357745260666645,1.1526457265433705,17.952898436026615,87,0.23186001075920717,1.5318436196630252,20.171820936051024,23,0.2886401152475803,1.5792983338816902,6.638722650694348,354,0.12645040119427117,1.268045238046089,12.645456311544237
ou_lunch,model,198,0.11216350810387855,1.2824798563727127,22.208374604567954,68,0.08612109802137585,1.2978610329359161,5.856234665453558,21,0.196627488377453,1.5572331522247274,4.129177255926513,287,0.11217347221584677,1.3046045650761873,12.751355129458872
ou_rev,model,484,0.13322121919240684,1.3289169382898764,64.47907008912492,186,0.1720075829181995,1.4544357438625173,31.99341042278511,53,0.4502524876492625,2.3327908778179034,23.863381845410913,723,0.1664396436477468,1.4232084489998669,10.08513250849009
pd_rev,model,65,0.37188679138677605,2.1565296359141803,24.172641440140442,23,-0.29818017388673923,0.4991206158187753,-6.858143999395002,8,1.2545865512714187,10.721180414269616,10.03669241017135,96,0.28490822761371654,1.7677381264114198,7.4249142336314975
pm_mom,model,334,0.09622198493469585,1.232034901095585,32.13814296818841,128,0.3300989814894086,2.207924692987234,42.2526696306443,42,0.17832706582553345,1.360759441532352,7.489736764672405,504,0.16246140746727206,1.4215296794018215,8.029504286973472
sweep,model,41,-0.06051176239449949,0.8748810434704477,-2.480982258174479,16,0.14545599422192257,1.3727910114959625,2.327295907550761,4,-0.27907937511679287,0.467663076599335,-1.1163175004671715,61,-0.02081973526378507,0.9549146773557385,11.910127211711728
trend,model,214,0.08362611120974149,1.1941497993040422,17.89598779888468,84,0.08167191388950876,1.204017130941098,6.860440766718735,25,-0.030635546996572467,0.9387226189984341,-0.7658886749143117,323,0.07427411730863501,1.1734652689840934,17.968871454786523
vwap_rev,model,181,0.1611209071341572,1.3739490519248214,29.16288419128245,61,0.10465052260911546,1.2488889278491502,6.383681879156043,13,-0.19355870978494008,0.6604972866499991,-2.516263227204221,255,0.12953059938523245,1.2974454702274458,11.322058887336457
vwap_scalp,model,173,0.07486918741717125,1.1987868708081806,12.952369423170625,59,0.42862160606768845,2.322540178058058,25.28867475799362,13,0.11233731532428354,1.2304627406390607,1.460385099215686,245,0.16204665012399974,1.4381325575327069,9.505510827216558
