version,year,target_start,target_end,events,fvg_only_events,non_fvg_only_events,session_candidates,temporal_split,fvg_seed,session_seed,uniform_tick_window,models
COMEX_EVENT_TIMING_V1,2011,2011-01-01 00:00:00+00:00,2012-01-01 00:00:00+00:00,101473,95346,6127,316,DEV,COMEX_FVG_SAMPLE_V1_SEED_971,COMEX_SESSION_PANEL_V1_SEED_971,contact -30m through contact +16m; end is exclusive in acquisition plan,"['PASSIVE_TOUCH', 'TOUCH_NEXT_OPEN', 'CLEAN_REJECTION', 'FAILED_AUCTION', 'ACCEPTANCE_RETEST', 'RECLAIM_PULLBACK']"
COMEX_EVENT_TIMING_V1,2012,2012-01-01 00:00:00+00:00,2013-01-01 00:00:00+00:00,82007,76314,5693,330,DEV,COMEX_FVG_SAMPLE_V1_SEED_971,COMEX_SESSION_PANEL_V1_SEED_971,contact -30m through contact +16m; end is exclusive in acquisition plan,"['PASSIVE_TOUCH', 'TOUCH_NEXT_OPEN', 'CLEAN_REJECTION', 'FAILED_AUCTION', 'ACCEPTANCE_RETEST', 'RECLAIM_PULLBACK']"
COMEX_EVENT_TIMING_V1,2013,2013-01-01 00:00:00+00:00,2014-01-01 00:00:00+00:00,85294,79794,5500,263,DEV,COMEX_FVG_SAMPLE_V1_SEED_971,COMEX_SESSION_PANEL_V1_SEED_971,contact -30m through contact +16m; end is exclusive in acquisition plan,"['PASSIVE_TOUCH', 'TOUCH_NEXT_OPEN', 'CLEAN_REJECTION', 'FAILED_AUCTION', 'ACCEPTANCE_RETEST', 'RECLAIM_PULLBACK']"
COMEX_EVENT_TIMING_V1,2014,2014-01-01 00:00:00+00:00,2015-01-01 00:00:00+00:00,88507,83862,4645,265,DEV,COMEX_FVG_SAMPLE_V1_SEED_971,COMEX_SESSION_PANEL_V1_SEED_971,contact -30m through contact +16m; end is exclusive in acquisition plan,"['PASSIVE_TOUCH', 'TOUCH_NEXT_OPEN', 'CLEAN_REJECTION', 'FAILED_AUCTION', 'ACCEPTANCE_RETEST', 'RECLAIM_PULLBACK']"
COMEX_EVENT_TIMING_V1,2015,2015-01-01 00:00:00+00:00,2016-01-01 00:00:00+00:00,85672,80854,4818,262,DEV,COMEX_FVG_SAMPLE_V1_SEED_971,COMEX_SESSION_PANEL_V1_SEED_971,contact -30m through contact +16m; end is exclusive in acquisition plan,"['PASSIVE_TOUCH', 'TOUCH_NEXT_OPEN', 'CLEAN_REJECTION', 'FAILED_AUCTION', 'ACCEPTANCE_RETEST', 'RECLAIM_PULLBACK']"
COMEX_EVENT_TIMING_V1,2016,2016-01-01 00:00:00+00:00,2017-01-01 00:00:00+00:00,82696,77827,4869,258,DEV,COMEX_FVG_SAMPLE_V1_SEED_971,COMEX_SESSION_PANEL_V1_SEED_971,contact -30m through contact +16m; end is exclusive in acquisition plan,"['PASSIVE_TOUCH', 'TOUCH_NEXT_OPEN', 'CLEAN_REJECTION', 'FAILED_AUCTION', 'ACCEPTANCE_RETEST', 'RECLAIM_PULLBACK']"
COMEX_EVENT_TIMING_V1,2017,2017-01-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,76320,71589,4731,257,DEV,COMEX_FVG_SAMPLE_V1_SEED_971,COMEX_SESSION_PANEL_V1_SEED_971,contact -30m through contact +16m; end is exclusive in acquisition plan,"['PASSIVE_TOUCH', 'TOUCH_NEXT_OPEN', 'CLEAN_REJECTION', 'FAILED_AUCTION', 'ACCEPTANCE_RETEST', 'RECLAIM_PULLBACK']"
COMEX_EVENT_TIMING_V1,2018,2018-01-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,84706,79916,4790,258,DEV,COMEX_FVG_SAMPLE_V1_SEED_971,COMEX_SESSION_PANEL_V1_SEED_971,contact -30m through contact +16m; end is exclusive in acquisition plan,"['PASSIVE_TOUCH', 'TOUCH_NEXT_OPEN', 'CLEAN_REJECTION', 'FAILED_AUCTION', 'ACCEPTANCE_RETEST', 'RECLAIM_PULLBACK']"
COMEX_EVENT_TIMING_V1,2019,2019-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,86902,81745,5157,258,VALIDATION,COMEX_FVG_SAMPLE_V1_SEED_971,COMEX_SESSION_PANEL_V1_SEED_971,contact -30m through contact +16m; end is exclusive in acquisition plan,"['PASSIVE_TOUCH', 'TOUCH_NEXT_OPEN', 'CLEAN_REJECTION', 'FAILED_AUCTION', 'ACCEPTANCE_RETEST', 'RECLAIM_PULLBACK']"
COMEX_EVENT_TIMING_V1,2020,2020-01-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,81382,75526,5856,259,VALIDATION,COMEX_FVG_SAMPLE_V1_SEED_971,COMEX_SESSION_PANEL_V1_SEED_971,contact -30m through contact +16m; end is exclusive in acquisition plan,"['PASSIVE_TOUCH', 'TOUCH_NEXT_OPEN', 'CLEAN_REJECTION', 'FAILED_AUCTION', 'ACCEPTANCE_RETEST', 'RECLAIM_PULLBACK']"
