year,split,events,fvg_only,passive_touch_eligible,touch_next_open_eligible,clean_rejection_eligible,failed_auction_eligible,acceptance_retest_eligible,reclaim_pullback_eligible
2011,DEV,101473,95346,58594,100922,55692,43154,1060,55695
2012,DEV,82007,76314,49748,81089,41305,38316,916,47602
2013,DEV,85294,79794,50793,84972,44389,38886,811,48597
2014,DEV,88507,83862,51395,88242,47024,39590,765,49007
2015,DEV,85672,80854,49324,85509,44555,39598,576,47494
2016,DEV,82696,77827,49537,82516,43169,38450,333,47652
2017,DEV,76320,71589,44504,76139,39596,35769,246,43151
2018,DEV,84706,79916,49206,84592,44637,38890,403,47460
2019,VALIDATION,86902,81745,49171,86743,45858,39325,675,47017
2020,VALIDATION,81382,75526,50999,81239,42089,38152,446,49151
2021,VALIDATION,82225,77729,50768,82081,41885,39339,376,48894
2022,VALIDATION,82534,77806,51145,82380,42343,39185,377,49408
2023,COMEX_FEATURE_HOLDOUT,87156,82505,53704,87022,44912,40816,597,51337
2024,COMEX_FEATURE_HOLDOUT,86816,80585,55364,86643,45310,40285,515,53120
2025,COMEX_FEATURE_HOLDOUT,80617,73708,53157,80476,40462,39131,402,51223
