session_tier,split,family_stack,events,years,sessions_with_events,passive_touch_eligible,touch_next_open_eligible,clean_rejection_eligible,failed_auction_eligible,acceptance_retest_eligible,reclaim_pullback_eligible,behavior_CLEAN_REJECTION,behavior_FAILED_AUCTION,behavior_ACCEPTED_BREAK,behavior_UNRESOLVED
1,COMEX_FEATURE_HOLDOUT,CONFLUENCE,219,3,30,153,208,104,84,15,115,105,84,30,0
1,COMEX_FEATURE_HOLDOUT,DOZ_ONLY,141,3,29,55,140,112,21,1,94,112,21,2,6
1,COMEX_FEATURE_HOLDOUT,FVG_ONLY,9177,3,30,5916,9170,4652,4460,33,5589,4658,4465,50,4
1,COMEX_FEATURE_HOLDOUT,MEMORY_ONLY,110,3,18,67,110,77,20,5,75,77,20,6,7
1,COMEX_FEATURE_HOLDOUT,OBJECTIVE_ONLY,259,3,30,138,256,178,48,6,158,178,48,8,25
1,DEV,CONFLUENCE,511,8,72,348,486,215,224,27,261,215,225,63,8
1,DEV,DOZ_ONLY,316,8,69,126,314,237,60,4,198,237,60,10,9
1,DEV,FVG_ONLY,22568,8,72,13476,22516,11606,10688,108,12786,11633,10703,193,39
1,DEV,MEMORY_ONLY,125,8,37,76,123,77,16,5,68,77,16,8,24
1,DEV,OBJECTIVE_ONLY,569,8,72,286,556,398,90,8,310,399,90,22,58
1,VALIDATION,CONFLUENCE,246,4,40,179,236,95,120,12,135,95,120,27,4
1,VALIDATION,DOZ_ONLY,196,4,40,81,194,156,31,4,134,156,31,5,4
1,VALIDATION,FVG_ONLY,12158,4,40,7516,12149,6189,5856,53,7137,6195,5865,85,13
1,VALIDATION,MEMORY_ONLY,52,4,18,33,52,31,13,2,34,31,13,3,5
1,VALIDATION,OBJECTIVE_ONLY,304,4,40,141,295,213,53,9,184,214,53,12,25
2,COMEX_FEATURE_HOLDOUT,CONFLUENCE,378,3,58,267,364,182,155,22,215,183,155,39,1
2,COMEX_FEATURE_HOLDOUT,DOZ_ONLY,264,3,54,95,262,213,38,2,174,213,38,3,10
2,COMEX_FEATURE_HOLDOUT,FVG_ONLY,17827,3,58,11393,17816,9041,8662,68,10840,9051,8671,99,6
2,COMEX_FEATURE_HOLDOUT,MEMORY_ONLY,209,3,37,130,208,149,28,13,132,149,28,17,15
2,COMEX_FEATURE_HOLDOUT,OBJECTIVE_ONLY,527,3,58,278,521,369,98,11,322,369,98,15,45
2,DEV,CONFLUENCE,988,8,151,660,943,420,428,58,501,422,429,122,15
2,DEV,DOZ_ONLY,656,8,141,238,652,505,116,11,400,506,116,19,15
2,DEV,FVG_ONLY,46534,8,149,27574,46411,24114,21783,242,26227,24170,21835,435,94
2,DEV,MEMORY_ONLY,202,8,74,120,195,113,27,13,97,116,27,16,43
2,DEV,OBJECTIVE_ONLY,1149,8,152,532,1123,836,164,15,631,839,164,35,111
2,VALIDATION,CONFLUENCE,423,4,77,298,409,175,196,21,241,175,196,47,5
2,VALIDATION,DOZ_ONLY,352,4,76,146,350,273,65,5,232,273,65,6,8
2,VALIDATION,FVG_ONLY,23518,4,78,14389,23500,11954,11357,95,13723,11969,11374,154,21
2,VALIDATION,MEMORY_ONLY,87,4,36,56,87,53,16,6,53,53,16,9,9
2,VALIDATION,OBJECTIVE_ONLY,590,4,78,258,578,423,81,14,328,424,81,22,63
3,COMEX_FEATURE_HOLDOUT,CONFLUENCE,566,3,84,397,540,263,234,36,319,264,234,65,3
3,COMEX_FEATURE_HOLDOUT,DOZ_ONLY,399,3,79,146,397,318,65,2,257,318,65,3,13
3,COMEX_FEATURE_HOLDOUT,FVG_ONLY,26206,3,85,16885,26192,13180,12836,98,16049,13193,12853,149,11
3,COMEX_FEATURE_HOLDOUT,MEMORY_ONLY,314,3,55,192,310,225,40,23,198,225,40,29,20
3,COMEX_FEATURE_HOLDOUT,OBJECTIVE_ONLY,771,3,85,405,764,549,136,15,483,549,136,20,66
3,DEV,CONFLUENCE,1446,8,222,962,1377,615,616,98,721,618,618,186,24
3,DEV,DOZ_ONLY,957,8,209,349,950,737,162,17,585,739,162,25,31
3,DEV,FVG_ONLY,68673,8,220,40453,68491,35461,32321,340,38545,35541,32387,613,132
3,DEV,MEMORY_ONLY,316,8,111,179,305,196,35,17,166,200,37,23,56
3,DEV,OBJECTIVE_ONLY,1710,8,228,801,1666,1229,239,24,930,1233,239,55,183
3,VALIDATION,CONFLUENCE,653,4,112,458,631,265,309,34,372,265,310,70,8
3,VALIDATION,DOZ_ONLY,531,4,109,222,529,417,94,7,357,417,94,9,11
3,VALIDATION,FVG_ONLY,34431,4,114,21047,34406,17601,16552,131,20092,17623,16571,209,28
3,VALIDATION,MEMORY_ONLY,147,4,50,99,147,89,24,11,86,89,24,14,20
3,VALIDATION,OBJECTIVE_ONLY,870,4,114,396,854,615,134,18,481,617,134,29,90
4,COMEX_FEATURE_HOLDOUT,CONFLUENCE,681,3,108,480,648,308,282,44,377,309,282,84,6
4,COMEX_FEATURE_HOLDOUT,DOZ_ONLY,500,3,100,179,497,400,80,3,325,400,80,4,16
4,COMEX_FEATURE_HOLDOUT,FVG_ONLY,33513,3,109,21557,33497,16853,16425,119,20512,16868,16445,186,14
4,COMEX_FEATURE_HOLDOUT,MEMORY_ONLY,353,3,69,213,349,254,45,24,224,254,45,32,22
4,COMEX_FEATURE_HOLDOUT,OBJECTIVE_ONLY,935,3,109,501,927,666,167,20,589,666,167,26,76
4,DEV,CONFLUENCE,1980,8,301,1327,1883,860,832,136,1017,863,836,247,34
4,DEV,DOZ_ONLY,1315,8,280,479,1306,1011,232,18,799,1014,232,31,38
4,DEV,FVG_ONLY,93470,8,301,55081,93207,48145,44017,530,52442,48263,44106,912,189
4,DEV,MEMORY_ONLY,435,8,152,250,420,273,52,24,235,278,55,30,72
4,DEV,OBJECTIVE_ONLY,2304,8,308,1050,2250,1677,304,30,1256,1683,305,71,245
