kind,tier_a,tier_b,merge_gap_min,raw_windows,merged_windows,covered_minutes,covered_days
local,1,0,0,81599,32404,2164939.0,1503.4298611111112
local,1,0,5,81599,30777,2169708.0,1506.7416666666666
local,1,0,15,81599,27604,2203197.0,1529.9979166666667
local,1,0,30,81599,23731,2290752.0,1590.8
local,1,0,60,81599,18119,2540613.0,1764.3145833333333
local,2,0,0,83999,33125,2227552.0,1546.911111111111
local,2,0,5,83999,31405,2232571.0,1550.3965277777777
local,2,0,15,83999,28106,2267337.0,1574.5395833333334
local,2,0,30,83999,24004,2360163.0,1639.0020833333333
local,2,0,60,83999,18073,2624336.0,1822.4555555555555
local,4,0,0,88799,34420,2345725.0,1628.9756944444443
local,4,0,5,88799,32515,2351288.0,1632.838888888889
local,4,0,15,88799,28926,2388938.0,1658.9847222222222
local,4,0,30,88799,24441,2490478.0,1729.4986111111111
local,4,0,60,88799,17941,2780070.0,1930.6041666666667
session,2,0,0,357,342,534600.0,371.25
session,2,0,5,357,342,534600.0,371.25
session,2,0,15,357,342,534600.0,371.25
session,2,0,30,357,342,534600.0,371.25
session,2,0,60,357,342,534600.0,371.25
session,3,0,0,534,485,798060.0,554.2083333333334
session,3,0,5,534,485,798060.0,554.2083333333334
session,3,0,15,534,485,798060.0,554.2083333333334
session,3,0,30,534,485,798060.0,554.2083333333334
session,3,0,60,534,485,798060.0,554.2083333333334
session,4,0,0,711,616,1060800.0,736.6666666666666
session,4,0,5,711,616,1060800.0,736.6666666666666
session,4,0,15,711,616,1060800.0,736.6666666666666
session,4,0,30,711,616,1060800.0,736.6666666666666
session,4,0,60,711,616,1060800.0,736.6666666666666
union,1,2,0,81956,29583,2500393.0,1736.3840277777779
union,1,2,5,81956,28091,2504756.0,1739.4138888888888
union,1,2,15,81956,25175,2535475.0,1760.7465277777778
union,1,2,30,81956,21652,2615121.0,1816.05625
union,1,2,60,81956,16492,2844840.0,1975.5833333333333
union,1,3,0,82133,28166,2663940.0,1849.9583333333333
union,1,3,5,82133,26741,2668116.0,1852.8583333333333
union,1,3,15,82133,23962,2697418.0,1873.2069444444444
union,1,3,30,82133,20617,2773162.0,1925.8069444444445
union,1,3,60,82133,15683,2992769.0,2078.3118055555556
union,1,4,0,82310,26770,2832360.0,1966.9166666666667
union,1,4,5,82310,25414,2836328.0,1969.6722222222222
union,1,4,15,82310,22775,2864160.0,1989.0
union,1,4,30,82310,19603,2935954.0,2038.8569444444445
union,1,4,60,82310,14868,3146700.0,2185.2083333333335
union,2,2,0,84356,30238,2557577.0,1776.0951388888889
union,2,2,5,84356,28658,2562179.0,1779.2909722222223
union,2,2,15,84356,25624,2594086.0,1801.4486111111112
union,2,2,30,84356,21892,2678529.0,1860.0895833333334
union,2,2,60,84356,16445,2921078.0,2028.526388888889
union,2,3,0,84533,28786,2718103.0,1887.5715277777779
union,2,3,5,84533,27277,2722505.0,1890.6284722222222
union,2,3,15,84533,24386,2752943.0,1911.7659722222222
union,2,3,30,84533,20841,2833296.0,1967.5666666666666
union,2,3,60,84533,15648,3064446.0,2128.0875
union,2,4,0,84710,27350,2883534.0,2002.4541666666667
union,2,4,5,84710,25917,2887707.0,2005.3520833333334
union,2,4,15,84710,23171,2916627.0,2025.4354166666667
union,2,4,30,84710,19813,2992716.0,2078.275
union,2,4,60,84710,14833,3214330.0,2232.1736111111113
union,4,2,0,89156,31410,2664725.0,1850.5034722222222
union,4,2,5,89156,29658,2669824.0,1854.0444444444445
union,4,2,15,89156,26353,2704460.0,1878.0972222222222
union,4,2,30,89156,22273,2796787.0,1942.2131944444445
union,4,2,60,89156,16323,3061842.0,2126.2791666666667
union,4,3,0,89333,29903,2820206.0,1958.4763888888888
union,4,3,5,89333,28233,2825078.0,1961.8597222222222
union,4,3,15,89333,25086,2858095.0,1984.7881944444443
union,4,3,30,89333,21205,2946059.0,2045.8743055555556
union,4,3,60,89333,15546,3198081.0,2220.889583333333
union,4,4,0,89510,28413,2980897.0,2070.067361111111
union,4,4,5,89510,26829,2985513.0,2073.272916666667
union,4,4,15,89510,23843,3016862.0,2095.0430555555554
union,4,4,30,89510,20159,3100374.0,2153.0375
union,4,4,60,89510,14732,3341915.0,2320.7743055555557
