session_tier,split,family_stack,acceptance_retest_eligible
1,COMEX_FEATURE_HOLDOUT,CONFLUENCE,170
1,COMEX_FEATURE_HOLDOUT,DOZ_ONLY,42
1,COMEX_FEATURE_HOLDOUT,FVG_ONLY,250
1,COMEX_FEATURE_HOLDOUT,MEMORY_ONLY,100
1,COMEX_FEATURE_HOLDOUT,OBJECTIVE_ONLY,100
1,DEV,CONFLUENCE,450
1,DEV,DOZ_ONLY,106
1,DEV,FVG_ONLY,500
1,DEV,MEMORY_ONLY,150
1,DEV,OBJECTIVE_ONLY,150
1,VALIDATION,CONFLUENCE,168
1,VALIDATION,DOZ_ONLY,52
1,VALIDATION,FVG_ONLY,250
1,VALIDATION,MEMORY_ONLY,96
1,VALIDATION,OBJECTIVE_ONLY,100
2,COMEX_FEATURE_HOLDOUT,CONFLUENCE,170
2,COMEX_FEATURE_HOLDOUT,DOZ_ONLY,42
2,COMEX_FEATURE_HOLDOUT,FVG_ONLY,250
2,COMEX_FEATURE_HOLDOUT,MEMORY_ONLY,100
2,COMEX_FEATURE_HOLDOUT,OBJECTIVE_ONLY,100
2,DEV,CONFLUENCE,444
2,DEV,DOZ_ONLY,106
2,DEV,FVG_ONLY,500
2,DEV,MEMORY_ONLY,150
2,DEV,OBJECTIVE_ONLY,150
2,VALIDATION,CONFLUENCE,168
2,VALIDATION,DOZ_ONLY,52
2,VALIDATION,FVG_ONLY,250
2,VALIDATION,MEMORY_ONLY,96
2,VALIDATION,OBJECTIVE_ONLY,100
3,COMEX_FEATURE_HOLDOUT,CONFLUENCE,175
3,COMEX_FEATURE_HOLDOUT,DOZ_ONLY,42
3,COMEX_FEATURE_HOLDOUT,FVG_ONLY,250
3,COMEX_FEATURE_HOLDOUT,MEMORY_ONLY,100
3,COMEX_FEATURE_HOLDOUT,OBJECTIVE_ONLY,100
3,DEV,CONFLUENCE,446
3,DEV,DOZ_ONLY,106
3,DEV,FVG_ONLY,500
3,DEV,MEMORY_ONLY,150
3,DEV,OBJECTIVE_ONLY,150
3,VALIDATION,CONFLUENCE,168
3,VALIDATION,DOZ_ONLY,52
3,VALIDATION,FVG_ONLY,250
3,VALIDATION,MEMORY_ONLY,96
3,VALIDATION,OBJECTIVE_ONLY,100
4,COMEX_FEATURE_HOLDOUT,CONFLUENCE,175
4,COMEX_FEATURE_HOLDOUT,DOZ_ONLY,42
4,COMEX_FEATURE_HOLDOUT,FVG_ONLY,250
4,COMEX_FEATURE_HOLDOUT,MEMORY_ONLY,100
4,COMEX_FEATURE_HOLDOUT,OBJECTIVE_ONLY,100
4,DEV,CONFLUENCE,448
4,DEV,DOZ_ONLY,106
4,DEV,FVG_ONLY,532
4,DEV,MEMORY_ONLY,150
4,DEV,OBJECTIVE_ONLY,150
4,VALIDATION,CONFLUENCE,173
4,VALIDATION,DOZ_ONLY,52
4,VALIDATION,FVG_ONLY,250
4,VALIDATION,MEMORY_ONLY,96
4,VALIDATION,OBJECTIVE_ONLY,100
