session_tier,split,family_stack,events,passive_touch_eligible,touch_next_open_eligible,clean_rejection_eligible,failed_auction_eligible,acceptance_retest_eligible,reclaim_pullback_eligible
1,COMEX_FEATURE_HOLDOUT,CONFLUENCE,2916,2064,2798,1277,1321,170,1700
1,COMEX_FEATURE_HOLDOUT,DOZ_ONLY,1027,426,1014,779,161,42,658
1,COMEX_FEATURE_HOLDOUT,FVG_ONLY,9394,6132,9387,4652,4460,250,5589
1,COMEX_FEATURE_HOLDOUT,MEMORY_ONLY,1052,676,1034,672,171,100,629
1,COMEX_FEATURE_HOLDOUT,OBJECTIVE_ONLY,1076,641,1045,703,175,100,634
1,DEV,CONFLUENCE,6165,4215,5833,2644,2594,450,3148
1,DEV,DOZ_ONLY,2079,825,2054,1555,341,106,1218
1,DEV,FVG_ONLY,22957,13837,22886,11602,10689,500,12786
1,DEV,MEMORY_ONLY,2048,1221,1991,1259,256,150,1106
1,DEV,OBJECTIVE_ONLY,2118,1018,2047,1464,240,150,1073
1,VALIDATION,CONFLUENCE,2928,2059,2838,1257,1331,168,1655
1,VALIDATION,DOZ_ONLY,1038,395,1029,809,150,52,649
1,VALIDATION,FVG_ONLY,12355,7705,12346,6189,5856,250,7137
1,VALIDATION,MEMORY_ONLY,1045,676,1031,643,151,96,569
1,VALIDATION,OBJECTIVE_ONLY,1081,539,1039,735,151,100,564
2,COMEX_FEATURE_HOLDOUT,CONFLUENCE,2916,2059,2799,1287,1317,170,1703
2,COMEX_FEATURE_HOLDOUT,DOZ_ONLY,1027,418,1013,785,159,42,651
2,COMEX_FEATURE_HOLDOUT,FVG_ONLY,18009,11574,17998,9041,8662,250,10840
2,COMEX_FEATURE_HOLDOUT,MEMORY_ONLY,1048,668,1029,675,163,100,628
2,COMEX_FEATURE_HOLDOUT,OBJECTIVE_ONLY,1080,630,1051,704,178,100,631
2,DEV,CONFLUENCE,6165,4206,5838,2639,2608,444,3151
2,DEV,DOZ_ONLY,2075,814,2050,1556,340,106,1215
2,DEV,FVG_ONLY,46791,27808,46657,24111,21787,500,26227
2,DEV,MEMORY_ONLY,2047,1223,1990,1252,257,150,1101
2,DEV,OBJECTIVE_ONLY,2122,1022,2043,1457,269,150,1091
2,VALIDATION,CONFLUENCE,2928,2057,2842,1254,1337,168,1657
2,VALIDATION,DOZ_ONLY,1041,405,1032,804,159,52,641
2,VALIDATION,FVG_ONLY,23673,14537,23655,11954,11357,250,13723
2,VALIDATION,MEMORY_ONLY,1045,676,1031,640,150,96,565
2,VALIDATION,OBJECTIVE_ONLY,1079,520,1038,734,139,100,555
3,COMEX_FEATURE_HOLDOUT,CONFLUENCE,2916,2060,2794,1292,1307,175,1706
3,COMEX_FEATURE_HOLDOUT,DOZ_ONLY,1029,415,1015,784,164,42,641
3,COMEX_FEATURE_HOLDOUT,FVG_ONLY,26358,17036,26344,13180,12836,250,16049
3,COMEX_FEATURE_HOLDOUT,MEMORY_ONLY,1046,664,1027,680,157,100,630
3,COMEX_FEATURE_HOLDOUT,OBJECTIVE_ONLY,1082,620,1055,712,175,100,628
3,DEV,CONFLUENCE,6165,4198,5836,2635,2612,446,3145
3,DEV,DOZ_ONLY,2073,826,2048,1553,343,106,1227
3,DEV,FVG_ONLY,68832,40600,68640,35458,32325,500,38545
3,DEV,MEMORY_ONLY,2049,1218,1991,1254,256,150,1101
3,DEV,OBJECTIVE_ONLY,2121,1051,2043,1440,278,150,1095
3,VALIDATION,CONFLUENCE,2928,2049,2841,1256,1340,168,1661
3,VALIDATION,DOZ_ONLY,1041,426,1032,803,159,52,658
3,VALIDATION,FVG_ONLY,34550,21159,34525,17601,16552,250,20092
3,VALIDATION,MEMORY_ONLY,1043,678,1029,639,147,96,563
3,VALIDATION,OBJECTIVE_ONLY,1080,537,1038,709,156,100,547
4,COMEX_FEATURE_HOLDOUT,CONFLUENCE,2916,2057,2793,1292,1300,175,1698
4,COMEX_FEATURE_HOLDOUT,DOZ_ONLY,1029,417,1014,786,163,42,647
4,COMEX_FEATURE_HOLDOUT,FVG_ONLY,33644,21687,33628,16853,16425,250,20512
4,COMEX_FEATURE_HOLDOUT,MEMORY_ONLY,1048,664,1030,683,155,100,634
4,COMEX_FEATURE_HOLDOUT,OBJECTIVE_ONLY,1080,621,1055,713,178,100,628
4,DEV,CONFLUENCE,6165,4199,5830,2660,2595,448,3166
4,DEV,DOZ_ONLY,2076,829,2051,1546,347,106,1218
4,DEV,FVG_ONLY,93471,55081,93208,48142,44021,532,52442
4,DEV,MEMORY_ONLY,2048,1220,1990,1262,251,150,1105
4,DEV,OBJECTIVE_ONLY,2424,1170,2345,1677,304,150,1256
4,VALIDATION,CONFLUENCE,2928,2061,2843,1260,1337,173,1678
4,VALIDATION,DOZ_ONLY,1041,424,1032,799,162,52,652
4,VALIDATION,FVG_ONLY,45570,28032,45536,23224,21898,250,26629
4,VALIDATION,MEMORY_ONLY,1043,678,1029,638,146,96,563
4,VALIDATION,OBJECTIVE_ONLY,1218,583,1175,822,165,100,628
