session_tier,split,signature,events
1,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN,1027
1,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+FVG,750
1,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+MEMORY,63
1,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+MEMORY+FVG,47
1,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,136
1,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,104
1,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,5
1,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,8
1,COMEX_FEATURE_HOLDOUT,FVG,9394
1,COMEX_FEATURE_HOLDOUT,MEMORY,1052
1,COMEX_FEATURE_HOLDOUT,MEMORY+FVG,750
1,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY,1076
1,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+FVG,750
1,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+MEMORY,184
1,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+MEMORY+FVG,119
1,DEV,DISPLACEMENT_ORIGIN,2079
1,DEV,DISPLACEMENT_ORIGIN+FVG,1500
1,DEV,DISPLACEMENT_ORIGIN+MEMORY,74
1,DEV,DISPLACEMENT_ORIGIN+MEMORY+FVG,83
1,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,511
1,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,512
1,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,6
1,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,28
1,DEV,FVG,22957
1,DEV,MEMORY,2048
1,DEV,MEMORY+FVG,1500
1,DEV,OBJECTIVE_LIQUIDITY,2118
1,DEV,OBJECTIVE_LIQUIDITY+FVG,1500
1,DEV,OBJECTIVE_LIQUIDITY+MEMORY,228
1,DEV,OBJECTIVE_LIQUIDITY+MEMORY+FVG,223
1,VALIDATION,DISPLACEMENT_ORIGIN,1038
1,VALIDATION,DISPLACEMENT_ORIGIN+FVG,750
1,VALIDATION,DISPLACEMENT_ORIGIN+MEMORY,32
1,VALIDATION,DISPLACEMENT_ORIGIN+MEMORY+FVG,33
1,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,205
1,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,177
1,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,2
1,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,6
1,VALIDATION,FVG,12355
1,VALIDATION,MEMORY,1045
1,VALIDATION,MEMORY+FVG,750
1,VALIDATION,OBJECTIVE_LIQUIDITY,1081
1,VALIDATION,OBJECTIVE_LIQUIDITY+FVG,750
1,VALIDATION,OBJECTIVE_LIQUIDITY+MEMORY,142
1,VALIDATION,OBJECTIVE_LIQUIDITY+MEMORY+FVG,81
2,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN,1027
2,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+FVG,750
2,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+MEMORY,63
2,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+MEMORY+FVG,47
2,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,136
2,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,104
2,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,5
2,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,8
2,COMEX_FEATURE_HOLDOUT,FVG,18009
2,COMEX_FEATURE_HOLDOUT,MEMORY,1048
2,COMEX_FEATURE_HOLDOUT,MEMORY+FVG,750
2,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY,1080
2,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+FVG,750
2,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+MEMORY,184
2,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+MEMORY+FVG,119
2,DEV,DISPLACEMENT_ORIGIN,2075
2,DEV,DISPLACEMENT_ORIGIN+FVG,1500
2,DEV,DISPLACEMENT_ORIGIN+MEMORY,74
2,DEV,DISPLACEMENT_ORIGIN+MEMORY+FVG,83
2,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,511
2,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,512
2,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,6
2,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,28
2,DEV,FVG,46791
2,DEV,MEMORY,2047
2,DEV,MEMORY+FVG,1500
2,DEV,OBJECTIVE_LIQUIDITY,2122
2,DEV,OBJECTIVE_LIQUIDITY+FVG,1500
2,DEV,OBJECTIVE_LIQUIDITY+MEMORY,228
2,DEV,OBJECTIVE_LIQUIDITY+MEMORY+FVG,223
2,VALIDATION,DISPLACEMENT_ORIGIN,1041
2,VALIDATION,DISPLACEMENT_ORIGIN+FVG,750
2,VALIDATION,DISPLACEMENT_ORIGIN+MEMORY,32
2,VALIDATION,DISPLACEMENT_ORIGIN+MEMORY+FVG,33
2,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,205
2,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,177
2,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,2
2,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,6
2,VALIDATION,FVG,23673
2,VALIDATION,MEMORY,1045
2,VALIDATION,MEMORY+FVG,750
2,VALIDATION,OBJECTIVE_LIQUIDITY,1079
2,VALIDATION,OBJECTIVE_LIQUIDITY+FVG,750
2,VALIDATION,OBJECTIVE_LIQUIDITY+MEMORY,142
2,VALIDATION,OBJECTIVE_LIQUIDITY+MEMORY+FVG,81
3,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN,1029
3,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+FVG,750
3,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+MEMORY,63
3,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+MEMORY+FVG,47
3,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,136
3,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,104
3,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,5
3,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,8
3,COMEX_FEATURE_HOLDOUT,FVG,26358
3,COMEX_FEATURE_HOLDOUT,MEMORY,1046
3,COMEX_FEATURE_HOLDOUT,MEMORY+FVG,750
3,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY,1082
3,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+FVG,750
3,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+MEMORY,184
3,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+MEMORY+FVG,119
3,DEV,DISPLACEMENT_ORIGIN,2073
3,DEV,DISPLACEMENT_ORIGIN+FVG,1500
3,DEV,DISPLACEMENT_ORIGIN+MEMORY,74
3,DEV,DISPLACEMENT_ORIGIN+MEMORY+FVG,83
3,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,511
3,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,512
3,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,6
3,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,28
3,DEV,FVG,68832
3,DEV,MEMORY,2049
3,DEV,MEMORY+FVG,1500
3,DEV,OBJECTIVE_LIQUIDITY,2121
3,DEV,OBJECTIVE_LIQUIDITY+FVG,1500
3,DEV,OBJECTIVE_LIQUIDITY+MEMORY,228
