session_tier,merge_gap_min,base_session_dates,supplement_events,union_events,local_windows,local_minutes,package_windows,package_minutes,session_windows_gap0,session_minutes_gap0
1,0,180,22329,69279,14324,947970.0,13834,1173960.0,177,269820.0
1,30,180,22329,69279,12527,982160.0,12118,1206620.0,177,269820.0
1,60,180,22329,69279,11226,1045690.0,10868,1267590.0,177,269820.0
1,120,180,22329,69279,9160,1237060.0,8896,1450460.0,177,269820.0
1,180,180,22329,69279,7667,1466770.0,7471,1669620.0,177,269820.0
1,240,180,22329,69279,6409,1736820.0,6250,1931490.0,177,269820.0
1,360,180,22329,69279,4582,2284370.0,4477,2462340.0,177,269820.0
1,720,180,22329,69279,2115,3539390.0,2068,3685170.0,177,269820.0
2,0,357,19342,113046,12690,831790.0,11895,1293010.0,342,534600.0
2,30,357,19342,113046,11138,861450.0,10483,1319890.0,342,534600.0
2,60,357,19342,113046,10061,914150.0,9473,1369210.0,342,534600.0
2,120,357,19342,113046,8315,1075730.0,7870,1517700.0,342,534600.0
2,180,357,19342,113046,7101,1262570.0,6753,1689550.0,342,534600.0
2,240,357,19342,113046,6046,1489180.0,5754,1904260.0,342,534600.0
2,360,357,19342,113046,4480,1959430.0,4264,2351210.0,342,534600.0
2,720,357,19342,113046,2221,3116880.0,2127,3441020.0,342,534600.0
3,0,534,16324,154313,10963,710830.0,9987,1415520.0,485,798060.0
3,30,534,16324,154313,9709,734800.0,8912,1436100.0,485,798060.0
3,60,534,16324,154313,8838,777650.0,8121,1474990.0,485,798060.0
3,120,534,16324,154313,7437,907200.0,6898,1588170.0,485,798060.0
3,180,534,16324,154313,6434,1061190.0,6002,1725500.0,485,798060.0
3,240,534,16324,154313,5546,1251990.0,5196,1898600.0,485,798060.0
3,360,534,16324,154313,4265,1636710.0,4003,2257450.0,485,798060.0
3,720,534,16324,154313,2317,2640400.0,2190,3187690.0,485,798060.0
4,0,711,13928,197701,9482,610030.0,8451,1566850.0,616,1060800.0
4,30,711,13928,197701,8462,629480.0,7614,1582810.0,616,1060800.0
4,60,711,13928,197701,7739,664890.0,6986,1613540.0,616,1060800.0
4,120,711,13928,197701,6590,771170.0,6023,1702510.0,616,1060800.0
4,180,711,13928,197701,5754,899530.0,5308,1812060.0,616,1060800.0
4,240,711,13928,197701,5037,1053810.0,4665,1950230.0,616,1060800.0
4,360,711,13928,197701,3982,1370980.0,3701,2240570.0,616,1060800.0
4,720,711,13928,197701,2331,2225140.0,2187,3017500.0,616,1060800.0
