split,family_stack,events,passive_touch_eligible,touch_next_open_eligible,clean_rejection_eligible,failed_auction_eligible,acceptance_retest_eligible,reclaim_pullback_eligible
COMEX_FEATURE_HOLDOUT,CONFLUENCE,883,655,830,368,365,100,491
COMEX_FEATURE_HOLDOUT,DOZ_ONLY,634,278,624,466,98,42,401
COMEX_FEATURE_HOLDOUT,FVG_ONLY,18009,11571,17998,9041,8662,250,10840
COMEX_FEATURE_HOLDOUT,MEMORY_ONLY,675,451,653,406,100,100,385
COMEX_FEATURE_HOLDOUT,OBJECTIVE_ONLY,686,400,656,420,112,100,365
DEV,CONFLUENCE,1516,1041,1431,636,606,150,745
DEV,DOZ_ONLY,1092,450,1069,781,170,106,612
DEV,FVG_ONLY,46791,27815,46656,24111,21787,500,26227
DEV,MEMORY_ONLY,1096,686,1059,618,127,150,544
DEV,OBJECTIVE_ONLY,1284,667,1229,836,164,150,631
VALIDATION,CONFLUENCE,848,620,812,352,344,100,456
VALIDATION,DOZ_ONLY,645,267,637,471,100,52,393
VALIDATION,FVG_ONLY,23673,14538,23655,11954,11357,250,13723
VALIDATION,MEMORY_ONLY,662,432,651,390,88,96,350
VALIDATION,OBJECTIVE_ONLY,686,345,652,432,81,100,333
