era,research_trading_date,year,quarter,vol_band,pilot_vol_band,quarter_diversified,pilot_hash
E1_2011_2013,2012-08-11,2012,3,0,0,True,0149e27c28a692d61e56abdfb044d7b2e39d1a62fb7e895658c41cb18c12ad14
E1_2011_2013,2012-06-22,2012,2,1,1,True,0002cfbc36174f2315b1e8276346cadc74b73db04a79088e554932cd5631e020
E1_2011_2013,2012-10-05,2012,4,2,2,True,008f51dce85b82570b676edc8045a2da0b0ecef73c48ae82100ab22b36c00105
E2_2014_2018,2014-10-21,2014,4,0,0,True,029f61dc8e21bd1ebb85552c31644e07f382852fca7e4bc1d27e07baebf3a29b
E2_2014_2018,2018-02-09,2018,1,1,1,True,00d1123ff425719ffb45da97b5f90da2200c46b0a57dc2006aa14d6217928e6e
E2_2014_2018,2016-06-08,2016,2,2,2,True,01028a778d36eb8a8440599421c80ed801abe48abf965a81e2a1a5a87c6c82d5
E3_2019_2022,2021-05-27,2021,2,0,0,True,008e8c7993609bddc8c13a07854b3ba03e722e68018774f61d65bf889e6cb6b9
E3_2019_2022,2021-10-06,2021,4,1,1,True,016630c3dbefa8bb79a3b901ea770fc1f5c50b7cc10faa26a01ce645e1a8030a
E3_2019_2022,2020-03-20,2020,1,2,2,True,0272cd2ad9c6133496fcaacbd8d7143d958fe2ae420eb53c2555c6ea43eee9c3
E4_2023_2025,2023-07-19,2023,3,0,0,True,00c144dc1c1539cf8ab067eed1388771891c59aa5d9f5874ce2ca7b1c2b2aa1f
E4_2023_2025,2023-12-06,2023,4,1,1,True,0102a4c0a937b686599ad44e8ddbc9458bbc139895b1573dba60346b5224abee
E4_2023_2025,2023-04-19,2023,2,2,2,True,0324732f7d50d66d1d2785ab44f6b694c9f8c15b71c0d5e22768aa0bb0e46691
