era,date,horizon_min,active_windows,robust_sign_windows,robust_sign_fraction,ambiguous_sign_windows,mean_n_volume_share,p95_n_volume_share
E1_2011_2013,2013-05-29,1,1389,1010,0.7271418286537077,379,0.13817841684572926,0.5
E1_2011_2013,2013-05-29,5,1389,1033,0.7437005039596832,356,0.12150440593974395,0.3136898395721925
E1_2011_2013,2013-05-29,15,1389,885,0.6371490280777538,504,0.1135010107817347,0.25403258490718966
E1_2011_2013,2013-05-29,30,1389,839,0.6040316774658028,550,0.11045676228592159,0.223855698338705
E1_2011_2013,2013-02-07,1,1383,1310,0.9472161966738973,73,0.012277408746958905,0.07142857142857142
E1_2011_2013,2013-02-07,5,1383,1308,0.9457700650759219,75,0.013012151680684375,0.06806587668206425
E1_2011_2013,2013-02-07,15,1383,1285,0.9291395516992046,98,0.0127642965727758,0.04658333333333322
E1_2011_2013,2013-02-07,30,1383,1287,0.93058568329718,96,0.012716470874856868,0.04148282120493698
E1_2011_2013,2011-08-05,1,1404,1240,0.8831908831908832,164,0.051931155080635144,0.22193973634651581
E1_2011_2013,2011-08-05,5,1404,1167,0.8311965811965812,237,0.0461624542089069,0.12551027520959138
E1_2011_2013,2011-08-05,15,1404,1063,0.7571225071225072,341,0.044405699337166635,0.09525283946350209
E1_2011_2013,2011-08-05,30,1404,947,0.6745014245014245,457,0.04338517482515304,0.08470753077562594
E2_2014_2018,2015-08-06,1,1343,1246,0.9277736411020104,97,0.032029553245833634,0.18165438165438144
E2_2014_2018,2015-08-06,5,1343,1228,0.9143708116157856,115,0.02736299373815117,0.10913978494623632
E2_2014_2018,2015-08-06,15,1343,1185,0.8823529411764706,158,0.025962683752430837,0.08306960430567029
E2_2014_2018,2015-08-06,30,1343,1134,0.8443782576321668,209,0.02450767512824689,0.0659596911168243
E2_2014_2018,2017-10-31,1,1378,1337,0.9702467343976778,41,0.0030143480473524393,0.01205547998445394
E2_2014_2018,2017-10-31,5,1378,1358,0.9854862119013063,20,0.003710139554880272,0.013972730984190421
E2_2014_2018,2017-10-31,15,1378,1345,0.9760522496371553,33,0.005007146416569154,0.014703968111230996
E2_2014_2018,2017-10-31,30,1378,1326,0.9622641509433962,52,0.006152691731219787,0.01384386769698388
E2_2014_2018,2018-01-02,1,1379,1312,0.9514140681653372,67,0.011869913539243208,0.06254921259842515
E2_2014_2018,2018-01-02,5,1379,1287,0.9332849891225525,92,0.012135485506899581,0.050059797608095626
E2_2014_2018,2018-01-02,15,1379,1228,0.8905003625815808,151,0.012710665519890717,0.04006431955005791
E2_2014_2018,2018-01-02,30,1379,1216,0.8817984046410442,163,0.0126872971054504,0.03867967420611506
E3_2019_2022,2019-05-06,1,1379,1337,0.9695431472081218,42,0.005290129175931134,0.029411764705882353
E3_2019_2022,2019-05-06,5,1379,1340,0.971718636693256,39,0.005008263366412935,0.02665752729119066
E3_2019_2022,2019-05-06,15,1379,1327,0.962291515591008,52,0.005093745584659801,0.01994782945471528
E3_2019_2022,2019-05-06,30,1379,1309,0.949238578680203,70,0.005296778051818531,0.017423260039189616
E3_2019_2022,2021-01-07,1,1380,1287,0.9326086956521739,93,0.010877014960051301,0.058823529411764705
E3_2019_2022,2021-01-07,5,1380,1293,0.9369565217391305,87,0.010817717517679928,0.03642515379357479
E3_2019_2022,2021-01-07,15,1380,1226,0.8884057971014493,154,0.010769990042278793,0.034894947405663575
E3_2019_2022,2021-01-07,30,1380,1169,0.8471014492753624,211,0.01092961808157177,0.03270773143541808
E3_2019_2022,2021-09-28,1,1373,1307,0.9519300801165331,66,0.010519620918753688,0.044151472650771156
E3_2019_2022,2021-09-28,5,1373,1296,0.943918426802622,77,0.009431387442349053,0.05263157894736842
E3_2019_2022,2021-09-28,15,1373,1280,0.9322651128914785,93,0.009515675871438438,0.038197370903830366
E3_2019_2022,2021-09-28,30,1373,1237,0.9009468317552805,136,0.009476097855673622,0.03230111832262368
E4_2023_2025,2025-05-21,1,1380,1229,0.8905797101449275,151,0.0321926918022355,0.13801122694466714
E4_2023_2025,2025-05-21,5,1380,1113,0.8065217391304348,267,0.03165109342540672,0.09162836206087867
E4_2023_2025,2025-05-21,15,1380,948,0.6869565217391305,432,0.031460380501493045,0.0716800050204127
E4_2023_2025,2025-05-21,30,1380,777,0.5630434782608695,603,0.0315284706408876,0.06824845692784955
E4_2023_2025,2024-03-06,1,1377,1297,0.9419026870007262,80,0.014290904236366435,0.08906789413118538
E4_2023_2025,2024-03-06,5,1377,1279,0.9288307915758897,98,0.014039497277520864,0.06549570647931305
E4_2023_2025,2024-03-06,15,1377,1228,0.8917937545388526,149,0.013357108896114293,0.050697411916471834
E4_2023_2025,2024-03-06,30,1377,1175,0.8533042846768337,202,0.012850258701526686,0.04525403058082889
E4_2023_2025,2024-12-18,1,1380,1299,0.941304347826087,81,0.010420293605479145,0.0520948608316566
E4_2023_2025,2024-12-18,5,1380,1297,0.9398550724637681,83,0.00995011861685194,0.044655612244897946
E4_2023_2025,2024-12-18,15,1380,1267,0.9181159420289855,113,0.009991948574774319,0.028853121516164988
E4_2023_2025,2024-12-18,30,1380,1268,0.9188405797101449,112,0.00975057704023168,0.0223418696172931
