hour_ny,records,n_side,n_rate
0,18360,497,0.027069716775599127
1,32144,938,0.029181184668989547
2,42200,821,0.019454976303317537
3,48234,1057,0.02191400257080068
4,36556,1170,0.032005689900426744
5,38613,1048,0.027141118276228213
6,39477,1156,0.029282873571953288
7,45376,1464,0.03226375176304654
8,123465,2658,0.021528368363503827
9,156548,3359,0.021456677824053964
10,152489,2743,0.017988182754165874
11,84967,1994,0.023467934609907377
12,76060,1570,0.020641598737838548
13,62518,1465,0.02343325122364759
14,47107,1171,0.024858301314029763
15,37986,675,0.01776970462802085
16,14200,507,0.03570422535211268
17,874,40,0.04576659038901602
18,17134,438,0.0255632076572896
19,18101,286,0.015800232031379483
20,31531,555,0.017601725286226253
21,39880,887,0.02224172517552658
22,24382,690,0.028299565253055534
23,16966,476,0.028056112224448898
