era,date,records,total_volume,n_records,n_record_rate,n_volume,n_volume_share,n_valid_bbo_volume,n_touch_classifiable_volume,n_touch_classifiable_volume_fraction_of_n_valid,n_unresolved_volume,known_touch_classifiable_volume,known_touch_correct_volume,known_touch_volume_weighted_accuracy
E1_2011_2013,2013-05-29,74462,147825.0,11281,0.15150009400768177,14221.0,0.09620158971757145,14218.0,14145.0,0.9948656632437755,73.0,102732.0,83246.0,0.8103220028812833
E1_2011_2013,2013-02-07,127463,173641.0,1333,0.01045793681303594,1716.0,0.00988245863592124,1708.0,1705.0,0.9982435597189696,3.0,170030.0,169267.0,0.9955125566076575
E1_2011_2013,2011-08-05,138987,197005.0,5155,0.03708979976544569,6580.0,0.03340016750843887,6553.0,6540.0,0.9980161757973447,13.0,184739.0,182163.0,0.986056003334434
E2_2014_2018,2015-08-06,65842,90117.0,1586,0.024087968166216094,1957.0,0.021716213367067257,1950.0,1950.0,1.0,0.0,87429.0,87196.0,0.9973349803840831
E2_2014_2018,2017-10-31,90668,249007.0,275,0.0030330436317112983,803.0,0.003224808941114105,759.0,759.0,1.0,0.0,248035.0,248035.0,1.0
E2_2014_2018,2018-01-02,87484,255702.0,780,0.008915916053221161,2790.0,0.010911138747448201,2742.0,2742.0,1.0,0.0,252407.0,252407.0,1.0
E3_2019_2022,2019-05-06,90377,232306.0,279,0.003087068612589486,1160.0,0.00499341385930626,1118.0,1118.0,1.0,0.0,230902.0,230902.0,1.0
E3_2019_2022,2021-01-07,106401,179564.0,965,0.009069463632860594,1849.0,0.010297164242275735,1841.0,1841.0,1.0,0.0,176700.0,176700.0,1.0
E3_2019_2022,2021-09-28,94817,195913.0,744,0.007846694158220572,1376.0,0.007023525748674157,1362.0,1361.0,0.9992657856093979,1.0,193885.0,193885.0,1.0
E4_2023_2025,2025-05-21,123803,199970.0,3391,0.0273902894114036,6229.0,0.03114967245086763,6220.0,6220.0,1.0,0.0,189734.0,189733.0,0.999994729463354
E4_2023_2025,2024-03-06,124112,280992.0,992,0.007992780714193631,2389.0,0.008502021409862202,2389.0,2389.0,1.0,0.0,277811.0,277811.0,1.0
E4_2023_2025,2024-12-18,80752,143450.0,884,0.010947097285516148,1358.0,0.009466713140467061,1354.0,1354.0,1.0,0.0,141797.0,141797.0,1.0
