era,research_trading_date,trades_records,tbbo_records,record_count_equal,trades_duplicate_keys,tbbo_duplicate_keys,key_multiset_equal,trade_payload_multiset_equal,trades_side_missing,trades_side_missing_rate,trades_side_counts,tbbo_side_missing,tbbo_side_missing_rate,tbbo_side_counts,trades_instrument_ids,tbbo_instrument_ids,trades_symbols,tbbo_symbols,tbbo_valid_bbo_records,tbbo_valid_bbo_fraction,tbbo_locked_or_crossed_records,tbbo_locked_or_crossed_fraction,tbbo_spread_median,tbbo_spread_p95,known_side_records_with_valid_bbo,known_side_bbo_classifiable_records,known_side_bbo_correct_records,known_side_bbo_conflict_records,known_side_bbo_ambiguous_records,known_side_bbo_classifiable_fraction,known_side_bbo_accuracy_if_classifiable,unspecified_side_records_with_valid_bbo,unspecified_side_bbo_classifiable_records,unspecified_side_bbo_pred_sell_records,unspecified_side_bbo_pred_buy_records,unspecified_side_bbo_conflict_records,unspecified_side_bbo_ambiguous_records,unspecified_side_bbo_classifiable_fraction
E1_2011_2013,2013-05-29,74462,74462,True,31964,31964,True,True,11281,0.15150009400768177,"{'A': 32802, 'B': 30379, 'N': 11281}",11281,0.15150009400768177,"{'A': 32802, 'B': 30379, 'N': 11281}",[119585],[119585],['GC.v.0'],['GC.v.0'],74462,1.0,3,4.0289006473100376e-05,0.10000000000013642,0.3000000000001819,63181,54023,50978,0,9158,0.8550513603773287,0.9436351183755067,11281,11213,5772,5441,3,65,0.993972165588157
E1_2011_2013,2013-02-07,127463,127463,True,67766,67766,True,True,1333,0.01045793681303594,"{'A': 63830, 'B': 62300, 'N': 1333}",1333,0.01045793681303594,"{'A': 63830, 'B': 62300, 'N': 1333}",[118305],[118305],['GC.v.0'],['GC.v.0'],127463,1.0,7,5.49178977428744e-05,0.10000000000013642,0.20000000000004547,126130,124975,124551,0,1155,0.9908427812574329,0.9966073214642929,1333,1323,686,637,7,3,0.9924981245311327
E1_2011_2013,2011-08-05,138987,138987,True,60186,60186,True,True,5155,0.03708979976544569,"{'B': 68124, 'A': 65708, 'N': 5155}",5155,0.03708979976544569,"{'B': 68124, 'A': 65708, 'N': 5155}",[197210],[197210],['GC.v.0'],['GC.v.0'],138987,1.0,13,9.353392763351968e-05,0.10000000000013642,0.2999999999999545,133832,131013,130688,0,2819,0.9789362783190866,0.9975193301428102,5155,5130,2723,2407,13,12,0.9951503394762367
E2_2014_2018,2015-08-06,65842,65842,True,31476,31476,True,True,1586,0.024087968166216094,"{'B': 32259, 'A': 31997, 'N': 1586}",1586,0.024087968166216094,"{'B': 32259, 'A': 31997, 'N': 1586}",[122816],[122816],['GC.v.0'],['GC.v.0'],65842,1.0,4,6.0751496005589135e-05,0.09999999999990905,0.20000000000004547,64256,63818,63757,0,438,0.993183515936255,0.9990441568209596,1586,1582,812,770,4,0,0.9974779319041615
E2_2014_2018,2017-10-31,90668,90668,True,675,675,True,True,275,0.0030330436317112983,"{'A': 45640, 'B': 44753, 'N': 275}",275,0.0030330436317112983,"{'A': 45640, 'B': 44753, 'N': 275}",[60173],[60173],['GC.v.0'],['GC.v.0'],90668,1.0,1,1.1029249569859267e-05,0.09999999999990905,0.10000000000013642,90393,90287,90287,0,106,0.9988273428252188,1.0,275,274,80,194,1,0,0.9963636363636363
E2_2014_2018,2018-01-02,87484,87484,True,871,871,True,True,780,0.008915916053221161,"{'B': 45006, 'A': 41698, 'N': 780}",780,0.008915916053221161,"{'B': 45006, 'A': 41698, 'N': 780}",[15562],[15562],['GC.v.0'],['GC.v.0'],87484,1.0,1,1.1430661606693795e-05,0.09999999999990905,0.10000000000013642,86704,86448,86448,0,256,0.9970474257243034,1.0,780,779,415,364,1,0,0.9987179487179487
E3_2019_2022,2019-05-06,90377,90377,True,840,840,True,True,279,0.003087068612589486,"{'A': 45662, 'B': 44436, 'N': 279}",279,0.003087068612589486,"{'A': 45662, 'B': 44436, 'N': 279}",[142620],[142620],['GC.v.0'],['GC.v.0'],90377,1.0,1,1.1064762052292066e-05,0.09999999999990905,0.10000000000013642,90098,89966,89966,0,132,0.998534928633266,1.0,279,278,123,155,1,0,0.996415770609319
E3_2019_2022,2021-01-07,106401,106401,True,4680,4680,True,True,965,0.009069463632860594,"{'A': 52832, 'B': 52604, 'N': 965}",965,0.009069463632860594,"{'A': 52832, 'B': 52604, 'N': 965}",[6466],[6466],['GC.v.0'],['GC.v.0'],106401,1.0,1,9.398407909700098e-06,0.10000000000013642,0.20000000000004547,105436,104735,104735,0,701,0.9933514169733297,1.0,965,964,383,581,1,0,0.9989637305699481
E3_2019_2022,2021-09-28,94817,94817,True,3307,3307,True,True,744,0.007846694158220572,"{'B': 47060, 'A': 47013, 'N': 744}",744,0.007846694158220572,"{'B': 47060, 'A': 47013, 'N': 744}",[51659],[51659],['GC.v.0'],['GC.v.0'],94817,1.0,1,1.0546631933092167e-05,0.09999999999990905,0.20000000000004547,94073,93639,93639,0,434,0.9953865615001116,1.0,744,742,412,330,1,1,0.9973118279569892
E4_2023_2025,2025-05-21,123803,123803,True,11901,11901,True,True,3391,0.0273902894114036,"{'B': 60461, 'A': 59951, 'N': 3391}",3391,0.0273902894114036,"{'B': 60461, 'A': 59951, 'N': 3391}",[287],[287],['GC.v.0'],['GC.v.0'],123803,1.0,1,8.077348691065644e-06,0.1999999999998181,0.3000000000001819,120412,117299,117298,0,3113,0.9741470949739228,0.9999914747781311,3391,3390,1336,2054,1,0,0.9997051017398997
E4_2023_2025,2024-03-06,124112,124112,True,3266,3266,True,True,992,0.007992780714193631,"{'A': 62133, 'B': 60987, 'N': 992}",992,0.007992780714193631,"{'A': 62133, 'B': 60987, 'N': 992}",[44740],[44740],['GC.v.0'],['GC.v.0'],124112,1.0,0,0.0,0.09999999999990905,0.1999999999998181,123120,122605,122605,0,515,0.9958170890188434,1.0,992,992,465,527,0,0,1.0
E4_2023_2025,2024-12-18,80752,80752,True,4978,4978,True,True,884,0.010947097285516148,"{'B': 40463, 'A': 39405, 'N': 884}",884,0.010947097285516148,"{'B': 40463, 'A': 39405, 'N': 884}",[1551],[1551],['GC.v.0'],['GC.v.0'],80752,1.0,1,1.2383594214384782e-05,0.09999999999990905,0.20000000000027285,79868,79618,79618,0,250,0.9968698352281264,1.0,884,883,452,431,1,0,0.998868778280543
