research_trading_date,era,records,price_grid_0_1_violation_records,nonpositive_size_records,sequence_backward_steps,side_values,F_PUBLISHER_SPECIFIC_records,F_MAYBE_BAD_BOOK_records,F_BAD_TS_RECV_records,F_MBP_records,F_SNAPSHOT_records,F_TOB_records,F_LAST_records,unknown_flag_bits_records
2013-05-29,E1_2011_2013,74462,0,0,0,A|B|N,0,0,74462,0,0,0,13411,0
2013-02-07,E1_2011_2013,127463,0,0,0,A|B|N,0,0,127463,0,0,0,11615,0
2011-08-05,E1_2011_2013,138987,0,0,0,A|B|N,0,0,138987,0,0,0,17846,0
2015-08-06,E2_2014_2018,65842,0,0,0,A|B|N,0,0,65842,0,0,0,4846,0
2017-10-31,E2_2014_2018,90668,0,0,0,A|B|N,0,0,0,0,0,0,1,0
2018-01-02,E2_2014_2018,87484,0,0,0,A|B|N,0,0,0,0,0,0,1,0
2019-05-06,E3_2019_2022,90377,0,0,0,A|B|N,0,0,0,0,0,0,0,0
2021-01-07,E3_2019_2022,106401,0,0,0,A|B|N,0,0,0,0,0,0,15,0
2021-09-28,E3_2019_2022,94817,0,0,0,A|B|N,0,0,0,0,0,0,13,0
2025-05-21,E4_2023_2025,123803,0,0,0,A|B|N,0,0,0,0,0,0,7,0
2024-03-06,E4_2023_2025,124112,0,0,0,A|B|N,0,0,0,0,0,0,13,0
2024-12-18,E4_2023_2025,80752,0,0,0,A|B|N,0,0,0,0,0,0,3,0
