era,date,rule,known,classified,coverage,correct,accuracy,n_n_valid,n_classified,n_coverage,n_pred_A,n_pred_B,n_unclassified
E1_2011_2013,2013-05-29,touch_only,63181,54023,0.8550513603773287,50978,0.9436351183755067,11278,11213,0.9942365667671573,5772,5441,65
E1_2011_2013,2013-05-29,midquote,63181,57084,0.9034994697773064,52556,0.9206782986476071,11278,11251,0.9976059585032807,5794,5457,27
E1_2011_2013,2013-05-29,midquote_tick,63181,63181,1.0,57299,0.906902391541761,11278,11278,1.0,5814,5464,0
E1_2011_2013,2013-05-29,quote_tick_full,63181,63181,1.0,57299,0.906902391541761,11278,11278,1.0,5814,5464,0
E1_2011_2013,2013-02-07,touch_only,126130,124975,0.9908427812574329,124551,0.9966073214642929,1326,1323,0.997737556561086,686,637,3
E1_2011_2013,2013-02-07,midquote,126130,125224,0.9928169349084278,124701,0.9958234843161056,1326,1324,0.9984917043740573,687,637,2
E1_2011_2013,2013-02-07,midquote_tick,126130,126130,1.0,125231,0.9928724332038373,1326,1326,1.0,687,639,0
E1_2011_2013,2013-02-07,quote_tick_full,126130,126130,1.0,125231,0.9928724332038373,1326,1326,1.0,687,639,0
E1_2011_2013,2011-08-05,touch_only,133832,131013,0.9789362783190866,130688,0.9975193301428102,5142,5130,0.9976662777129521,2723,2407,12
E1_2011_2013,2011-08-05,midquote,133832,132130,0.9872825632135812,131199,0.9929539090289866,5142,5138,0.999222092570984,2727,2411,4
E1_2011_2013,2011-08-05,midquote_tick,133832,133832,1.0,132622,0.9909588140355072,5142,5142,1.0,2728,2414,0
E1_2011_2013,2011-08-05,quote_tick_full,133832,133832,1.0,132622,0.9909588140355072,5142,5142,1.0,2728,2414,0
E2_2014_2018,2015-08-06,touch_only,64256,63818,0.993183515936255,63757,0.9990441568209596,1582,1582,1.0,812,770,0
E2_2014_2018,2015-08-06,midquote,64256,63823,0.9932613296812749,63760,0.9990128950378391,1582,1582,1.0,812,770,0
E2_2014_2018,2015-08-06,midquote_tick,64256,64256,1.0,64108,0.9976967131474104,1582,1582,1.0,812,770,0
E2_2014_2018,2015-08-06,quote_tick_full,64256,64256,1.0,64108,0.9976967131474104,1582,1582,1.0,812,770,0
E2_2014_2018,2017-10-31,touch_only,90393,90287,0.9988273428252188,90287,1.0,274,274,1.0,80,194,0
E2_2014_2018,2017-10-31,midquote,90393,90287,0.9988273428252188,90287,1.0,274,274,1.0,80,194,0
E2_2014_2018,2017-10-31,midquote_tick,90393,90393,1.0,90387,0.999933623178786,274,274,1.0,80,194,0
E2_2014_2018,2017-10-31,quote_tick_full,90393,90393,1.0,90387,0.999933623178786,274,274,1.0,80,194,0
E2_2014_2018,2018-01-02,touch_only,86704,86448,0.9970474257243034,86448,1.0,779,779,1.0,415,364,0
E2_2014_2018,2018-01-02,midquote,86704,86448,0.9970474257243034,86448,1.0,779,779,1.0,415,364,0
E2_2014_2018,2018-01-02,midquote_tick,86704,86704,1.0,86626,0.9991003875253737,779,779,1.0,415,364,0
E2_2014_2018,2018-01-02,quote_tick_full,86704,86704,1.0,86626,0.9991003875253737,779,779,1.0,415,364,0
E3_2019_2022,2019-05-06,touch_only,90098,89966,0.998534928633266,89966,1.0,278,278,1.0,123,155,0
E3_2019_2022,2019-05-06,midquote,90098,89967,0.9985460276587715,89966,0.9999888848133205,278,278,1.0,123,155,0
E3_2019_2022,2019-05-06,midquote_tick,90098,90098,1.0,90082,0.999822415591911,278,278,1.0,123,155,0
E3_2019_2022,2019-05-06,quote_tick_full,90098,90098,1.0,90082,0.999822415591911,278,278,1.0,123,155,0
E3_2019_2022,2021-01-07,touch_only,105436,104735,0.9933514169733297,104735,1.0,964,964,1.0,383,581,0
E3_2019_2022,2021-01-07,midquote,105436,104756,0.9935505899313327,104749,0.9999331780518538,964,964,1.0,383,581,0
E3_2019_2022,2021-01-07,midquote_tick,105436,105436,1.0,105330,0.9989946507834137,964,964,1.0,383,581,0
E3_2019_2022,2021-01-07,quote_tick_full,105436,105436,1.0,105330,0.9989946507834137,964,964,1.0,383,581,0
E3_2019_2022,2021-09-28,touch_only,94073,93639,0.9953865615001116,93639,1.0,743,742,0.9986541049798116,412,330,1
E3_2019_2022,2021-09-28,midquote,94073,93641,0.9954078215853646,93641,1.0,743,742,0.9986541049798116,412,330,1
E3_2019_2022,2021-09-28,midquote_tick,94073,94073,1.0,94015,0.9993834575276647,743,743,1.0,413,330,0
