research_trading_date,year,quarter,vol_band,panel_rank_v4,era,already_paid_pilot,qa_only,temporal_role,acquisition_stage,population_sessions,selected_sessions,model_sessions,panel_inclusion_probability,panel_weight,model_poststrat_weight
2011-02-28,2011,1,0,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,22,2,2,0.09090909090909091,11.0,11.0
2011-03-22,2011,1,0,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,22,2,2,0.09090909090909091,11.0,11.0
2011-03-23,2011,1,1,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,35,2,2,0.05714285714285714,17.5,17.5
2011-01-25,2011,1,1,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,35,2,2,0.05714285714285714,17.5,17.5
2011-01-20,2011,1,2,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,7,2,2,0.2857142857142857,3.5,3.5
2011-01-04,2011,1,2,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,7,2,2,0.2857142857142857,3.5,3.5
2011-04-21,2011,2,0,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,22,2,2,0.09090909090909091,11.0,11.0
2011-04-22,2011,2,0,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,22,2,2,0.09090909090909091,11.0,11.0
2011-06-01,2011,2,1,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,30,2,2,0.06666666666666667,15.0,15.0
2011-06-02,2011,2,1,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,30,2,2,0.06666666666666667,15.0,15.0
2011-04-05,2011,2,2,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,13,2,2,0.15384615384615385,6.5,6.5
2011-06-24,2011,2,2,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,13,2,2,0.15384615384615385,6.5,6.5
2011-07-04,2011,3,0,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,3,2,2,0.6666666666666666,1.5,1.5
2011-07-07,2011,3,0,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,3,2,2,0.6666666666666666,1.5,1.5
2011-07-28,2011,3,1,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,21,2,2,0.09523809523809523,10.5,10.5
2011-07-21,2011,3,1,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,21,2,2,0.09523809523809523,10.5,10.5
2011-09-22,2011,3,2,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,42,2,1,0.047619047619047616,21.0,42.0
2011-08-05,2011,3,2,2,E1_2011_2013,True,True,RETRO_DEV,QA_ONLY_ALREADY_PAID,42,2,1,0.047619047619047616,21.0,42.0
2011-12-26,2011,4,0,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,2,2,2,1.0,1.0,1.0
2011-12-23,2011,4,0,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,2,2,2,1.0,1.0,1.0
2011-11-24,2011,4,1,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,19,2,2,0.10526315789473684,9.5,9.5
2011-11-29,2011,4,1,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,19,2,2,0.10526315789473684,9.5,9.5
