year,quarter,vol_band,population_sessions,selected_sessions,model_sessions,panel_inclusion_probability,panel_weight,model_poststrat_weight
2011,1,0,22,2,2,0.09090909090909091,11.0,11.0
2011,1,1,35,2,2,0.05714285714285714,17.5,17.5
2011,1,2,7,2,2,0.2857142857142857,3.5,3.5
2011,2,0,22,2,2,0.09090909090909091,11.0,11.0
2011,2,1,30,2,2,0.06666666666666667,15.0,15.0
2011,2,2,13,2,2,0.15384615384615385,6.5,6.5
2011,3,0,3,2,2,0.6666666666666666,1.5,1.5
2011,3,1,21,2,2,0.09523809523809523,10.5,10.5
2011,3,2,42,2,1,0.047619047619047616,21.0,42.0
2011,4,0,2,2,2,1.0,1.0,1.0
2011,4,1,19,2,2,0.10526315789473684,9.5,9.5
2011,4,2,44,2,2,0.045454545454545456,22.0,22.0
2012,1,0,3,2,2,0.6666666666666666,1.5,1.5
2012,1,1,25,2,2,0.08,12.5,12.5
2012,1,2,37,2,2,0.05405405405405406,18.5,18.5
2012,2,0,5,2,2,0.4,2.5,2.5
2012,2,1,28,2,2,0.07142857142857142,14.0,14.0
2012,2,2,32,2,2,0.0625,16.0,16.0
2012,3,0,13,2,2,0.15384615384615385,6.5,6.5
2012,3,1,32,2,2,0.0625,16.0,16.0
2012,3,2,20,2,2,0.1,10.0,10.0
2012,4,0,20,2,2,0.1,10.0,10.0
2012,4,1,25,2,2,0.08,12.5,12.5
2012,4,2,21,2,2,0.09523809523809523,10.5,10.5
2013,1,0,36,2,2,0.05555555555555555,18.0,18.0
2013,1,1,19,2,1,0.10526315789473684,9.5,19.0
2013,1,2,8,2,2,0.25,4.0,4.0
2013,2,0,13,2,1,0.15384615384615385,6.5,13.0
2013,2,1,16,2,2,0.125,8.0,8.0
2013,2,2,36,2,2,0.05555555555555555,18.0,18.0
2013,3,0,13,2,2,0.15384615384615385,6.5,6.5
2013,3,1,28,2,2,0.07142857142857142,14.0,14.0
2013,3,2,25,2,2,0.08,12.5,12.5
2013,4,0,22,2,2,0.09090909090909091,11.0,11.0
2013,4,1,24,2,2,0.08333333333333333,12.0,12.0
2013,4,2,19,2,2,0.10526315789473684,9.5,9.5
2014,1,0,10,2,2,0.2,5.0,5.0
2014,1,1,24,2,2,0.08333333333333333,12.0,12.0
2014,1,2,29,2,2,0.06896551724137931,14.5,14.5
2014,2,0,26,2,2,0.07692307692307693,13.0,13.0
2014,2,1,27,2,2,0.07407407407407407,13.5,13.5
2014,2,2,12,2,2,0.16666666666666666,6.0,6.0
2014,3,0,30,2,2,0.06666666666666667,15.0,15.0
2014,3,1,21,2,2,0.09523809523809523,10.5,10.5
2014,3,2,15,2,2,0.13333333333333333,7.5,7.5
2014,4,0,16,2,2,0.125,8.0,8.0
2014,4,1,16,2,2,0.125,8.0,8.0
2014,4,2,33,2,2,0.06060606060606061,16.5,16.5
2015,1,0,10,2,2,0.2,5.0,5.0
2015,1,1,20,2,2,0.1,10.0,10.0
2015,1,2,33,2,2,0.06060606060606061,16.5,16.5
2015,2,0,23,2,2,0.08695652173913043,11.5,11.5
2015,2,1,27,2,2,0.07407407407407407,13.5,13.5
2015,2,2,15,2,2,0.13333333333333333,7.5,7.5
2015,3,0,24,2,1,0.08333333333333333,12.0,24.0
2015,3,1,22,2,2,0.09090909090909091,11.0,11.0
2015,3,2,20,2,2,0.1,10.0,10.0
2015,4,0,27,2,2,0.07407407407407407,13.5,13.5
2015,4,1,18,2,2,0.1111111111111111,9.0,9.0
2015,4,2,20,2,2,0.1,10.0,10.0
2016,1,0,11,2,2,0.18181818181818182,5.5,5.5
2016,1,1,22,2,2,0.09090909090909091,11.0,11.0
2016,1,2,30,2,2,0.06666666666666667,15.0,15.0
2016,2,0,17,2,2,0.11764705882352941,8.5,8.5
2016,2,1,28,2,2,0.07142857142857142,14.0,14.0
2016,2,2,20,2,2,0.1,10.0,10.0
2016,3,0,30,2,2,0.06666666666666667,15.0,15.0
2016,3,1,17,2,2,0.11764705882352941,8.5,8.5
2016,3,2,19,2,2,0.10526315789473684,9.5,9.5
2016,4,0,28,2,2,0.07142857142857142,14.0,14.0
2016,4,1,19,2,2,0.10526315789473684,9.5,9.5
2016,4,2,17,2,2,0.11764705882352941,8.5,8.5
2017,1,0,12,2,2,0.16666666666666666,6.0,6.0
2017,1,1,26,2,2,0.07692307692307693,13.0,13.0
2017,1,2,26,2,2,0.07692307692307693,13.0,13.0
2017,2,0,29,2,2,0.06896551724137931,14.5,14.5
2017,2,1,14,2,2,0.14285714285714285,7.0,7.0
2017,2,2,21,2,2,0.09523809523809523,10.5,10.5
2017,3,0,19,2,2,0.10526315789473684,9.5,9.5
2017,3,1,22,2,2,0.09090909090909091,11.0,11.0
2017,3,2,24,2,2,0.08333333333333333,12.0,12.0
2017,4,0,26,2,2,0.07692307692307693,13.0,13.0
2017,4,1,23,2,1,0.08695652173913043,11.5,23.0
2017,4,2,15,2,2,0.13333333333333333,7.5,7.5
2018,1,0,12,2,2,0.16666666666666666,6.0,6.0
2018,1,1,21,2,2,0.09523809523809523,10.5,10.5
2018,1,2,30,2,1,0.06666666666666667,15.0,30.0
2018,2,0,22,2,2,0.09090909090909091,11.0,11.0
2018,2,1,23,2,2,0.08695652173913043,11.5,11.5
2018,2,2,20,2,2,0.1,10.0,10.0
2018,3,0,24,2,2,0.08333333333333333,12.0,12.0
2018,3,1,21,2,2,0.09523809523809523,10.5,10.5
2018,3,2,20,2,2,0.1,10.0,10.0
2018,4,0,28,2,2,0.07142857142857142,14.0,14.0
2018,4,1,21,2,2,0.09523809523809523,10.5,10.5
2018,4,2,16,2,2,0.125,8.0,8.0
2019,1,0,34,2,2,0.058823529411764705,17.0,17.0
2019,1,1,20,2,2,0.1,10.0,10.0
2019,1,2,9,2,2,0.2222222222222222,4.5,4.5
2019,2,0,32,2,1,0.0625,16.0,32.0
2019,2,1,18,2,2,0.1111111111111111,9.0,9.0
2019,2,2,14,2,2,0.14285714285714285,7.0,7.0
2019,3,0,1,1,1,1.0,1.0,1.0
2019,3,1,24,2,2,0.08333333333333333,12.0,12.0
2019,3,2,41,2,2,0.04878048780487805,20.5,20.5
2019,4,0,19,2,2,0.10526315789473684,9.5,9.5
2019,4,1,24,2,2,0.08333333333333333,12.0,12.0
2019,4,2,22,2,2,0.09090909090909091,11.0,11.0
2020,1,0,29,2,2,0.06896551724137931,14.5,14.5
2020,1,1,12,2,2,0.16666666666666666,6.0,6.0
2020,1,2,23,2,2,0.08695652173913043,11.5,11.5
2020,2,0,20,2,2,0.1,10.0,10.0
2020,2,1,25,2,2,0.08,12.5,12.5
2020,2,2,19,2,2,0.10526315789473684,9.5,9.5
2020,3,0,14,2,2,0.14285714285714285,7.0,7.0
2020,3,1,25,2,2,0.08,12.5,12.5
2020,3,2,27,2,2,0.07407407407407407,13.5,13.5
2020,4,0,23,2,2,0.08695652173913043,11.5,11.5
2020,4,1,24,2,2,0.08333333333333333,12.0,12.0
2020,4,2,18,2,2,0.1111111111111111,9.0,9.0
2021,1,0,10,2,2,0.2,5.0,5.0
2021,1,1,18,2,1,0.1111111111111111,9.0,18.0
2021,1,2,35,2,2,0.05714285714285714,17.5,17.5
2021,2,0,21,2,2,0.09523809523809523,10.5,10.5
2021,2,1,21,2,2,0.09523809523809523,10.5,10.5
2021,2,2,22,2,2,0.09090909090909091,11.0,11.0
2021,3,0,28,2,2,0.07142857142857142,14.0,14.0
2021,3,1,25,2,2,0.08,12.5,12.5
2021,3,2,13,2,1,0.15384615384615385,6.5,13.0
2021,4,0,27,2,2,0.07407407407407407,13.5,13.5
2021,4,1,22,2,2,0.09090909090909091,11.0,11.0
2021,4,2,16,2,2,0.125,8.0,8.0
2022,1,0,21,2,2,0.09523809523809523,10.5,10.5
2022,1,1,15,2,2,0.13333333333333333,7.5,7.5
2022,1,2,28,2,2,0.07142857142857142,14.0,14.0
2022,2,0,18,2,2,0.1111111111111111,9.0,9.0
2022,2,1,26,2,2,0.07692307692307693,13.0,13.0
2022,2,2,20,2,2,0.1,10.0,10.0
2022,3,0,25,2,2,0.08,12.5,12.5
2022,3,1,22,2,2,0.09090909090909091,11.0,11.0
2022,3,2,19,2,2,0.10526315789473684,9.5,9.5
2022,4,0,22,2,2,0.09090909090909091,11.0,11.0
2022,4,1,23,2,2,0.08695652173913043,11.5,11.5
2022,4,2,19,2,2,0.10526315789473684,9.5,9.5
2023,1,0,16,2,2,0.125,8.0,8.0
2023,1,1,17,2,2,0.11764705882352941,8.5,8.5
2023,1,2,31,2,2,0.06451612903225806,15.5,15.5
2023,2,0,12,2,2,0.16666666666666666,6.0,6.0
2023,2,1,20,2,2,0.1,10.0,10.0
2023,2,2,32,2,2,0.0625,16.0,16.0
2023,3,0,40,2,2,0.05,20.0,20.0
2023,3,1,20,2,2,0.1,10.0,10.0
2023,3,2,5,2,2,0.4,2.5,2.5
2023,4,0,18,2,2,0.1111111111111111,9.0,9.0
2023,4,1,28,2,2,0.07142857142857142,14.0,14.0
2023,4,2,18,2,2,0.1111111111111111,9.0,9.0
2024,1,0,39,2,2,0.05128205128205128,19.5,19.5
2024,1,1,16,2,1,0.125,8.0,16.0
2024,1,2,8,2,2,0.25,4.0,4.0
2024,2,0,12,2,2,0.16666666666666666,6.0,6.0
2024,2,1,24,2,2,0.08333333333333333,12.0,12.0
2024,2,2,29,2,2,0.06896551724137931,14.5,14.5
2024,3,0,18,2,2,0.1111111111111111,9.0,9.0
2024,3,1,22,2,2,0.09090909090909091,11.0,11.0
2024,3,2,26,2,2,0.07692307692307693,13.0,13.0
2024,4,0,17,2,2,0.11764705882352941,8.5,8.5
2024,4,1,24,2,2,0.08333333333333333,12.0,12.0
2024,4,2,24,2,1,0.08333333333333333,12.0,24.0
2025,1,0,46,2,2,0.043478260869565216,23.0,23.0
2025,1,1,16,2,2,0.125,8.0,8.0
2025,1,2,1,1,1,1.0,1.0,1.0
2025,2,0,11,2,1,0.18181818181818182,5.5,11.0
2025,2,1,19,2,2,0.10526315789473684,9.5,9.5
2025,2,2,34,2,2,0.058823529411764705,17.0,17.0
2025,3,0,28,2,2,0.07142857142857142,14.0,14.0
2025,3,1,32,2,2,0.0625,16.0,16.0
2025,3,2,6,2,2,0.3333333333333333,3.0,3.0
2025,4,0,1,1,1,1.0,1.0,1.0
2025,4,1,19,2,2,0.10526315789473684,9.5,9.5
2025,4,2,45,2,2,0.044444444444444446,22.5,22.5
