research_trading_date,year,quarter,vol_band,panel_rank_v4,era,schema,cost_usd
2011-02-28,2011,1,0,1,E1_2011_2013,trades,0.092511713505
2011-02-28,2011,1,0,1,E1_2011_2013,tbbo,0.154186189175
2011-03-22,2011,1,0,2,E1_2011_2013,trades,0.084905147552
2011-03-22,2011,1,0,2,E1_2011_2013,tbbo,0.141508579254
2011-03-23,2011,1,1,1,E1_2011_2013,trades,0.090841948986
2011-03-23,2011,1,1,1,E1_2011_2013,tbbo,0.15140324831
2011-01-25,2011,1,1,2,E1_2011_2013,trades,0.136650323868
2011-01-25,2011,1,1,2,E1_2011_2013,tbbo,0.22775053978
2011-01-20,2011,1,2,1,E1_2011_2013,trades,0.167882680893
2011-01-20,2011,1,2,1,E1_2011_2013,tbbo,0.279804468155
2011-01-04,2011,1,2,2,E1_2011_2013,trades,0.15946751833
2011-01-04,2011,1,2,2,E1_2011_2013,tbbo,0.265779197216
2011-04-21,2011,2,0,1,E1_2011_2013,trades,0.099871695042
2011-04-21,2011,2,0,1,E1_2011_2013,tbbo,0.166452825069
2011-04-22,2011,2,0,2,E1_2011_2013,trades,0.000122666359
2011-04-22,2011,2,0,2,E1_2011_2013,tbbo,0.000204443932
2011-06-01,2011,2,1,1,E1_2011_2013,trades,0.122133135796
2011-06-01,2011,2,1,1,E1_2011_2013,tbbo,0.203555226326
2011-06-02,2011,2,1,2,E1_2011_2013,trades,0.122229516506
2011-06-02,2011,2,1,2,E1_2011_2013,tbbo,0.203715860844
2011-04-05,2011,2,2,1,E1_2011_2013,trades,0.128002345562
2011-04-05,2011,2,2,1,E1_2011_2013,tbbo,0.213337242603
2011-06-24,2011,2,2,2,E1_2011_2013,trades,0.146655142307
2011-06-24,2011,2,2,2,E1_2011_2013,tbbo,0.244425237179
2011-07-04,2011,3,0,1,E1_2011_2013,trades,0.017391085625
2011-07-04,2011,3,0,1,E1_2011_2013,tbbo,0.028985142708
2011-07-07,2011,3,0,2,E1_2011_2013,trades,0.08273345232
2011-07-07,2011,3,0,2,E1_2011_2013,tbbo,0.1378890872
2011-07-28,2011,3,1,1,E1_2011_2013,trades,0.026698708534
2011-07-28,2011,3,1,1,E1_2011_2013,tbbo,0.044497847557
2011-07-21,2011,3,1,2,E1_2011_2013,trades,0.132349491119
2011-07-21,2011,3,1,2,E1_2011_2013,tbbo,0.220582485199
2011-09-22,2011,3,2,1,E1_2011_2013,trades,0.224693477154
2011-09-22,2011,3,2,1,E1_2011_2013,tbbo,0.37448912859
2011-12-26,2011,4,0,1,E1_2011_2013,trades,0.0
2011-12-26,2011,4,0,1,E1_2011_2013,tbbo,0.0
2011-12-23,2011,4,0,2,E1_2011_2013,trades,0.034838497639
2011-12-23,2011,4,0,2,E1_2011_2013,tbbo,0.058064162731
2011-11-24,2011,4,1,1,E1_2011_2013,trades,0.027970433235
2011-11-24,2011,4,1,1,E1_2011_2013,tbbo,0.046617388725
2011-11-29,2011,4,1,2,E1_2011_2013,trades,0.030124604702
2011-11-29,2011,4,1,2,E1_2011_2013,tbbo,0.050207674503
2011-11-17,2011,4,2,1,E1_2011_2013,trades,0.159751653671
2011-11-17,2011,4,2,1,E1_2011_2013,tbbo,0.266252756119
2011-10-13,2011,4,2,2,E1_2011_2013,trades,0.096296846867
2011-10-13,2011,4,2,2,E1_2011_2013,tbbo,0.160494744778
2012-03-30,2012,1,0,1,E1_2011_2013,trades,0.00318056345
2012-03-30,2012,1,0,1,E1_2011_2013,tbbo,0.005300939083
2012-02-24,2012,1,0,2,E1_2011_2013,trades,0.109871506691
2012-02-24,2012,1,0,2,E1_2011_2013,tbbo,0.183119177818
2012-03-21,2012,1,1,1,E1_2011_2013,trades,0.111085653305
2012-03-21,2012,1,1,1,E1_2011_2013,tbbo,0.185142755508
2012-02-15,2012,1,1,2,E1_2011_2013,trades,0.126338839531
2012-02-15,2012,1,1,2,E1_2011_2013,tbbo,0.210564732552
2012-03-01,2012,1,2,1,E1_2011_2013,trades,0.195692896843
2012-03-01,2012,1,2,1,E1_2011_2013,tbbo,0.326154828072
2012-01-26,2012,1,2,2,E1_2011_2013,trades,0.137460172176
2012-01-26,2012,1,2,2,E1_2011_2013,tbbo,0.229100286961
2012-05-07,2012,2,0,1,E1_2011_2013,trades,0.074285745621
2012-05-07,2012,2,0,1,E1_2011_2013,tbbo,0.123809576035
2012-06-05,2012,2,0,2,E1_2011_2013,trades,0.089098334312
2012-06-05,2012,2,0,2,E1_2011_2013,tbbo,0.148497223854
2012-04-23,2012,2,1,1,E1_2011_2013,trades,0.105270266533
2012-04-23,2012,2,1,1,E1_2011_2013,tbbo,0.175450444221
2012-04-06,2012,2,1,2,E1_2011_2013,trades,0.000262856483
2012-04-06,2012,2,1,2,E1_2011_2013,tbbo,0.000438094139
2012-04-13,2012,2,2,1,E1_2011_2013,trades,0.11630398035
2012-04-13,2012,2,2,1,E1_2011_2013,tbbo,0.193839967251
2012-05-09,2012,2,2,2,E1_2011_2013,trades,0.16561460495
2012-05-09,2012,2,2,2,E1_2011_2013,tbbo,0.276024341583
2012-07-30,2012,3,0,1,E1_2011_2013,trades,0.017050623894
2012-07-30,2012,3,0,1,E1_2011_2013,tbbo,0.02841770649
2012-09-03,2012,3,0,2,E1_2011_2013,trades,0.039491057396
2012-09-03,2012,3,0,2,E1_2011_2013,tbbo,0.065818428993
2012-07-02,2012,3,1,1,E1_2011_2013,trades,0.083905041218
2012-07-02,2012,3,1,1,E1_2011_2013,tbbo,0.139841735363
