year,sample,entry_model,target_r,trades,tp_pct,sl_pct,time_pct,ambiguous_same_bar_pct,avg_gross_R,pf_gross,avg_net_R_legacy22,pf_net_legacy22,avg_net_R_cost1_5x,pf_net_cost1_5x,median_risk_price,median_entry_delay_minutes,median_legacy_commission_R
2011,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,14,28.57142857142857,71.42857142857143,0.0,7.142857142857142,-0.6159044971854856,0.1882767068312945,-0.8115055336506346,0.1089202846400086,-0.909306051883209,0.0784071761601851,1.1269999999999527,6.5,0.1953206239168196
2012,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,11,36.36363636363637,63.63636363636363,0.0,9.090909090909092,-0.4545454545454474,0.2857142857142968,-0.6621287086176552,0.1514184116360406,-0.7659203356537589,0.1012789895690842,1.0305000000000746,7.0,0.2134885977680583
2013,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,11,54.54545454545454,45.45454545454545,0.0,9.090909090909092,-0.1818181818181891,0.5999999999999839,-0.3680287566363316,0.3129739283345852,-0.4611340440454029,0.1997715740167706,1.2025000000001,7.0,0.1829521829521677
2014,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,15,53.333333333333336,46.66666666666666,0.0,13.333333333333334,-0.1999999999999552,0.5714285714286673,-0.4626321046945266,0.197904175787537,-0.5939481570418123,0.0776562442008665,0.8414999999993142,8.0,0.2614379084969451
2015,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,7,57.14285714285714,42.85714285714285,0.0,14.285714285714285,-0.1428571428571428,0.6666666666666666,-0.4287421553222934,0.2304896300049197,-0.5716846615548687,0.0800908078644494,0.7575000000001637,5.0,0.2904290429042276
2016,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,16,31.25,68.75,0.0,25.0,-0.5312500000000195,0.2272727272726989,-0.8013102854248143,0.0860827075725246,-0.9363404281372116,0.0368417775135998,0.789000000000101,7.0,0.2799582594782749
2017,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,18,33.33333333333333,66.66666666666666,0.0,27.77777777777778,-0.5000000000000067,0.2499999999999899,-0.818010443599399,0.0611750694486976,-0.9770156653990952,0.0165803411261557,0.7222500000000309,7.5,0.3065636395207328
2018,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,14,57.14285714285714,42.85714285714285,0.0,0.0,-0.142857142857161,0.6666666666666243,-0.4921681586839392,0.1579489714806681,-0.6668236665973283,0.0463107945713876,0.702750000000151,9.0,0.3130733248283145
2019,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,12,33.33333333333333,66.66666666666666,0.0,8.333333333333332,-0.5000000000000159,0.2499999999999761,-0.7364593116026036,0.112381382335437,-0.8546889674038973,0.0620391401561013,0.9477500000001556,8.0,0.2334481139019893
2020,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,19,47.368421052631575,52.63157894736842,0.0,26.31578947368421,-0.2894736842105294,0.4499999999999943,-0.4489690636879714,0.2879657563720426,-0.5287167534266926,0.2255031983106459,1.7299377173778794,7.0,0.1271722084500596
2021,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,8,25.0,75.0,0.0,37.5,-0.6264939611818524,0.1663353352878681,-0.8412714057046853,0.0923581541575778,-0.9486601279661018,0.0649605514145404,0.9635593015867698,6.0,0.22855003088517
2022,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,13,38.46153846153847,61.53846153846154,0.0,46.15384615384615,-0.4230769230769324,0.3124999999999848,-0.614541875724356,0.1638445012661325,-0.7102743520480678,0.1062915853940746,1.0834999999997308,8.0,0.2030456852792382
2023,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,12,50.0,50.0,0.0,16.666666666666664,-0.2499999999999931,0.5000000000000139,-0.5016304695356828,0.2175851292513849,-0.6274457043035276,0.1183803279319995,0.8062499999999773,8.5,0.2728713916171826
2024,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,18,33.33333333333333,66.66666666666666,0.0,33.33333333333333,-0.5000000000000083,0.2499999999999875,-0.7081892975705233,0.136839151536456,-0.8122839463557807,0.0948042964857612,1.0162500000003547,7.5,0.2164851125634685
2025,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,12,33.33333333333333,66.66666666666666,0.0,16.666666666666664,-0.4999999999999943,0.2500000000000085,-0.6042606881042726,0.1898973218025252,-0.6563910321564117,0.1643931077575033,1.9440977076433228,5.0,0.1132972095478342
2011,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.0,14,28.57142857142857,71.42857142857143,0.0,7.142857142857142,-0.4730473543283369,0.3765534136626042,-0.6686483907934863,0.2657856378824338,-0.7664489090260603,0.2231946406433944,1.1269999999999527,6.5,0.1953206239168196
2012,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.0,11,36.36363636363637,63.63636363636363,0.0,9.090909090909092,-0.2727272727272727,0.5714285714285714,-0.4803105267994804,0.384435889224083,-0.5841021538355842,0.3146220912884908,1.0305000000000746,7.0,0.2134885977680583
2013,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.0,11,36.36363636363637,63.63636363636363,0.0,9.090909090909092,-0.2727272727272727,0.5714285714285714,-0.4589378475454153,0.3929918588824835,-0.5520431349544866,0.3234071234943292,1.2025000000001,7.0,0.1829521829521677
2014,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.0,15,33.33333333333333,60.0,6.666666666666667,13.333333333333334,-0.283368719037512,0.540509524902453,-0.5460008237320835,0.3079660859790717,-0.6773168760793691,0.2260286273925354,0.8414999999993142,8.0,0.2614379084969451
2015,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.0,7,14.285714285714285,85.71428571428571,0.0,14.285714285714285,-0.7142857142857143,0.1666666666666666,-1.0001707267508648,0.0920234063664188,-1.14311323298344,0.0658821637658494,0.7575000000001637,5.0,0.2904290429042276
2016,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.0,16,25.0,75.0,0.0,25.0,-0.5,0.3333333333333333,-0.7700602854247948,0.1983584569709855,-0.905090428137192,0.1508725062930289,0.789000000000101,7.0,0.2799582594782749
2017,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.0,18,33.33333333333333,66.66666666666666,0.0,27.77777777777778,-0.3333333333333333,0.5,-0.6513437769327255,0.2489295882312797,-0.8103489987324219,0.1624279446370177,0.7222500000000309,7.5,0.3065636395207328
2018,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.0,14,42.85714285714285,57.14285714285714,0.0,0.0,-0.1428571428571428,0.75,-0.4921681586839212,0.367135793174139,-0.6668236665973103,0.2429437176536954,0.702750000000151,9.0,0.3130733248283145
2019,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.0,12,25.0,75.0,0.0,0.0,-0.5,0.3333333333333333,-0.7364593116025877,0.2114593726548345,-0.8546889674038814,0.1669116880382854,0.9477500000001556,8.0,0.2334481139019893
2020,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.0,19,47.368421052631575,52.63157894736842,0.0,26.31578947368421,-0.0526315789473684,0.9,-0.2121269584248105,0.6635811448690785,-0.2918746481635316,0.5724440732551823,1.7299377173778794,7.0,0.1271722084500596
2021,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.0,8,25.0,75.0,0.0,37.5,-0.5014939611818423,0.3326706705757631,-0.7162714057046753,0.2272197814052993,-0.8236601279660916,0.1881658254928121,0.9635593015867698,6.0,0.22855003088517
2022,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.0,13,38.46153846153847,61.53846153846154,0.0,46.15384615384615,-0.2307692307692307,0.625,-0.4222341834166543,0.4255014211991682,-0.5179666597403662,0.3482642855391153,1.0834999999997308,8.0,0.2030456852792382
2023,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.0,12,50.0,50.0,0.0,16.666666666666664,0.0,1.0,-0.2516304695356897,0.6075210074850222,-0.3774457043035346,0.4696536197965859,0.8062499999999773,8.5,0.2728713916171826
2024,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.0,18,33.33333333333333,66.66666666666666,0.0,33.33333333333333,-0.3333333333333333,0.5,-0.5415226309038484,0.3399771287751925,-0.6456172796891059,0.2805348544545071,1.0162500000003547,7.5,0.2164851125634685
2025,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.0,12,16.666666666666664,83.33333333333334,0.0,16.666666666666664,-0.6666666666666666,0.2,-0.770927354770945,0.163004895263035,-0.8230576988230841,0.1470300571593417,1.9440977076433228,5.0,0.1132972095478342
2011,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.5,14,21.428571428571427,78.57142857142857,0.0,7.142857142857142,-0.5087616400426168,0.3871746100920272,-0.7043626765077659,0.2873383023567631,-0.8021631947403405,0.2485148836519516,1.1269999999999527,6.5,0.1953206239168196
2012,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.5,11,18.181818181818183,81.81818181818183,0.0,9.090909090909092,-0.5454545454545396,0.3333333333333404,-0.7530377995267474,0.2437615429357315,-0.8568294265628512,0.2099755048310044,1.0305000000000746,7.0,0.2134885977680583
2013,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.5,11,36.36363636363637,63.63636363636363,0.0,9.090909090909092,-0.0909090909090944,0.8571428571428517,-0.2771196657272369,0.6334712988700466,-0.3702249531363082,0.5462463888490818,1.2025000000001,7.0,0.1829521829521677
2014,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.5,15,26.666666666666668,66.66666666666666,6.666666666666667,13.333333333333334,-0.2833687190375423,0.5853355426677243,-0.5460008237321138,0.3695816701538687,-0.6773168760793994,0.2925861691987963,0.8414999999993142,8.0,0.2614379084969451
2015,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.5,7,14.285714285714285,85.71428571428571,0.0,14.285714285714285,-0.6428571428571429,0.25,-0.9287421553222934,0.1568678066664711,-1.0716846615548687,0.1242514492075132,0.7575000000001637,5.0,0.2904290429042276
2016,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.5,16,25.0,75.0,0.0,25.0,-0.3749999999999915,0.5000000000000112,-0.6450602854247863,0.3284848831420957,-0.7800904281371837,0.2681435914947939,0.789000000000101,7.0,0.2799582594782749
2017,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.5,18,33.33333333333333,66.66666666666666,0.0,27.77777777777778,-0.1666666666666599,0.7500000000000101,-0.4846771102660521,0.4411144319261748,-0.6436823320657485,0.3346936508683611,0.7222500000000309,7.5,0.3065636395207328
2018,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.5,14,28.57142857142857,71.42857142857143,0.0,0.0,-0.2857142857142706,0.6000000000000211,-0.635025301541049,0.3471647907808847,-0.8096808094544379,0.2652196493292604,0.702750000000151,9.0,0.3130733248283145
2019,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.5,12,16.666666666666664,83.33333333333334,0.0,0.0,-0.5833333333333254,0.3000000000000096,-0.8197926449359131,0.2059732485638455,-0.9380223007372068,0.1713641119548915,0.9477500000001556,8.0,0.2334481139019893
2020,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.5,19,31.57894736842105,68.42105263157895,0.0,26.31578947368421,-0.2105263157894758,0.6923076923076892,-0.3700216952669179,0.5432494924587555,-0.4497693850056391,0.4848423603831553,1.7299377173778794,7.0,0.1271722084500596
