diagnostic_trade_gross_R,diagnostic_zone_id,timestamp,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask,spread,quote_active,sigma60
-7574.736945438251,ASIA_CME_H_00004094,2013-06-28 14:25:00+00:00,1201.57,1204.103,1201.473,1203.37,1201.891,1204.68,1201.876,1203.715,0.3450000000000273,True,7.406898103726348
-7574.736945438251,ASIA_CME_H_00004094,2013-06-28 14:26:00+00:00,1203.37,1207.95,1203.164,1207.86,1203.693,1208.335,1203.564,1208.222,0.36200000000008,True,7.9459849056256004
-7574.736945438251,ASIA_CME_H_00004094,2013-06-28 14:27:00+00:00,1207.89,1215.356,1207.717,1213.738,1208.302,1215.826,1208.059,1214.139,0.4009999999998399,True,8.635528071145373
-7574.736945438251,ASIA_CME_H_00004094,2013-06-28 14:28:00+00:00,1213.71,1214.54,1211.23,1212.63,1214.11,1215.239,1211.671,1212.928,0.2980000000000018,True,8.621164247736427
-7574.736945438251,ASIA_CME_H_00004094,2013-06-28 14:29:00+00:00,1212.763,1218.133,1212.63,1215.14,1213.099,1218.732,1212.877,1215.422,0.2819999999999254,True,8.612929695536911
-7574.736945438251,ASIA_CME_H_00004094,2013-06-28 14:30:00+00:00,1215.14,1216.5,1213.283,1213.91,1215.408,1216.839,1213.557,1214.13,0.2200000000000272,True,8.75746502343537
-7574.736945438251,ASIA_CME_H_00004094,2013-06-28 14:31:00+00:00,1213.91,1213.96,1211.65,1211.825,1214.226,1214.267,1211.972,1212.165,0.3399999999999181,True,9.021421818425347
-36.37500000085265,ASIA_CME_H_00004452,2013-08-23 14:02:00+00:00,1378.25,1378.838,1377.633,1377.644,1378.515,1379.08,1377.86,1377.907,0.2629999999999199,True,2.839895094620397
-36.37500000085265,ASIA_CME_H_00004452,2013-08-23 14:03:00+00:00,1377.638,1379.311,1377.62,1379.311,1377.898,1379.651,1377.898,1379.618,0.3070000000000163,True,2.838848382018768
-36.37500000085265,ASIA_CME_H_00004452,2013-08-23 14:04:00+00:00,1379.362,1386.688,1379.362,1385.892,1379.627,1387.047,1379.627,1386.177,0.2849999999998545,True,2.8423284953733967
-36.37500000085265,ASIA_CME_H_00004452,2013-08-23 14:05:00+00:00,1385.909,1388.469,1385.718,1386.731,1386.2,1388.868,1386.003,1387.125,0.3940000000000054,True,2.888376113496455
-36.37500000085265,ASIA_CME_H_00004452,2013-08-23 14:06:00+00:00,1386.702,1387.7,1386.363,1387.591,1387.096,1388.094,1386.714,1387.985,0.3940000000000054,True,2.8902380902779923
-36.37500000085265,ASIA_CME_H_00004452,2013-08-23 14:07:00+00:00,1387.598,1387.956,1385.718,1385.863,1387.992,1388.35,1386.101,1386.255,0.3920000000000527,True,2.918106910114617
-36.37500000085265,ASIA_CME_H_00004452,2013-08-23 14:08:00+00:00,1385.803,1386.903,1385.622,1386.291,1386.16,1387.267,1386.016,1386.67,0.3790000000001328,True,2.914471335482477
-11.902439024409045,ASIA_CME_H_00003666,2013-04-30 07:51:00+00:00,1465.62,1466.753,1465.363,1466.58,1465.949,1467.053,1465.67,1466.913,0.3330000000000837,True,2.338264242969816
-11.902439024409045,ASIA_CME_H_00003666,2013-04-30 07:52:00+00:00,1466.573,1475.613,1466.562,1474.79,1466.877,1476.087,1466.866,1475.277,0.48700000000008,True,2.366080603425949
-11.902439024409045,ASIA_CME_H_00003666,2013-04-30 07:53:00+00:00,1474.88,1480.052,1473.952,1478.552,1475.18,1481.074,1474.348,1478.99,0.4380000000001018,True,2.4244047946002656
-11.902439024409045,ASIA_CME_H_00003666,2013-04-30 07:54:00+00:00,1478.552,1478.652,1474.052,1475.352,1479.04,1479.04,1474.39,1475.78,0.4279999999998836,True,2.430547850279895
-11.902439024409045,ASIA_CME_H_00003666,2013-04-30 07:55:00+00:00,1475.352,1475.552,1474.493,1474.88,1475.73,1475.98,1474.94,1475.31,0.4299999999998363,True,2.576935854058554
-11.902439024409045,ASIA_CME_H_00003666,2013-04-30 07:56:00+00:00,1474.952,1474.952,1472.7,1473.352,1475.31,1475.348,1473.09,1473.79,0.4379999999998745,True,2.684708273056338
-11.902439024409045,ASIA_CME_H_00003666,2013-04-30 07:57:00+00:00,1473.452,1474.052,1472.252,1472.852,1473.79,1474.39,1472.64,1473.21,0.3579999999999472,True,2.785935561247637
-9.719626168185295,LONDON_H_00005328,2013-12-27 13:50:00+00:00,1212.324,1213.342,1212.324,1213.142,1212.758,1213.727,1212.727,1213.558,0.41599999999994,True,2.0124627215049484
-9.719626168185295,LONDON_H_00005328,2013-12-27 13:51:00+00:00,1213.153,1214.643,1213.042,1213.883,1213.558,1215.049,1213.457,1214.327,0.44399999999996,True,2.1348886643926
-9.719626168185295,LONDON_H_00005328,2013-12-27 13:52:00+00:00,1214.042,1218.821,1213.963,1218.821,1214.487,1219.528,1214.417,1219.408,0.5869999999999891,True,2.1362170864815413
-9.719626168185295,LONDON_H_00005328,2013-12-27 13:53:00+00:00,1218.718,1218.968,1216.843,1217.693,1219.238,1219.488,1217.258,1218.018,0.3250000000000455,True,2.197041338869531
-9.719626168185295,LONDON_H_00005328,2013-12-27 13:54:00+00:00,1217.693,1218.203,1217.262,1217.533,1218.008,1218.518,1217.557,1217.848,0.3150000000000545,True,2.194772417414133
-9.719626168185295,LONDON_H_00005328,2013-12-27 13:55:00+00:00,1217.533,1217.943,1217.295,1217.583,1217.838,1218.188,1217.645,1217.906,0.3229999999998654,True,2.1425257717794186
-9.719626168185295,LONDON_H_00005328,2013-12-27 13:56:00+00:00,1217.583,1218.273,1217.313,1217.763,1217.856,1218.641,1217.608,1218.048,0.2850000000000818,True,2.042293903657378
-7.569095676926977,ROUND_1_00000795,2013-06-27 17:54:00+00:00,1208.518,1208.72,1206.292,1206.292,1208.82,1209.07,1206.764,1206.764,0.47199999999998,True,8.896485705839021
-7.569095676926977,ROUND_1_00000795,2013-06-27 17:55:00+00:00,1206.324,1207.639,1206.223,1206.27,1206.796,1207.927,1206.58,1206.63,0.3600000000001273,True,9.094568868468373
-7.569095676926977,ROUND_1_00000795,2013-06-27 17:56:00+00:00,1206.22,1206.22,1202.15,1202.539,1206.58,1206.58,1202.612,1203.188,0.6490000000001146,True,8.96164024549937
