year,sample,entry_model,vol_floor_k,target_r,trades,widened_pct,avg_gross_R,pf_gross,avg_net_R_legacy22,pf_net_legacy22,avg_net_R_cost1_5x,pf_net_cost1_5x,median_risk_price,median_structural_risk_price,median_commission_R,min_risk_price,min_structural_risk_price,sum_net_R_legacy22,sum_net_R_cost1_5x
2011,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.0,1149,38.1201044386423,-0.024017828093918,0.9397213519890046,-0.0806898413423832,0.8114309028530095,-0.1090258479666159,0.7538081380513699,4.281499999999824,3.6464999999998327,0.0513838607964519,0.8036272457621062,0.2400000000002364,-92.71262770239836,-125.27069931364166
2012,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.0,1120,37.76785714285714,-0.0242153260177468,0.9371062075848688,-0.0880571596008443,0.7890248878651775,-0.1199780763923931,0.7235562334385798,3.7979835687468526,3.091500000000224,0.0579257239925002,0.8629231093661929,0.0064999999999599,-98.62401875294572,-134.37544555948034
2013,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.0,1082,37.33826247689464,0.0045625237466744,1.0123321958226488,-0.0590635924564193,0.8531808668744423,-0.0908766505579662,0.7829504555637031,3.857192660936085,3.2036470233585987,0.0570363283742874,0.8502586635015811,0.1449999999999818,-63.90680703784571,-98.32853590371946
2014,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.0,1049,34.50905624404194,-0.0361793930220378,0.9081965624004174,-0.1301089893411034,0.7075610423831159,-0.1770737875006361,0.6238946191016729,2.5956729668909877,2.1900000000000546,0.0847564399699816,0.5954979392960065,0.0584999999998672,-136.48432981881746,-185.75040308816733
2015,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.0,1045,36.45933014354067,-0.0360632956760555,0.9088540580100531,-0.1226521736226131,0.7229355672326979,-0.165946612595892,0.6444759611452295,2.799000000000205,2.3359999999997854,0.078599499821359,0.6570760155386539,0.0144999999999981,-128.17152143563078,-173.41421016270715
2016,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.0,1232,39.12337662337662,-0.0517808470712149,0.872212437485256,-0.1347532740257329,0.7006633439187474,-0.1762394875029919,0.6276269612404148,2.888401820688462,2.427279361363162,0.0761666911645894,0.5700000000001637,0.0399999999999636,-166.01603359970295,-217.12704860368603
2017,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.0,1205,37.84232365145228,-0.0816353538198655,0.8012358079518038,-0.1913023107367443,0.5949352281445234,-0.2461357891951837,0.5117820314826906,2.1809354626531414,1.8919999999998252,0.1008741449562962,0.6001383717150224,0.086999999999989,-230.5192844377769,-296.5936259801964
2018,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.0,1305,39.310344827586206,-0.0604893504455416,0.8523665214997365,-0.1761290129271946,0.6292754793659311,-0.2339488441680211,0.5401996471872544,2.041000000000168,1.734000000000151,0.1077902988730925,0.4845000000000254,0.0804999999998017,-229.848361869989,-305.30324163926764
2019,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.0,1177,33.81478334749362,-0.1124456936507541,0.7389080288642441,-0.2122130332615354,0.5667543793552542,-0.2620967030669261,0.4963812877382986,2.482360159735417,2.1344999999996617,0.0886253346989942,0.6324999999999363,0.024499999999989,-249.7747401488272,-308.48781950977207
2020,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.0,1102,43.103448275862064,-0.0595815421511648,0.8548767382318968,-0.110130449408319,0.7488660894267078,-0.1354049030368962,0.7009062737476793,5.15206300348105,4.10125000000005,0.042701410454375,0.7954674698975464,0.181999999999789,-121.36375524796765,-149.2162031466596
2021,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.0,1222,39.770867430441896,-0.0526240032350164,0.8675994723613077,-0.1106707989899855,0.7417010015737606,-0.1396941968674701,0.6856054295910433,4.173749999999927,3.453000000000202,0.0527103970608821,1.1568500396101806,0.2049999999999272,-135.23971636576232,-170.70630857204844
2022,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.0,1159,44.17601380500432,-0.028372797025877,0.92927407056901,-0.0841647879707856,0.8044300781447372,-0.1120607834432399,0.7482506633093503,4.337364480438439,3.460119182651852,0.0507220458396342,1.2611170604367734,0.1229999999998199,-97.5469892581406,-129.87844801071515
2023,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.0,1164,43.6426116838488,-0.017983511075946,0.9542144567712972,-0.0784123037027177,0.8150340823112097,-0.1086267000161035,0.7530028763198255,4.169749999999908,3.2659593166843024,0.0527609570815598,1.0330102113551587,0.1711703964922435,-91.2719215099634,-126.44147881874451
