sample,entry_model,target_r,years,total_trades,weighted_avg_gross_R,weighted_avg_net_R_legacy22,weighted_avg_net_R_cost1_5x,annual_mean_net_R_legacy22,annual_median_net_R_legacy22,positive_years_net_legacy22,positive_years_cost1_5x,median_pf_net_legacy22,pf_net_gt1_years,min_annual_net_R_legacy22,max_annual_net_R_legacy22,weighted_tp_pct,weighted_sl_pct,weighted_time_pct,weighted_ambiguous_same_bar_pct,median_risk_price_across_years,gate_1,gate_2,gate_3,gate_4,gate_5,gate_6,gate_7,survives_phase_c_v2
DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,1.5,15,304,0.14055762842046224,0.03454927251715295,-0.01845490543450165,0.050218487769368284,0.0521402034031113,10,7,1.0904267192902184,10,-0.4647953331938192,0.6936902699415787,35.526315789473685,42.76315789473684,21.710526315789473,0.0,2.4204999999999472,True,True,True,True,False,False,True,False
DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,2.0,15,304,0.12129241658456742,0.015284060681258146,-0.03772011727039648,0.040969110084204244,0.0183385821422144,9,7,1.0386929572058654,9,-0.3695572379557297,0.7495244227233613,23.68421052631579,46.38157894736842,29.93421052631579,0.0,2.4204999999999472,True,True,True,False,False,False,True,False
DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,2.5,15,304,0.09691899360015978,-0.009089362303149518,-0.06209354025480418,0.0036181867631725428,0.0444619786359679,8,7,1.073940100330174,8,-0.5297021453244845,0.6831620793437759,16.44736842105263,49.01315789473684,34.53947368421053,0.0,2.4204999999999472,True,False,True,False,False,False,True,False
DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,1.0,15,304,0.09438885680721744,-0.01161949909609184,-0.06462367704774649,-0.005061544453284979,-0.025966168760836,6,6,0.9491505605504456,6,-0.4280708264194041,0.622261698513003,46.71052631578947,37.5,15.789473684210526,0.0,2.4204999999999472,True,False,False,False,False,False,False,False
DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,3.0,15,304,0.08046769356533907,-0.02554066233797021,-0.07854484028962483,-0.022141502680969333,-0.0592897367835306,7,6,0.8909044515863389,7,-0.5058926215149647,0.7058218339040919,11.18421052631579,50.328947368421055,38.48684210526316,0.0,2.4204999999999472,True,False,False,False,False,False,False,False
DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,0.5,15,304,0.06832680801659241,-0.03768154788671685,-0.09068572583837149,-0.03137716508751577,-0.0259661687608359,6,4,0.9188357002243096,6,-0.2079419729964323,0.193690269941567,67.76315789473684,25.657894736842106,6.578947368421052,0.0,2.4204999999999472,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,0.5,15,13893,-0.039228497906299425,-0.11045594785902296,-0.14606967283538472,-0.11054473268150344,-0.1020062900781096,0,0,0.6866638354217312,0,-0.2226884209316438,-0.0230370272181156,51.15525804361909,25.57403008709422,23.270711869286693,0.028791477722594105,3.925000000000409,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,1.5,15,13893,-0.04106282850424462,-0.11229027845696817,-0.14790400343332996,-0.11237279439339437,-0.107026599538283,0,0,0.7660376577524046,0,-0.2198376562954344,-0.0257591809130116,17.21010580868063,34.880875260922764,47.909018930396606,0.021593608291945572,3.925000000000409,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,1.0,15,13893,-0.0413056352017978,-0.11253308515452132,-0.14814681013088313,-0.11272059665032387,-0.1122766417521622,0,0,0.7313106456750277,0,-0.2158550079732166,-0.0030812409289055,28.65471820341179,32.35442309076513,38.99085870582308,0.014395738861297048,3.925000000000409,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,2.0,15,13893,-0.042138057420705574,-0.1133655073734291,-0.14897923234979088,-0.11338962974913583,-0.1054364152380566,0,0,0.779527444281589,0,-0.2286558198921142,-0.02373364055187,10.80400201540344,35.98934715324264,53.20665083135392,0.014395738861297053,3.925000000000409,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,2.5,15,13893,-0.043479579613254805,-0.11470702956597835,-0.1503207545423401,-0.11465055754118737,-0.1076780293622713,0,0,0.7789176781764062,0,-0.2318089546910568,-0.0058226729431923,7.046714172604909,36.45001079680414,56.50327503059094,0.014395738861297056,3.925000000000409,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,3.0,15,13893,-0.045081970253715346,-0.11630942020643888,-0.15192314518280065,-0.11644114926848986,-0.1090197646199707,0,0,0.7774524932028037,0,-0.2311582853146539,-0.0159230057855425,4.757791693658677,36.6803426185849,58.56186568775642,0.014395738861297056,3.925000000000409,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,CLEAN_REJECTION,0.5,15,21752,-0.07615980817376783,-0.15942747027702606,-0.2010613013286552,-0.15951119639276384,-0.1502336248892269,0,0,0.5987420403031571,0,-0.2438583536381893,-0.1094263986922061,51.98142699521883,30.567304155939684,17.451268848841487,0.04137550570062522,2.7504999999998745,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,CLEAN_REJECTION,2.5,15,21752,-0.07720953724910776,-0.16047719935236604,-0.20211103040399514,-0.16098437300936225,-0.1556876359312614,0,0,0.7148541734908097,0,-0.2608743494869838,-0.0625371028765084,8.854358219933799,44.09709452004413,47.04854726002207,0.03218094887826406,2.7504999999998745,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,CLEAN_REJECTION,3.0,15,21752,-0.07754538108505729,-0.16081304318831552,-0.20244687423994465,-0.1612091771068464,-0.159294634761001,0,0,0.7017455592337802,0,-0.2682385525300707,-0.0757132805089166,6.0776020595807285,44.45568223611622,49.466715704303056,0.013791835233541735,2.7504999999998745,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,FAILED_AUCTION,0.5,15,4100,-0.09824181806326518,-0.1619943491739301,-0.19387061472926256,-0.1626207658844698,-0.1634094931414316,0,0,0.6099961448446752,0,-0.238578963993169,-0.0767027419694855,57.31707317073171,37.24390243902439,5.439024390243903,0.14634146341463414,3.4659999999998945,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,FAILED_AUCTION,2.0,15,4100,-0.09845334818671916,-0.16220587929738406,-0.1940821448527165,-0.15725707522986906,-0.1530592165391127,0,0,0.7425406296762315,0,-0.2709908894955296,-0.0309442759584014,17.073170731707318,54.41463414634146,28.51219512195122,0.024390243902439015,3.4659999999998945,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,CLEAN_REJECTION,2.0,15,21752,-0.07896342265047923,-0.1622310847537375,-0.20386491580536664,-0.1625882353231248,-0.1619197365314719,0,0,0.7143461013060243,0,-0.2593627766872265,-0.0611060304644318,12.89996322177271,43.47186465612357,43.62817212210371,0.027583670467083477,2.7504999999998745,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,CLEAN_REJECTION,1.5,15,21752,-0.08077272721277354,-0.1640403893160318,-0.2056742203676609,-0.16431028390405727,-0.1616892887373487,0,0,0.7110015278121796,0,-0.259676066141686,-0.0810835722507898,19.657962486208163,42.13405663847003,38.20798087532181,0.04137550570062521,2.7504999999998745,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,CLEAN_REJECTION,1.0,15,21752,-0.081380411420178,-0.16464807352343624,-0.2062819045750654,-0.16478681007025403,-0.1518624438240644,0,0,0.6779681276743722,0,-0.2532555194578867,-0.1019068117375169,31.08219933799191,38.92975358587716,29.98804707613093,0.05057006252298637,2.7504999999998745,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,FAILED_AUCTION,1.5,15,4100,-0.10272121171537095,-0.16647374282603586,-0.19835000838136835,-0.1590108116403242,-0.1468009268502856,0,0,0.7547965819677955,0,-0.2664861878931098,-0.0482585823994463,25.24390243902439,52.707317073170735,22.048780487804876,0.024390243902439015,3.4659999999998945,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,FAILED_AUCTION,3.0,15,4100,-0.10274159115437406,-0.16649412226503896,-0.19837038782037136,-0.16204452204045847,-0.1697568418770776,1,0,0.7494537089173539,1,-0.2763527611505397,0.00658887864804,8.073170731707316,55.73170731707317,36.19512195121951,0.024390243902439015,3.4659999999998945,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,FAILED_AUCTION,2.5,15,4100,-0.10389807546306523,-0.1676506065737301,-0.19952687212906256,-0.16343701104652458,-0.1675582788449056,0,0,0.7395753087701427,0,-0.265921791217063,-0.0086816894070921,11.487804878048781,55.26829268292683,33.24390243902439,0.024390243902439015,3.4659999999998945,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.5,15,17565,-0.06235664355889508,-0.1689407920769726,-0.22223286633601136,-0.16904843209176867,-0.1641204178422209,0,0,0.6960715064785681,0,-0.2918367930635784,-0.066077962544769,20.831198405920865,41.07600341588386,38.092798178195274,0.6945630515229149,3.2036470233585987,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,15,17565,-0.06245233237037331,-0.16903648088845086,-0.2223285551474896,-0.16943666698374485,-0.1528662039604832,0,0,0.675388215367255,0,-0.2954273917726743,-0.0440580134257979,32.23455735838315,37.3868488471392,30.378593794477656,0.8198121263877028,3.2036470233585987,True,False,False,False,False,False,False,False
MEMORY_ONLY,FAILED_AUCTION,2.0,15,1042,-0.07878827659920058,-0.16933229537165176,-0.21460430475787734,-0.20476857899384543,-0.1994393429233505,2,2,0.65585279375706,2,-0.5186122344428818,0.1082460019200197,21.209213051823415,57.67754318618042,21.113243761996163,0.19193857965451055,3.3049999999998363,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,FAILED_AUCTION,1.0,15,4100,-0.10675265184003083,-0.1705051829506957,-0.20238144850602816,-0.1642597616746606,-0.1572973336260553,0,0,0.7031752657404228,0,-0.2730577481972783,-0.057661572633527,37.48780487804878,48.46341463414634,14.048780487804878,0.04878048780487804,3.4659999999998945,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,3.0,15,17565,-0.06423191662061022,-0.17081606513868777,-0.22410813939772653,-0.17113751432265106,-0.1648523145662596,0,0,0.7135710151192596,0,-0.3050121166108703,-0.0692241699943206,7.321377739823513,44.38941076003416,48.28921150014233,0.3529746655280387,3.2036470233585987,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,0.5,15,17565,-0.06448147628416544,-0.17106562480224297,-0.2243576990612817,-0.17179960588084464,-0.1601064898522176,0,0,0.5776170267640054,0,-0.2707298883398832,-0.0790165972665869,53.13407344150299,29.171648163962427,17.694278394534585,1.1670936521491602,3.2036470233585987,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,2.5,15,17565,-0.06470608943661559,-0.17129023795469311,-0.22458231221373187,-0.17145808847891877,-0.1642915373208802,0,0,0.7120249032540563,0,-0.3062276356874688,-0.0849477638643206,9.985767150583547,43.88841446057501,46.125818388841445,0.4269854824935952,3.2036470233585987,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,2.0,15,17565,-0.06513695007088709,-0.1717210985889646,-0.22501317284800332,-0.1718337338056406,-0.172436835354184,0,0,0.6990307168006384,0,-0.3016949616633038,-0.0756825827819779,14.198690577853686,42.988898377455165,42.812411044691146,0.5351551380586393,3.2036470233585987,True,False,False,False,False,False,False,False
MEMORY_ONLY,FAILED_AUCTION,1.5,15,1042,-0.08314924386444801,-0.17369326263689921,-0.21896527202312477,-0.19374470230696084,-0.1544459133710872,1,1,0.7378613839537564,1,-0.486375103522906,0.105123450230452,28.886756238003837,54.990403071017276,16.122840690978887,0.19193857965451055,3.3049999999998363,True,False,False,False,False,False,False,False
MEMORY_ONLY,FAILED_AUCTION,2.5,15,1042,-0.08527682700722759,-0.1758208457796788,-0.22109285516590438,-0.1857289832099392,-0.2154034665873755,3,2,0.7191865440768987,3,-0.5470312405985049,0.2236306173046313,15.259117082533589,59.40499040307102,25.335892514395393,0.19193857965451055,3.3049999999998363,True,False,False,False,False,False,False,False
MEMORY_ONLY,FAILED_AUCTION,0.5,15,1042,-0.08680243144742335,-0.17734645021987455,-0.22261845960610016,-0.20513432895400197,-0.1853953866510455,0,0,0.5733660651574907,0,-0.3871029725946517,-0.0553935455692219,58.73320537428023,37.3320537428023,3.9347408829174664,0.4798464491362764,3.3049999999998363,True,False,False,False,False,False,False,False
DOZ_OBJECTIVE_ONLY,FAILED_AUCTION,1.0,15,446,-0.0917494459504787,-0.1861785524868402,-0.23339310575502095,-0.18288025296025148,-0.1582946202130702,3,2,0.7105678234505372,3,-0.4911798932113439,0.1144629988526019,39.46188340807175,48.87892376681614,11.659192825112108,0.2242152466367713,2.5499999999999545,True,False,False,False,False,False,False,False
MEMORY_ONLY,FAILED_AUCTION,3.0,15,1042,-0.10418994927339716,-0.19473396804584833,-0.24000597743207397,-0.2052658392695267,-0.2258039191449091,2,2,0.667618627628746,2,-0.5060476340411273,0.0933164292062934,10.556621880998081,60.46065259117083,28.982725527831093,0.28790786948176583,3.3049999999998363,True,False,False,False,False,False,False,False
MEMORY_ONLY,FAILED_AUCTION,1.0,15,1042,-0.11437367657364635,-0.2049176953460975,-0.2501897047323231,-0.2269454513566532,-0.2159126727761719,0,0,0.5906796765493082,0,-0.4675311431195982,-0.0275296109940384,38.963531669865645,50.575815738963534,10.460652591170826,0.28790786948176583,3.3049999999998363,True,False,False,False,False,False,False,False
DOZ_OBJECTIVE_ONLY,FAILED_AUCTION,0.5,15,446,-0.12325465980559541,-0.21768376634195696,-0.2648983196101377,-0.2103910906422205,-0.1995053597610301,3,2,0.4981805002374557,3,-0.4621691190434233,0.0439633186117451,55.60538116591928,39.01345291479821,5.381165919282512,0.2242152466367713,2.5499999999999545,True,False,False,False,False,False,False,False
MEMORY_ONLY,CLEAN_REJECTION,2.5,15,4698,-0.14069491101361864,-0.2220543464646387,-0.26273406419014866,-0.24813009970427516,-0.2272512225459045,0,0,0.6759471356207776,0,-0.459360375766179,-0.0994699985978124,12.941677309493402,58.194976585781184,28.863346104725416,0.0,2.4534757656864485,True,False,False,False,False,False,False,False
MEMORY_ONLY,CLEAN_REJECTION,3.0,15,4698,-0.14363120466222462,-0.22499064011324454,-0.2656703578387546,-0.25354958398511107,-0.240125208081209,0,0,0.6635044156279596,0,-0.4427243874110458,-0.1003006252190677,9.301830566198383,58.83354618986803,31.86462324393359,0.0,2.4534757656864485,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,RECLAIM_PULLBACK,0.5,15,11078,-0.13136094347564037,-0.2296427669728469,-0.27878367872145016,-0.2323103433406858,-0.2089218338977246,0,0,0.4956837427988921,0,-0.3670272176773949,-0.1272847676477325,48.93482578082686,35.033399530601194,16.031774688571943,2.7441776493951977,2.952250000000163,True,False,False,False,False,False,False,False
MEMORY_ONLY,CLEAN_REJECTION,2.0,15,4698,-0.14880266200920897,-0.23016209746022898,-0.2708418151857389,-0.25560163860374613,-0.2436450107718279,0,0,0.6321014718480085,0,-0.4757065004108293,-0.1436185746959182,17.496807151979567,57.194550872711794,25.308641975308642,0.0,2.4534757656864485,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,RECLAIM_PULLBACK,1.5,15,11078,-0.1331069335293007,-0.23138875702650727,-0.28052966877511054,-0.23413499069620966,-0.2163479199143225,0,0,0.6228235182918777,0,-0.3946731894472464,-0.1228436681999057,19.859180357465245,46.65102003971836,33.48979960281639,2.6539086477703555,2.952250000000163,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,RECLAIM_PULLBACK,3.0,15,11078,-0.1337202035041631,-0.23200202700136965,-0.2811429387499729,-0.23309452164594227,-0.2083538871870342,0,0,0.662875834968353,0,-0.4171781474834319,-0.1060228477818559,7.149304928687489,49.90973099837516,42.940964072937355,2.6358548474453873,2.952250000000163,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,RECLAIM_PULLBACK,2.5,15,16729,-0.13424162583826404,-0.2322768882033827,-0.2812945193859421,-0.23535817949970095,-0.228485377318457,0,0,0.6706954603264577,0,-0.3710351113249017,-0.1379553299539741,12.218303544742662,56.243648753661304,31.53804770159603,2.414968019606671,2.1900000000000546,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,RECLAIM_PULLBACK,2.5,15,11078,-0.1342701001183482,-0.23255192361555474,-0.281692835364158,-0.23433759844175206,-0.2160697198572022,0,0,0.6467484014484681,0,-0.4212836151092161,-0.1300591838630664,9.758079075645423,49.41325148943853,40.82866943491605,2.6358548474453873,2.952250000000163,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,RECLAIM_PULLBACK,1.0,15,11078,-0.13433837543027183,-0.23262019892747846,-0.2817611106760817,-0.23498164789538992,-0.2062697750632829,0,0,0.6009350568215974,0,-0.3745683516485421,-0.1276161463601077,29.915147138472648,43.130528976349524,26.95432388517783,2.6539086477703555,2.952250000000163,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,RECLAIM_PULLBACK,2.0,15,11078,-0.13631268556659157,-0.23459450906379808,-0.2837354208124014,-0.2372345905973267,-0.2243141805218903,0,0,0.6201397355958462,0,-0.3985268905632683,-0.1256689453053674,13.567430944213758,48.51056147319011,37.92200758259614,2.6358548474453873,2.952250000000163,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,RECLAIM_PULLBACK,1.0,15,16729,-0.13708491329226435,-0.235120175657383,-0.2841378068399423,-0.23878216623504636,-0.2182221102979163,0,0,0.6116274182528268,0,-0.3507533551728537,-0.1663928258071731,34.670332954749234,48.29936039213342,17.030306653117343,2.420945663219559,2.1900000000000546,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,RECLAIM_PULLBACK,3.0,15,16729,-0.13850159024137407,-0.23653685260649274,-0.28555448378905207,-0.23895285761604876,-0.2180526351577146,0,0,0.6560764211346711,0,-0.3735500995184206,-0.1256992925451595,8.805069041783728,56.919122481917626,34.27580847629864,2.420945663219559,2.1900000000000546,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,RECLAIM_PULLBACK,1.5,15,16729,-0.13970620695043737,-0.23774146931555598,-0.28675910049811537,-0.24038144225215125,-0.2389319980134118,0,0,0.6390343508452249,0,-0.3649206238534624,-0.1459420326627208,23.569848765616594,52.9141012612828,23.516049973100603,2.4269233068324465,2.1900000000000546,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,RECLAIM_PULLBACK,2.0,15,16729,-0.1407758160571368,-0.2388110784222555,-0.2878287096048148,-0.2416706046860104,-0.2358599741545901,0,0,0.661750409268655,0,-0.3758016561531598,-0.156723667669827,16.755335046924504,55.23940462669616,28.005260326379343,2.4089903759937834,2.1900000000000546,True,False,False,False,False,False,False,False
MEMORY_ONLY,CLEAN_REJECTION,1.5,15,4698,-0.15932378278392548,-0.24068321823494548,-0.2813629359604555,-0.25874420258879194,-0.2760244306539514,0,0,0.5851573496203327,0,-0.4230612277694691,-0.1049829924822096,24.584929757343552,55.34269902085994,20.07237122179651,0.021285653469561513,2.4534757656864485,True,False,False,False,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,RECLAIM_PULLBACK,0.5,15,16729,-0.14278317766760376,-0.24081844003272243,-0.2898360712152817,-0.24419826840600586,-0.2393214897876558,0,0,0.46807357627683,0,-0.3556293136043191,-0.179235563993189,52.417956841413115,38.83675055293203,8.745292605654852,2.44485623767111,2.1900000000000546,True,False,False,False,False,False,False,False
DOZ_OBJECTIVE_ONLY,FAILED_AUCTION,2.0,15,446,-0.1478327794605988,-0.24226188599696027,-0.28947643926514105,-0.2317257221362929,-0.1866261865611988,3,3,0.7349975447106378,3,-0.7427094868681573,0.1966356366090319,19.05829596412556,59.865470852017935,21.076233183856502,0.2242152466367713,2.5499999999999545,True,False,False,False,False,False,False,False
DOZ_OBJECTIVE_ONLY,FAILED_AUCTION,1.5,15,446,-0.1504550477713413,-0.24488415430770283,-0.2920987075758836,-0.2397186479923634,-0.2113995881617788,2,1,0.6785344292908165,2,-0.6136772288036412,0.1341356366090221,24.887892376681613,56.72645739910314,18.385650224215247,0.2242152466367713,2.5499999999999545,True,False,False,False,False,False,False,False
MEMORY_ONLY,CLEAN_REJECTION,0.5,15,4698,-0.16478452266701896,-0.24614395811803896,-0.28682367584354895,-0.2717402347398597,-0.280578877377566,0,0,0.4204376572331917,0,-0.3856157198090766,-0.1586971050980541,52.57556406981694,40.99616858237548,6.428267347807577,0.06385696040868453,2.4534757656864485,True,False,False,False,False,False,False,False
