sample,entry_model,risk_rule,vol_floor_k,target_r,years,total_trades_primary,weighted_avg_gross_R_primary,weighted_avg_net_R_primary,annual_median_net_R_primary,positive_years_primary,median_annual_pf_primary,min_annual_net_R_primary,max_annual_net_R_primary,weighted_avg_net_R_spread010,weighted_avg_net_R_spread012,weighted_avg_net_R_stress,positive_years_stress,median_annual_pf_stress,gate_1,gate_2,gate_3,gate_4,gate_5,gate_6,gate_7,gate_8,survives_vantage_gate
DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,STRUCTURAL,,3.0,15,304,0.34935777148502206,0.3097889084964196,0.1877134378392815,12,1.3324060685977512,-0.1967488316883621,1.1927633616759543,0.3181854785435356,0.3065381530022455,0.2077393218192354,11,1.2834682222156766,True,True,True,True,True,True,True,True,True
DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,STRUCTURAL,,2.0,15,304,0.3280590870153241,0.28849022402672164,0.3562203970498676,11,1.7901306732337527,-0.2922960939003908,0.8841450972112443,0.29982679172760224,0.2658428030243444,0.21081602724111145,10,1.3171534121059874,True,True,True,True,True,True,True,True,True
DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.5,15,304,0.31948703061593153,0.2799181676273291,0.2791705978890462,13,1.6628982399818804,-0.1147992544566068,1.1098966807268074,0.2863128541266456,0.26871110679735016,0.18960521480573295,12,1.4634185916255151,True,True,True,True,True,True,True,True,True
DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,STRUCTURAL,,2.5,15,304,0.30608167424824034,0.266512811259638,0.2611273208198625,11,1.490465804074344,-0.2289293176920371,1.1698593829255224,0.28554355867165154,0.2640814235416946,0.18596988267408018,11,1.43118689366745,True,True,True,True,True,True,True,True,True
DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,15,304,0.2972312091603677,0.25766234617176526,0.2856147016760125,14,1.858851088053763,-0.0921293737654064,0.6813252521553721,0.27348808315957535,0.24013593129321179,0.15952352385287888,12,1.392778906827171,True,True,True,True,True,True,True,True,True
DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,15,304,0.15999982212335515,0.1204309591347527,0.1312476233051917,11,1.5390593415463636,-0.0627176090595219,0.4670395378696513,0.12475037673176796,0.11611065886659325,0.08615651906619402,11,1.329810574810879,True,True,True,True,True,True,True,True,True
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.50,0.5,2.5,15,755,0.1125427005018546,0.07046887854878299,0.0509070845159055,10,1.0763545387195306,-0.2254779385902016,0.8182507737631437,0.08462348874735137,0.05749884366187351,0.005903880771030645,8,1.0176200475797796,True,True,True,True,True,True,True,True,True
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.75,0.75,3.0,15,755,0.09325004409897604,0.06042978963200153,0.0686716349269266,10,1.116588245132332,-0.3606110369775027,0.5536491936921301,0.06646485452988327,0.060208211802807,0.03263133961551194,10,1.0879120220704406,True,True,True,True,True,True,True,True,True
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,0.25,3.0,15,755,0.1551133306146415,0.09741881315117559,0.1238414932146876,9,1.17299221579903,-0.2485897066694191,0.7467970994870761,0.12631268403588683,0.09511146999099086,0.024122768092695007,9,1.13182185906954,True,True,True,False,True,True,True,True,False
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,0.25,2.5,15,755,0.14834717238793937,0.09065265492447348,0.0704611162284777,9,1.1034614129853115,-0.2207748675544321,0.7981576000185915,0.10581534108756262,0.08259438825622516,-0.004551296287999547,8,1.0195354970111854,True,True,True,False,True,True,False,True,False
