scenario,target_r,year,N,mean_net_R,sum_net_R,pf_net,abs_annual_contribution_share
S11_C6_PRIMARY,0.5,2011,34,-0.15884570191338976,-5.400753865055252,0.6315621088156395,0.08933720803533168
S11_C6_PRIMARY,0.5,2012,28,-0.021202882943507688,-0.5936807224182152,0.9371582387543407,0.009820439799787006
S11_C6_PRIMARY,0.5,2013,25,-0.25134599246780687,-6.283649811695171,0.4965091789331143,0.10394173563079816
S11_C6_PRIMARY,0.5,2014,22,-0.1453026134674623,-3.1966574962841703,0.6394795334387422,0.05287788758733219
S11_C6_PRIMARY,0.5,2015,41,-0.028323784892323053,-1.1612751805852453,0.9066645697239457,0.01920937057796283
S11_C6_PRIMARY,0.5,2016,49,-0.11130845346099796,-5.4541142195889005,0.7096377739715408,0.0902198746431651
S11_C6_PRIMARY,0.5,2017,43,-0.162173509298597,-6.9734608998396705,0.6016529617512067,0.11535232723086788
S11_C6_PRIMARY,0.5,2018,57,-0.12252335563252927,-6.983831271054168,0.6893880153631589,0.11552386995133658
S11_C6_PRIMARY,0.5,2019,52,-0.12519430490318584,-6.510103854965664,0.669228024780313,0.10768765193796376
S11_C6_PRIMARY,0.5,2020,27,0.010180566280333772,0.27487528956901186,1.0348194425751045,0.004546882072684053
S11_C6_PRIMARY,0.5,2021,29,0.004167703496423691,0.12086340139628704,1.0130346196158069,0.0019992762314650363
S11_C6_PRIMARY,0.5,2022,20,0.22855068603065126,4.571013720613025,2.5668708682110855,0.07561196342107024
S11_C6_PRIMARY,0.5,2023,37,-0.26264823563711,-9.717984718573069,0.4780349059432449,0.16075119218165937
S11_C6_PRIMARY,0.5,2024,18,0.05850511455212894,1.0530920619383208,1.2048043481607293,0.017419846741484057
S11_C6_PRIMARY,0.5,2025,16,-0.134888836457577,-2.158221383321232,0.6668172840780314,0.03570047395709223
S18_C9_STRESS,0.5,2011,34,-0.21640060094251085,-7.357620432045369,0.5375037466403879,0.08834678448372923
S18_C9_STRESS,0.5,2012,28,0.018698125998700243,0.5235475279636068,1.061836348931962,0.006286508124085404
S18_C9_STRESS,0.5,2013,25,-0.32379247818323337,-8.094811954580834,0.4088894014223127,0.09719862743569947
S18_C9_STRESS,0.5,2014,22,-0.22951868250683666,-5.049411015150406,0.4956280401448802,0.06063091061103417
S18_C9_STRESS,0.5,2015,41,-0.08411418981852997,-3.4486817825597287,0.7502613693142202,0.04141012016191606
