scenario,target_r,N,identity_pass
S10_C6,0.5,498,True
S10_C6,1.0,498,True
S10_C6,1.5,498,True
S10_C6,2.0,498,True
S10_C6,2.5,498,True
S10_C6,3.0,498,True
S11_C6_PRIMARY,0.5,498,True
S11_C6_PRIMARY,1.0,498,True
S11_C6_PRIMARY,1.5,498,True
S11_C6_PRIMARY,2.0,498,True
S11_C6_PRIMARY,2.5,498,True
S11_C6_PRIMARY,3.0,498,True
S12_C6,0.5,498,True
S12_C6,1.0,498,True
S12_C6,1.5,498,True
S12_C6,2.0,498,True
S12_C6,2.5,498,True
S12_C6,3.0,498,True
S18_C9_STRESS,0.5,498,True
S18_C9_STRESS,1.0,498,True
S18_C9_STRESS,1.5,498,True
S18_C9_STRESS,2.0,498,True
S18_C9_STRESS,2.5,498,True
S18_C9_STRESS,3.0,498,True
