scenario,target_r,dates,draws,seed,ci95_lower,ci95_upper,prob_mean_gt_0
S10_C6,0.5,455,20000,20260821,-0.15741656683197666,-0.033353911317906035,0.0011
S10_C6,1.0,455,20000,20260821,-0.16964731609206782,-0.004814837763473523,0.019
S10_C6,1.5,455,20000,20260821,-0.16163243543535186,0.03268456595383494,0.09205
S10_C6,2.0,455,20000,20260821,-0.1535559620583344,0.0637952084197171,0.1947
S10_C6,2.5,455,20000,20260821,-0.15660797388080983,0.08131981478188119,0.2497
S10_C6,3.0,455,20000,20260821,-0.1464878992294252,0.10638661603379757,0.35845
S11_C6_PRIMARY,0.5,455,20000,20260821,-0.1596934796383862,-0.035480900623213,0.00085
S11_C6_PRIMARY,1.0,455,20000,20260821,-0.17748818544556044,-0.012778723794312658,0.0119
S11_C6_PRIMARY,1.5,455,20000,20260821,-0.16366922478881804,0.030539483710765824,0.08525
S11_C6_PRIMARY,2.0,455,20000,20260821,-0.15452810345323031,0.0625293491176239,0.18875
S11_C6_PRIMARY,2.5,455,20000,20260821,-0.15881266585888412,0.07873876640596301,0.23575
S11_C6_PRIMARY,3.0,455,20000,20260821,-0.1489258231004327,0.103283562480043,0.342
S12_C6,0.5,455,20000,20260821,-0.16818146452599603,-0.044400749529221746,0.0002
S12_C6,1.0,455,20000,20260821,-0.20132330697878184,-0.03609703259806205,0.0028
S12_C6,1.5,455,20000,20260821,-0.1832608729685922,0.009707745805725285,0.03975
S12_C6,2.0,455,20000,20260821,-0.15739633828983632,0.05715404791257779,0.16775
S12_C6,2.5,455,20000,20260821,-0.1605961479371311,0.07571140096160679,0.2227
S12_C6,3.0,455,20000,20260821,-0.15834437887710312,0.09299634660168421,0.2868
S18_C9_STRESS,0.5,455,20000,20260821,-0.21004596399373004,-0.08630449847663091,0.0
S18_C9_STRESS,1.0,455,20000,20260821,-0.20626350920084827,-0.043454816694069594,0.0012
S18_C9_STRESS,1.5,455,20000,20260821,-0.18223309015010272,0.009597133024385474,0.03875
S18_C9_STRESS,2.0,455,20000,20260821,-0.18239655060033075,0.03162688639157284,0.0766
S18_C9_STRESS,2.5,455,20000,20260821,-0.1666312141778226,0.06588083965635,0.18505
S18_C9_STRESS,3.0,455,20000,20260821,-0.16971452894067113,0.0757236692269991,0.21575
