scenario,target_r,left_out_year,N,mean_net_R,sum_net_R,pf_net
S11_C6_PRIMARY,0.5,2011,464,-0.09270072216553632,-43.01313508480885,0.7499429698427397
S11_C6_PRIMARY,0.5,2012,470,-0.10174512388818274,-47.82020822744589,0.7301717049224946
S11_C6_PRIMARY,0.5,2013,473,-0.08907027301938464,-42.13023913816893,0.7581385868325938
S11_C6_PRIMARY,0.5,2014,476,-0.09499418372600828,-45.21723145357994,0.7456920634286163
S11_C6_PRIMARY,0.5,2015,457,-0.10339740430914413,-47.25261376927887,0.7287915379034245
S11_C6_PRIMARY,0.5,2016,449,-0.09567878559081337,-42.95977473027521,0.7441164528704425
S11_C6_PRIMARY,0.5,2017,455,-0.09107786384620756,-41.44042805002444,0.7550307344128069
S11_C6_PRIMARY,0.5,2018,441,-0.09394570902224474,-41.43005767880993,0.7476665243446385
S11_C6_PRIMARY,0.5,2019,446,-0.09395467510066914,-41.90378509489844,0.7490645162485859
S11_C6_PRIMARY,0.5,2020,471,-0.10337317248287285,-48.68876423943311,0.7276572266132062
S11_C6_PRIMARY,0.5,2021,469,-0.10348561268925457,-48.534752351260394,0.7264096042900402
S11_C6_PRIMARY,0.5,2022,478,-0.11084707671647934,-52.984902670477126,0.7116538992624395
S11_C6_PRIMARY,0.5,2023,461,-0.08393905473165084,-38.69590423129104,0.7697409000453713
S11_C6_PRIMARY,0.5,2024,480,-0.10305621044125507,-49.46698101180243,0.727499507922141
S11_C6_PRIMARY,0.5,2025,482,-0.09596611528328396,-46.25566756654287,0.7433010594858963
S18_C9_STRESS,0.5,2011,464,-0.14266266415492473,-66.19547616788508,0.6428198451399965
S18_C9_STRESS,0.5,2012,470,-0.15760988112317884,-74.07664412789406,0.6157248746029628
S18_C9_STRESS,0.5,2013,473,-0.1383896081297032,-65.45828464534961,0.6509677665339043
S18_C9_STRESS,0.5,2014,476,-0.14391530585037823,-68.50368558478004,0.6417643257929951
S18_C9_STRESS,0.5,2015,457,-0.15340134533341515,-70.10441481737072,0.6259647854132698
S18_C9_STRESS,0.5,2016,449,-0.14670978048581435,-65.87269143813064,0.636288867842031
S18_C9_STRESS,0.5,2017,455,-0.14704390627302286,-66.9049773542254,0.6372121276015387
S18_C9_STRESS,0.5,2018,441,-0.13793645986282002,-60.82997879950363,0.65263850523335
S18_C9_STRESS,0.5,2019,446,-0.14704963097668314,-65.58413541560068,0.6377565161987679
S18_C9_STRESS,0.5,2020,471,-0.1560390668356018,-73.49440047956844,0.6196190182912141
