scenario,target_r,months,block_months,draws,seed,observed_mean_monthly_R,ci95_lower_mean_monthly_R,ci95_upper_mean_monthly_R
S11_C6_PRIMARY,0.5,180,3,20000,20260822,-0.26896604972146726,-0.43500224682447425,-0.10505045465329078
S11_C6_PRIMARY,1.0,180,3,20000,20260822,-0.26598707294609686,-0.5001780956493183,-0.03501576854704842
S11_C6_PRIMARY,1.5,180,3,20000,20260822,-0.1858547508844325,-0.4617826388581173,0.09906553841161593
S11_C6_PRIMARY,2.0,180,3,20000,20260822,-0.13094343044444737,-0.449198699789821,0.19901268137282835
S11_C6_PRIMARY,2.5,180,3,20000,20260822,-0.11536421795997609,-0.4356382246718357,0.22411395921867683
S11_C6_PRIMARY,3.0,180,3,20000,20260822,-0.06660679992383683,-0.41057711573029304,0.292584258125077
S18_C9_STRESS,0.5,180,3,20000,20260822,-0.40862831444405806,-0.5790703374620091,-0.24109916042683524
S18_C9_STRESS,1.0,180,3,20000,20260822,-0.34701794884460474,-0.5768934749623879,-0.12451541427804426
S18_C9_STRESS,1.5,180,3,20000,20260822,-0.23997570985119615,-0.5276309396349901,0.05363230375378838
S18_C9_STRESS,2.0,180,3,20000,20260822,-0.2141795705838222,-0.509565914281523,0.08931007889667283
S18_C9_STRESS,2.5,180,3,20000,20260822,-0.14316244906130654,-0.4540521085109579,0.17926782266614497
S18_C9_STRESS,3.0,180,3,20000,20260822,-0.13223692671989312,-0.46911471155480183,0.21150646670328585
