event_id,source_year,doz_zone_id,objective_zone_id,anchor_zone_id,anchor_family,anchor_variant,partner_zone_id,partner_family,partner_variant,doz_contact_time,objective_contact_time,confluence_time,confirm_time,entry_time,confluence_idx,causal_clean_rejection_trigger_minutes,confirm_idx,entry_idx,direction,anchor_side,doz_side,objective_side,side_relation,anchor_lower,anchor_upper,pair_lower,pair_upper,direct_overlap,doz_origin_time,doz_known_time,doz_source_tf,doz_variant,objective_origin_time,objective_known_time,objective_source_tf,objective_variant,doz_activation_session,objective_activation_session,entry_session,timing_integrity_pass,prefix_invariance_pass
acc8b20223469f54725bc7ec,2011,DOZ_BODY_00006508,NY_AM_L_00002807,DOZ_BODY_00006508,DISPLACEMENT_ORIGIN,DOZ_BODY,NY_AM_L_00002807,OBJECTIVE_LIQUIDITY,NY_AM_LOW,2011-01-04T08:05:00+00:00,2011-01-04T08:05:00+00:00,2011-01-04T08:05:00+00:00,2011-01-04T08:07:00+00:00,2011-01-04T08:08:00+00:00,530405,2,530407,530408,LONG,SUPPORT,SUPPORT,SUPPORT,SAME_SIDE,1411.289,1412.168,1411.289,1412.0879999999995,0.9089874857791088,2010-12-31T14:30:00+00:00,2010-12-31T16:00:00+00:00,30min,DOZ_BODY,2010-12-31T16:59:00+00:00,2010-12-31T17:00:00+00:00,SESSION,NY_AM_LOW,NY_AM,NY_PM,LONDON,True,True
ca1f09875349c6ce55630f4f,2011,DOZ_LAST_00002376,NY_AM_L_00002777,DOZ_LAST_00002376,DISPLACEMENT_ORIGIN,DOZ_LAST,NY_AM_L_00002777,OBJECTIVE_LIQUIDITY,NY_AM_LOW,2011-01-04T13:31:00+00:00,2011-01-04T13:31:00+00:00,2011-01-04T13:31:00+00:00,2011-01-04T13:31:00+00:00,2011-01-04T13:32:00+00:00,530731,0,530731,530732,LONG,SUPPORT,SUPPORT,SUPPORT,SAME_SIDE,1396.0235,1396.94,1396.0235,1396.94,1.0,2010-12-28T13:15:00+00:00,2010-12-28T13:30:00+00:00,15min,DOZ_LAST,2010-12-28T16:59:00+00:00,2010-12-28T17:00:00+00:00,SESSION,NY_AM_LOW,NY_AM,NY_PM,NY_AM,True,True
7d502135b64a7e4d9fab110c,2011,DOZ_LAST_00006522,NY_PM_H_00002832,NY_PM_H_00002832,OBJECTIVE_LIQUIDITY,NY_PM_HIGH,DOZ_LAST_00006522,DISPLACEMENT_ORIGIN,DOZ_LAST,2011-01-04T23:59:00+00:00,2011-01-05T00:01:00+00:00,2011-01-05T00:01:00+00:00,2011-01-05T00:01:00+00:00,2011-01-05T00:02:00+00:00,531361,0,531361,531362,SHORT,RESISTANCE,RESISTANCE,RESISTANCE,SAME_SIDE,1384.4995,1386.9635,1384.4995,1385.833,0.878169245966311,2011-01-04T17:00:00+00:00,2011-01-04T17:30:00+00:00,30min,DOZ_LAST,2011-01-04T20:59:00+00:00,2011-01-04T21:00:00+00:00,SESSION,NY_PM_HIGH,NY_PM,TRANSITION,ASIA_CME,True,True
a2a0a2610b2877e5034c1214,2011,DOZ_BODY_00002425,LONDON_H_00002838,DOZ_BODY_00002425,DISPLACEMENT_ORIGIN,DOZ_BODY,LONDON_H_00002838,OBJECTIVE_LIQUIDITY,LONDON_HIGH,2011-01-11T11:50:00+00:00,2011-01-11T11:50:00+00:00,2011-01-11T11:50:00+00:00,2011-01-11T11:50:00+00:00,2011-01-11T11:51:00+00:00,540710,0,540710,540711,SHORT,RESISTANCE,RESISTANCE,RESISTANCE,SAME_SIDE,1384.961,1385.463,1384.961,1385.4350000000002,0.944223107570129,2011-01-04T17:15:00+00:00,2011-01-04T17:30:00+00:00,15min,DOZ_BODY,2011-01-05T12:59:00+00:00,2011-01-05T13:00:00+00:00,SESSION,LONDON_HIGH,NY_PM,NY_AM,LONDON,True,True
c7c9a418c28c932af73c1de9,2011,DOZ_BODY_00002467,ASIA_CME_L_00002879,DOZ_BODY_00002467,DISPLACEMENT_ORIGIN,DOZ_BODY,ASIA_CME_L_00002879,OBJECTIVE_LIQUIDITY,ASIA_CME_LOW,2011-01-11T14:54:00+00:00,2011-01-11T14:54:00+00:00,2011-01-11T14:54:00+00:00,2011-01-11T14:54:00+00:00,2011-01-11T14:55:00+00:00,540894,0,540894,540895,LONG,SUPPORT,SUPPORT,SUPPORT,SAME_SIDE,1373.825,1374.006,1373.825,1374.006,1.0,2011-01-10T23:45:00+00:00,2011-01-11T00:00:00+00:00,15min,DOZ_BODY,2011-01-11T07:59:00+00:00,2011-01-11T08:00:00+00:00,SESSION,ASIA_CME_LOW,ASIA_CME,LONDON,NY_AM,True,True
438a0110a99a3a46cea5e1ed,2011,DOZ_LAST_00006561,LONDON_H_00002910,DOZ_LAST_00006561,DISPLACEMENT_ORIGIN,DOZ_LAST,LONDON_H_00002910,OBJECTIVE_LIQUIDITY,LONDON_HIGH,2011-01-18T13:46:00+00:00,2011-01-18T13:46:00+00:00,2011-01-18T13:46:00+00:00,2011-01-18T13:46:00+00:00,2011-01-18T13:47:00+00:00,550906,0,550906,550907,SHORT,RESISTANCE,RESISTANCE,RESISTANCE,SAME_SIDE,1374.8495,1376.252,1374.8495,1375.8674999999998,0.7258467023171915,2011-01-14T07:30:00+00:00,2011-01-14T08:30:00+00:00,30min,DOZ_LAST,2011-01-14T12:59:00+00:00,2011-01-14T13:00:00+00:00,SESSION,LONDON_HIGH,LONDON,NY_AM,NY_AM,True,True
28a6e3b7328da99b3104c0c8,2011,DOZ_LAST_00001782,LONDON_L_00002105,DOZ_LAST_00001782,DISPLACEMENT_ORIGIN,DOZ_LAST,LONDON_L_00002105,OBJECTIVE_LIQUIDITY,LONDON_LOW,2011-01-28T01:39:00+00:00,2011-01-28T01:39:00+00:00,2011-01-28T01:39:00+00:00,2011-01-28T01:39:00+00:00,2011-01-28T01:40:00+00:00,564579,0,564579,564580,LONG,SUPPORT,SUPPORT,SUPPORT,SAME_SIDE,1308.458,1309.267,1308.458,1309.267,1.0,2010-10-01T06:30:00+00:00,2010-10-01T07:15:00+00:00,15min,DOZ_LAST,2010-10-01T11:59:00+00:00,2010-10-01T12:00:00+00:00,SESSION,LONDON_LOW,LONDON,NY_AM,ASIA_CME,True,True
6a2fcaf80bd56ff155056b2c,2011,DOZ_BODY_00002674,LONDON_H_00003116,DOZ_BODY_00002674,DISPLACEMENT_ORIGIN,DOZ_BODY,LONDON_H_00003116,OBJECTIVE_LIQUIDITY,LONDON_HIGH,2011-02-10T15:58:00+00:00,2011-02-10T15:58:00+00:00,2011-02-10T15:58:00+00:00,2011-02-10T15:58:00+00:00,2011-02-10T15:59:00+00:00,584158,0,584158,584159,SHORT,RESISTANCE,RESISTANCE,RESISTANCE,SAME_SIDE,1361.007,1361.183,1361.007,1361.183,1.0,2011-02-10T08:15:00+00:00,2011-02-10T08:30:00+00:00,15min,DOZ_BODY,2011-02-10T12:59:00+00:00,2011-02-10T13:00:00+00:00,SESSION,LONDON_HIGH,LONDON,NY_AM,NY_AM,True,True
d34aca5f964d4f0b21cf1165,2011,DOZ_LAST_00006510,LONDON_H_00002828,LONDON_H_00002828,OBJECTIVE_LIQUIDITY,LONDON_HIGH,DOZ_LAST_00006510,DISPLACEMENT_ORIGIN,DOZ_LAST,2011-02-23T15:23:00+00:00,2011-02-23T15:24:00+00:00,2011-02-23T15:24:00+00:00,2011-02-23T15:25:00+00:00,2011-02-23T15:26:00+00:00,602844,1,602845,602846,SHORT,RESISTANCE,RESISTANCE,RESISTANCE,SAME_SIDE,1413.8365000000003,1415.4364999999998,1413.8365000000003,1415.009,0.860234776228631,2011-01-04T07:30:00+00:00,2011-01-04T08:30:00+00:00,30min,DOZ_LAST,2011-01-04T12:59:00+00:00,2011-01-04T13:00:00+00:00,SESSION,LONDON_HIGH,LONDON,NY_AM,NY_AM,True,True
12923f4381a0d99e03bb20a8,2011,DOZ_LAST_00008682,ASIA_CME_H_00002826,ASIA_CME_H_00002826,OBJECTIVE_LIQUIDITY,ASIA_CME_HIGH,DOZ_LAST_00008682,DISPLACEMENT_ORIGIN,DOZ_LAST,2011-02-23T17:53:00+00:00,2011-02-23T17:54:00+00:00,2011-02-23T17:54:00+00:00,2011-02-23T17:55:00+00:00,2011-02-23T17:56:00+00:00,602994,1,602995,602996,SHORT,RESISTANCE,RESISTANCE,RESISTANCE,SAME_SIDE,1416.592,1418.1920000000002,1416.592,1417.326,0.5938511326861565,2011-01-04T06:00:00+00:00,2011-01-04T09:00:00+00:00,1h,DOZ_LAST,2011-01-04T07:59:00+00:00,2011-01-04T08:00:00+00:00,SESSION,ASIA_CME_HIGH,LONDON,LONDON,NY_PM,True,True
