scenario,target_r,dates,draws,seed,observed_mean_net_R,observed_pf_net,mean_ci95_lower,mean_ci95_upper,pf_ci95_lower,pf_ci95_upper,bootstrap_prob_mean_gt_0
S10_C6,0.5,284,20000,20260821,0.12475037673176796,1.5513970754461095,0.05361989681428645,0.1937029806303508,1.195643191901371,2.0832886216879056,0.9995
S10_C6,1.0,284,20000,20260821,0.27348808315957535,1.8248638072208347,0.16825113183342072,0.3779732411620405,1.4379061634425918,2.361010288079358,1.0
S10_C6,1.5,284,20000,20260821,0.28631285412664553,1.6622666702177997,0.15283581898508172,0.4175746318760815,1.3134990655326129,2.105210580964481,1.0
S10_C6,2.0,284,20000,20260821,0.29982679172760224,1.6288039633846265,0.14697933558905635,0.45075184902401244,1.2764440332777653,2.065271972080991,0.9998
S10_C6,2.5,284,20000,20260821,0.2855435586716516,1.5538681478147622,0.11785717595704807,0.4499638643954326,1.2080760261265462,1.973311845188985,0.9996
S10_C6,3.0,284,20000,20260821,0.3181854785435356,1.6011596796421457,0.13887609211455126,0.49766654974701097,1.2387495975886602,2.044999292188569,0.9998
S11_C6_PRIMARY,0.5,284,20000,20260821,0.1204309591347527,1.524585484316686,0.04884391260309765,0.18998752141354108,1.175437138573848,2.045166118996434,0.99935
S11_C6_PRIMARY,1.0,284,20000,20260821,0.2576623461717653,1.7619744184197113,0.1521091544705877,0.3616418091430784,1.3881624190404085,2.269059345085666,1.0
S11_C6_PRIMARY,1.5,284,20000,20260821,0.2799181676273291,1.6470190652401826,0.14788079693452139,0.4105002516686033,1.3026969301274616,2.086903511823432,1.0
S11_C6_PRIMARY,2.0,284,20000,20260821,0.2884902240267216,1.600731314409226,0.13720773941553757,0.4384549757597009,1.256604183260343,2.024094126891284,0.99975
S11_C6_PRIMARY,2.5,284,20000,20260821,0.26651281125963794,1.5136959275100406,0.10158108158734519,0.4315941739502462,1.1784923777072382,1.9245834065706704,0.99925
S11_C6_PRIMARY,3.0,284,20000,20260821,0.30978890849641955,1.5855023614376371,0.13044787864516852,0.48923317246811066,1.2261390555720721,2.027339524536437,0.99975
S12_C6,0.5,284,20000,20260821,0.11611065886659322,1.4986947081553723,0.044505256780467926,0.18556233244850792,1.1581089641889313,1.9991688811273995,0.9992
S12_C6,1.0,284,20000,20260821,0.24013593129321179,1.6962880772695443,0.13430351167290355,0.34332250504022904,1.3368753102954953,2.176397973989884,1.0
S12_C6,1.5,284,20000,20260821,0.26871110679735016,1.6165656972119975,0.1372960755390544,0.39970106989403736,1.2792489165033236,2.047219191937761,1.0
S12_C6,2.0,284,20000,20260821,0.2658428030243444,1.5457787564849372,0.11542963498655462,0.41539399254710924,1.2122164411358023,1.9570704786224709,0.9997
S12_C6,2.5,284,20000,20260821,0.2640814235416946,1.5091791671515773,0.09935421178741201,0.42912075419863216,1.174754265679106,1.9191438489421475,0.99925
S12_C6,3.0,284,20000,20260821,0.3065381530022456,1.5795585679052284,0.12769981822203214,0.4859793325731492,1.2209813478706597,2.0204138888280436,0.9997
S18_C9_STRESS,0.5,284,20000,20260821,0.08615651906619402,1.3491630296410941,0.0136038768785446,0.15572382217311387,1.0457654213191305,1.783628602936432,0.9902
S18_C9_STRESS,1.0,284,20000,20260821,0.1595235238528789,1.4179407598939056,0.053552600430935855,0.2649029719791925,1.1233409417681544,1.8078325558049906,0.99825
S18_C9_STRESS,1.5,284,20000,20260821,0.189605214805733,1.4083898960633814,0.05756402956824438,0.3186153618809247,1.1111585419723966,1.7785574449894603,0.99755
S18_C9_STRESS,2.0,284,20000,20260821,0.21081602724111145,1.4225067495534738,0.06129991487842317,0.3578629312934764,1.111648978701427,1.802553372970624,0.9971
S18_C9_STRESS,2.5,284,20000,20260821,0.18596988267408016,1.3501904072326842,0.02611780032243873,0.3462703762439624,1.044477868614179,1.7227500464671135,0.989
S18_C9_STRESS,3.0,284,20000,20260821,0.20773932181923543,1.3785747563092292,0.03634757203506304,0.380281175198443,1.0610067697506584,1.7663089191471921,0.99065
