scenario,target_r,left_out_year,trades,mean_net_R,sum_net_R,pf_net
S10_C6,0.5,2011,288,0.12102947648828409,34.85648922862582,1.5306227457496284
S10_C6,0.5,2012,290,0.10824005707636275,31.3896165521452,1.456388843413938
S10_C6,0.5,2013,287,0.11758932700456531,33.748136850310246,1.508944838390571
S10_C6,0.5,2014,281,0.11354192568898759,31.90528111860551,1.4823002751914958
S10_C6,0.5,2015,277,0.14033758706148217,38.87351161603056,1.6508456369537126
S10_C6,0.5,2016,282,0.13093911317469623,36.92482991526433,1.591069648125646
S10_C6,0.5,2017,277,0.12605531413501983,34.917322015400494,1.5537630385682475
S10_C6,0.5,2018,268,0.12083182047228344,32.38292788657196,1.5275257871638177
S10_C6,0.5,2019,283,0.1328879208786569,37.6072816086599,1.6018412128894326
S10_C6,0.5,2020,289,0.12177022489981401,35.19159499604625,1.5326625418553008
S10_C6,0.5,2021,286,0.12928370045790066,36.97513833095959,1.5811744375357755
S10_C6,0.5,2022,287,0.13587296015699138,38.995539565056525,1.6228624658742459
S10_C6,0.5,2023,287,0.1343720068603193,38.56476596891164,1.6111238831219779
S10_C6,0.5,2024,287,0.1146754953234914,32.91186715784203,1.4931818170187314
S10_C6,0.5,2025,287,0.12436690090583409,35.69330055997438,1.5516420280444814
S10_C6,1.0,2011,288,0.26529032123890195,76.40361251680376,1.7903078599616653
S10_C6,1.0,2012,290,0.25381337691792605,73.60587930619856,1.7454986562951622
S10_C6,1.0,2013,287,0.27165296029395,77.96439960436363,1.8185112383414774
S10_C6,1.0,2014,281,0.2582879745285158,72.57892084251294,1.755201599430838
S10_C6,1.0,2015,277,0.29652840652778256,82.13836860819578,1.9281906821152899
S10_C6,1.0,2016,282,0.2787672546561979,78.6123658130478,1.850844522080353
S10_C6,1.0,2017,277,0.2840978623843184,78.69510788045619,1.8574390607438256
S10_C6,1.0,2018,268,0.2719158199622745,72.87343974988956,1.8114989257704077
S10_C6,1.0,2019,283,0.2772558462988463,78.46340450257351,1.8412479577384409
