scenario,target_r,months,block_months,draws,seed,observed_mean_monthly_R,observed_annualized_R,mean_monthly_R_ci95_lower,mean_monthly_R_ci95_upper,annualized_R_ci95_lower,annualized_R_ci95_upper
S11_C6_PRIMARY,0.5,180,3,20000,20260822,0.20339450876091567,2.440734105130988,0.08908385929025842,0.3115285819360082,1.069006311483101,3.7383429832320982
S11_C6_PRIMARY,1.0,180,3,20000,20260822,0.435163073534537,5.221956882414444,0.2571917318133685,0.606796998163869,3.086300781760422,7.281563977966428
S11_C6_PRIMARY,1.5,180,3,20000,20260822,0.47275068310393353,5.673008197247203,0.2541597912455287,0.6993870338773583,3.049917494946344,8.3926444065283
S11_C6_PRIMARY,2.0,180,3,20000,20260822,0.4872279339117965,5.846735206941558,0.22985630859171569,0.7381513833805966,2.7582757031005882,8.857816600567158
S11_C6_PRIMARY,2.5,180,3,20000,20260822,0.45011052568294413,5.40132630819533,0.18409542120017916,0.7129404505196645,2.20914505440215,8.555285406235974
S11_C6_PRIMARY,3.0,180,3,20000,20260822,0.5231990454606197,6.278388545527436,0.22303840888251386,0.8285003934013142,2.676460906590166,9.94200472081577
S18_C9_STRESS,0.5,180,3,20000,20260822,0.1455087877562388,1.7461054530748656,0.03078172384885744,0.25544348579413473,0.3693806861862893,3.0653218295296165
S18_C9_STRESS,1.0,180,3,20000,20260822,0.2694175069515288,3.2330100834183453,0.07814601783185132,0.4547079053083102,0.9377522139822159,5.456494863699723
S18_C9_STRESS,1.5,180,3,20000,20260822,0.32022214056079357,3.842665686729523,0.10606398990378278,0.5348483762980194,1.2727678788453933,6.418180515576233
S18_C9_STRESS,2.0,180,3,20000,20260822,0.3560448460072105,4.2725381520865255,0.10995280470986614,0.599301792419059,1.3194336565183937,7.191621509028709
S18_C9_STRESS,2.5,180,3,20000,20260822,0.31408246851622423,3.768989622194691,0.0520220744070904,0.5771682748145829,0.6242648928850848,6.926019297774994
S18_C9_STRESS,3.0,180,3,20000,20260822,0.3508486324058198,4.210183588869838,0.06717775265040322,0.6402358307283149,0.8061330318048388,7.682829968739779
