scenario,sample,entry_model,risk_rule,target_r,dimension,group,trades,sum_net_R,mean_net_R,pos_R,neg_R,pf_net,positive_years,active_years,arch_mean_net_R,arch_pf_net,arch_trades,arch_positive_years,arch_active_years
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,0.5,contact_session,ASIA_CME,42,-22.211099102477025,-0.5288356929161196,6.425150295911011,28.63624939838804,0.2243712228694547,2,13,-0.5005810856225236,0.25076155876094125,208,0,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,0.5,contact_session,LONDON,35,-15.883889344118513,-0.4538254098319575,6.075985505163722,21.959874849282237,0.27668579838752205,3,14,-0.5005810856225236,0.25076155876094125,208,0,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,0.5,contact_session,NY_AM,102,-59.509091481924315,-0.583422465509062,15.421962664450028,74.93105414637434,0.2058153704113643,0,15,-0.5005810856225236,0.25076155876094125,208,0,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,0.5,contact_session,NY_PM,28,-5.26885199666747,-0.18817328559526678,6.924967480940056,12.193819477607523,0.5679079876208536,4,12,-0.5005810856225236,0.25076155876094125,208,0,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,0.5,contact_session,TRANSITION,1,-1.2479338842975598,-1.2479338842975598,0.0,1.2479338842975598,0.0,0,1,-0.5005810856225236,0.25076155876094125,208,0,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,0.5,direction,LONG,99,-53.76059102667576,-0.5430362729967249,15.134252341631997,68.89484336830775,0.21967177225043072,0,15,-0.5005810856225236,0.25076155876094125,208,0,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,0.5,direction,SHORT,109,-50.36027478280913,-0.46202086956705624,19.713813604832822,70.07408838764195,0.2813281493692537,1,15,-0.5005810856225236,0.25076155876094125,208,0,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,0.5,entry_session,ASIA_CME,40,-22.914020048293164,-0.572850501207329,5.72222935009487,28.63624939838804,0.19982467921993233,2,13,-0.5005810856225236,0.25076155876094125,208,0,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,0.5,entry_session,LONDON,35,-15.866942316570462,-0.45334120904487035,6.0929325327117745,21.959874849282237,0.2774575253515583,3,14,-0.5005810856225236,0.25076155876094125,208,0,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,0.5,entry_session,NY_AM,104,-58.823117563656226,-0.5656068996505407,16.107936582718114,74.93105414637434,0.21497010506821387,0,15,-0.5005810856225236,0.25076155876094125,208,0,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,0.5,entry_session,NY_PM,28,-5.26885199666747,-0.18817328559526678,6.924967480940056,12.193819477607523,0.5679079876208536,4,12,-0.5005810856225236,0.25076155876094125,208,0,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,0.5,entry_session,TRANSITION,1,-1.2479338842975598,-1.2479338842975598,0.0,1.2479338842975598,0.0,0,1,-0.5005810856225236,0.25076155876094125,208,0,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,0.5,relevant_age_bucket,1-3d,29,-10.693737866654796,-0.36874958160878607,5.711739267584573,16.405477134239366,0.3481605088866192,3,13,-0.5005810856225236,0.25076155876094125,208,0,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,0.5,relevant_age_bucket,1-4h,59,-25.07445714479195,-0.42499079906427034,10.611580725450267,35.68603787024221,0.29735945368984285,1,15,-0.5005810856225236,0.25076155876094125,208,0,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,0.5,relevant_age_bucket,12-24h,27,-14.662614417032788,-0.5430597932234366,4.760367930641142,19.42298234767393,0.24508944329093918,3,14,-0.5005810856225236,0.25076155876094125,208,0,15
