sample,entry_model,risk_rule,dimension,group,architecture_status,signal_label,rr15_trades,rr15_primary_mean,rr15_primary_pf,rr15_primary_positive_years,rr15_stress_mean,rr15_stress_pf,rr15_stress_positive_years,rr_positive_primary_and_stress,rr_outperform_architecture_primary_and_stress,rr15_primary_delta_vs_arch,rr15_stress_delta_vs_arch
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,contact_session,ASIA_CME,FULLY_REJECTED,NO_FROZEN_SIGNAL,42,-0.41513670380988554,0.48651703261226936,4,-0.48703277887051943,0.4247469829244865,4,0,0,-0.0519211584990078,-0.08509000031604369
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,contact_session,LONDON,FULLY_REJECTED,NO_FROZEN_SIGNAL,35,-0.20346047222720628,0.7166185424257844,8,-0.2667868870768826,0.646081661667317,8,0,6,0.15975507308367146,0.13515589147759316
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,contact_session,NY_AM,FULLY_REJECTED,NO_FROZEN_SIGNAL,102,-0.4640090861793665,0.4475585330060826,2,-0.46813559481648936,0.4502700053471749,2,0,0,-0.10079354086848874,-0.06619281626201362
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,contact_session,NY_PM,FULLY_REJECTED,NO_FROZEN_SIGNAL,27,-0.0766972358333726,0.8821349868874048,7,-0.15918083994667537,0.7614377201828544,8,0,6,0.2865183094775051,0.24276193860780038
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,contact_session,TRANSITION,FULLY_REJECTED,NO_FROZEN_SIGNAL,1,-1.2290076335878355,0.0,0,-1.2263681592040248,0.0,0,0,0,-0.8657920882769577,-0.824425380649549
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,direction,LONG,FULLY_REJECTED,NO_FROZEN_SIGNAL,98,-0.39974226128618584,0.5010424890733358,3,-0.456396190608834,0.4490375253771262,3,0,0,-0.0365267159753081,-0.054453412054358274
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,direction,SHORT,FULLY_REJECTED,NO_FROZEN_SIGNAL,109,-0.3303750116817015,0.5765543609987839,5,-0.35348423755197333,0.5568233211857753,6,0,6,0.032840533629176216,0.04845854100250241
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,entry_session,ASIA_CME,FULLY_REJECTED,NO_FROZEN_SIGNAL,40,-0.5036565994445306,0.40669208857677985,3,-0.5787074154929431,0.3490157791875819,4,0,0,-0.14044105413365282,-0.1767646369384674
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,entry_session,LONDON,FULLY_REJECTED,NO_FROZEN_SIGNAL,35,-0.20303212663258963,0.7172151457739395,7,-0.21908695190389355,0.7008119610747735,8,0,5,0.16018341867828811,0.1828558266505822
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,entry_session,NY_AM,FULLY_REJECTED,NO_FROZEN_SIGNAL,104,-0.42916727373404745,0.47902180137861716,2,-0.4510642874573178,0.46512380925455793,3,0,0,-0.06595172842316971,-0.04912150890284206
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,entry_session,NY_PM,FULLY_REJECTED,NO_FROZEN_SIGNAL,27,-0.0766972358333726,0.8821349868874048,7,-0.15918083994667537,0.7614377201828544,8,0,6,0.2865183094775051,0.24276193860780038
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,entry_session,TRANSITION,FULLY_REJECTED,NO_FROZEN_SIGNAL,1,-1.2290076335878355,0.0,0,-1.2263681592040248,0.0,0,0,0,-0.8657920882769577,-0.824425380649549
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,relevant_age_bucket,1-3d,FULLY_REJECTED,NO_FROZEN_SIGNAL,29,-0.3148243656769502,0.5796249963880223,5,-0.5641140608820213,0.33995096671724845,4,0,1,0.04839117963392753,-0.16217128232754557
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,relevant_age_bucket,1-4h,FULLY_REJECTED,NO_FROZEN_SIGNAL,59,-0.15698194250534092,0.7734466965504148,7,-0.24902645455021757,0.6637080217724144,5,0,6,0.20623360280553682,0.15291632400425817
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,relevant_age_bucket,12-24h,FULLY_REJECTED,NO_FROZEN_SIGNAL,27,-0.5580735281923778,0.3984513343148116,4,-0.3085002709189017,0.6254281187228607,6,0,0,-0.19485798288150002,0.09344250763557405
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,relevant_age_bucket,3-7d,FULLY_REJECTED,NO_FROZEN_SIGNAL,9,-0.8302242672658976,0.15808333562654361,1,-0.5733454729134325,0.3498503929217426,2,0,0,-0.46700872195501986,-0.17140269435895678
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,relevant_age_bucket,4-12h,FULLY_REJECTED,NO_FROZEN_SIGNAL,33,-0.28603266290526985,0.6243014281666327,5,-0.30465196922463866,0.6052153514783173,6,0,6,0.07718288240560789,0.09729080932983708
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,relevant_age_bucket,7-30d,FULLY_REJECTED,NO_FROZEN_SIGNAL,11,-0.8542418954385659,0.12971111906762106,1,-1.1036406208945875,0.0,0,0,0,-0.49102635012768814,-0.7016978423401117
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,relevant_age_bucket,<1h,FULLY_REJECTED,NO_FROZEN_SIGNAL,27,-0.2778482669583809,0.6294449795566212,6,-0.2996277601386953,0.6078063169799341,6,0,4,0.08536727835249686,0.10231501841578045
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,relevant_age_bucket,>=30d,FULLY_REJECTED,NO_FROZEN_SIGNAL,12,-0.6596775888952774,0.27143155530814106,1,-0.6853535286417675,0.26234667106756465,1,0,0,-0.29646204358439965,-0.2834107500872917
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,relevant_source_tf,15min,FULLY_REJECTED,NO_FROZEN_SIGNAL,129,-0.4202906951830978,0.487250689311851,1,-0.4377851815431224,0.4761858871681275,2,0,2,-0.057075149872220066,-0.03584240298864666
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,relevant_source_tf,1h,FULLY_REJECTED,NO_FROZEN_SIGNAL,26,-0.4214728838760499,0.4751087318006031,3,-0.3497105579327883,0.5521462265819426,3,0,3,-0.05825733856517218,0.05223222062168742
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,relevant_source_tf,30min,FULLY_REJECTED,NO_FROZEN_SIGNAL,52,-0.19249660038374555,0.7290219604331052,6,-0.33983143535480453,0.558339640972946,4,0,2,0.1707189449271322,0.06211134319967121
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,relevant_variant,DOZ_BODY,FULLY_REJECTED,NO_FROZEN_SIGNAL,205,-0.3565602240278901,0.5473019767211432,1,-0.3954681530227423,0.5115500771664666,1,0,4,0.006655321282987625,0.006474625531733447
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,relevant_variant,DOZ_LAST,FULLY_REJECTED,NO_FROZEN_SIGNAL,2,-1.045385976817109,0.0,0,-1.0623545827912864,0.0,0,1,2,-0.6821704315062312,-0.6604118042368106
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,ASIA_CME->ASIA_CME,FULLY_REJECTED,NO_FROZEN_SIGNAL,21,-0.3070687446815393,0.6043605112703758,4,-0.19970061553147916,0.7250211258012935,5,0,4,0.05614680062933847,0.20224216302299658
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,ASIA_CME->LONDON,FULLY_REJECTED,NO_FROZEN_SIGNAL,15,-0.47857831414514806,0.4324177967581503,3,-0.6606014781471924,0.29013921999612047,2,0,0,-0.11536276883427032,-0.25865869959271665
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,ASIA_CME->NY_AM,FULLY_REJECTED,NO_FROZEN_SIGNAL,18,-0.8402837983554943,0.21828396612002604,2,-0.8679705331004741,0.21139463593772906,2,0,0,-0.47706825304461653,-0.4660277545459984
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,ASIA_CME->NY_PM,FULLY_REJECTED,NO_FROZEN_SIGNAL,3,-0.3089438552840545,0.600376814684942,1,0.48764602521421163,2.2235482087192113,2,2,5,0.05427169002682325,0.8895888037686874
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,LONDON->ASIA_CME,FULLY_REJECTED,NO_FROZEN_SIGNAL,4,-0.4756550105197367,0.40610216823346096,1,-1.1169288721617283,0.0,0,0,0,-0.11243946520885895,-0.7149860936072525
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,LONDON->LONDON,FULLY_REJECTED,NO_FROZEN_SIGNAL,12,0.1109064716901992,1.19287236729527,5,-0.11066566561101936,0.8385473768145378,4,0,6,0.4741220170010769,0.2912771129434564
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,LONDON->NY_AM,FULLY_REJECTED,NO_FROZEN_SIGNAL,35,-0.11433604928942372,0.8304922609019262,8,-0.2591610559326973,0.6528400554205571,7,0,6,0.24887949602145404,0.14278172262177846
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,LONDON->NY_PM,FULLY_REJECTED,NO_FROZEN_SIGNAL,5,-1.0521618571174538,0.0,0,-1.0712004731500042,0.0,0,0,0,-0.6889463118065761,-0.6692576945955284
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_AM->ASIA_CME,FULLY_REJECTED,NO_FROZEN_SIGNAL,7,-1.1579921259376549,0.0,0,-1.1655570174837777,0.0,0,0,0,-0.7947765806267771,-0.7636142389293019
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_AM->LONDON,FULLY_REJECTED,NO_FROZEN_SIGNAL,6,-0.263901594349738,0.6461325539584621,2,0.13326833418844156,1.2320968641522996,3,0,3,0.09931395096113976,0.5352111127429173
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_AM->NY_AM,FULLY_REJECTED,NO_FROZEN_SIGNAL,43,-0.4459191039817026,0.45099050422166476,3,-0.3584119837064833,0.5415581066021244,4,0,0,-0.08270355867082485,0.04353079484799244
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_AM->NY_PM,FULLY_REJECTED,NO_FROZEN_SIGNAL,10,0.6750923845997094,3.1844810584661714,6,0.3973727830161895,1.9313763205638579,6,6,6,1.0383079299105873,0.7993155615706653
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_PM->ASIA_CME,FULLY_REJECTED,NO_FROZEN_SIGNAL,6,-0.6496128169602261,0.26053770198623527,1,-0.6663974700914712,0.2528737385314476,1,0,1,-0.28639727164934836,-0.26445469153699547
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_PM->LONDON,FULLY_REJECTED,NO_FROZEN_SIGNAL,2,0.16254109292631047,1.293824283366796,1,1.384678418886597,inf,2,4,6,0.5257566382371882,1.7866211974410728
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_PM->NY_AM,FULLY_REJECTED,NO_FROZEN_SIGNAL,8,-0.7915006126998742,0.18715144968754738,1,-0.8266201014005896,0.17849337067643592,1,0,0,-0.4282850673889964,-0.42467732284611387
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_PM->NY_PM,FULLY_REJECTED,NO_FROZEN_SIGNAL,9,-0.29267870689541337,0.6181893628710476,3,-0.48650513540163803,0.3916659611471581,2,0,1,0.07053683841546438,-0.08456235684716229
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_PM->TRANSITION,FULLY_REJECTED,NO_FROZEN_SIGNAL,1,-1.2290076335878355,0.0,0,-1.2263681592040248,0.0,0,0,0,-0.8657920882769577,-0.824425380649549
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_activation_to_entry,TRANSITION->ASIA_CME,FULLY_REJECTED,NO_FROZEN_SIGNAL,2,0.10421074296749355,1.1936058467900046,1,-1.164792130987239,0.0,0,0,0,0.4674262882783713,-0.7628493524327633
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_origin_to_entry,ASIA_CME->ASIA_CME,FULLY_REJECTED,NO_FROZEN_SIGNAL,18,-0.28973820159473157,0.6212589029813678,3,-0.16642247105096064,0.7652447081517761,4,0,4,0.07347734371614617,0.2355203075035151
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,transition:DISPLACEMENT_ORIGIN_origin_to_entry,ASIA_CME->LONDON,FULLY_REJECTED,NO_FROZEN_SIGNAL,18,-0.3117389980734711,0.5931255611581825,4,-0.4655077847612894,0.445036150034619,4,0,1,0.051476547237406634,-0.06356500620681366
