sample,entry_model,risk_rule,canonical_entries,causal_clean_entries,causal_invalid_entries,causal_invalid_pct,architecture_status
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,827,827,0,0.0,FULLY_REJECTED
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,55568,55568,0,0.0,FULLY_REJECTED
DISPLACEMENT_ORIGIN_ONLY,FAILED_AUCTION,STRUCTURAL,11692,11692,0,0.0,FULLY_REJECTED
DISPLACEMENT_ORIGIN_ONLY,PASSIVE_TOUCH,STRUCTURAL,28629,28629,0,0.0,FULLY_REJECTED
DISPLACEMENT_ORIGIN_ONLY,RECLAIM_PULLBACK,STRUCTURAL,48598,48598,0,0.0,FULLY_REJECTED
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,69759,69759,0,0.0,FULLY_REJECTED
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.50,69759,69759,0,0.0,FULLY_REJECTED
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.75,69759,69759,0,0.0,FULLY_REJECTED
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_1.00,69759,69759,0,0.0,FULLY_REJECTED
DOZ_OBJECTIVE_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,199,199,0,0.0,
DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,STRUCTURAL,1216,1208,8,0.6578947368421053,VALIDATED_REFERENCE
DOZ_OBJECTIVE_ONLY,FAILED_AUCTION,STRUCTURAL,1784,1780,4,0.2242152466367713,FULLY_REJECTED
DOZ_OBJECTIVE_ONLY,PASSIVE_TOUCH,STRUCTURAL,2751,2739,12,0.4362050163576881,FULLY_REJECTED
DOZ_OBJECTIVE_ONLY,RECLAIM_PULLBACK,STRUCTURAL,1987,1979,8,0.40261701056869653,FULLY_REJECTED
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,3034,3014,20,0.6591957811470006,FULLY_REJECTED
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.50,3034,3014,20,0.6591957811470006,PARTIALLY_SURVIVING
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.75,3034,3014,20,0.6591957811470006,PARTIALLY_SURVIVING
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_1.00,3034,3014,20,0.6591957811470006,FULLY_REJECTED
MEMORY_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1537,1537,0,0.0,FULLY_REJECTED
MEMORY_ONLY,CLEAN_REJECTION,STRUCTURAL,18791,18791,0,0.0,FULLY_REJECTED
MEMORY_ONLY,FAILED_AUCTION,STRUCTURAL,4181,4181,0,0.0,FULLY_REJECTED
MEMORY_ONLY,PASSIVE_TOUCH,STRUCTURAL,19141,19141,0,0.0,FULLY_REJECTED
MEMORY_ONLY,RECLAIM_PULLBACK,STRUCTURAL,18165,18165,0,0.0,FULLY_REJECTED
MEMORY_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,27975,27975,0,0.0,FULLY_REJECTED
MEMORY_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.50,27975,27975,0,0.0,FULLY_REJECTED
MEMORY_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.75,27975,27975,0,0.0,FULLY_REJECTED
MEMORY_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_1.00,27975,27975,0,0.0,FULLY_REJECTED
OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,2426,2426,0,0.0,FULLY_REJECTED
OBJECTIVE_LIQUIDITY_ONLY,CLEAN_REJECTION,STRUCTURAL,87008,87008,0,0.0,FULLY_REJECTED
OBJECTIVE_LIQUIDITY_ONLY,FAILED_AUCTION,STRUCTURAL,16400,16400,0,0.0,FULLY_REJECTED
OBJECTIVE_LIQUIDITY_ONLY,PASSIVE_TOUCH,STRUCTURAL,61774,61774,0,0.0,FULLY_REJECTED
OBJECTIVE_LIQUIDITY_ONLY,RECLAIM_PULLBACK,STRUCTURAL,74703,74703,0,0.0,FULLY_REJECTED
OBJECTIVE_LIQUIDITY_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,115893,115893,0,0.0,FULLY_REJECTED
OBJECTIVE_LIQUIDITY_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.50,115893,115893,0,0.0,FULLY_REJECTED
OBJECTIVE_LIQUIDITY_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.75,115893,115893,0,0.0,FULLY_REJECTED
OBJECTIVE_LIQUIDITY_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_1.00,115893,115893,0,0.0,FULLY_REJECTED
