dimension,group,fully_rejected_architectures_observed,eligible_architectures_n50,repeated_signal_architectures,robust_signal_architectures,median_primary_delta_rr15,median_stress_delta_rr15,primary_and_stress_positive_rr15_architectures
transition:DISPLACEMENT_ORIGIN_activation_to_entry,LONDON->NY_AM,14,13,7,6,0.09020328389074118,0.06889462085094458,9
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,TRANSITION->TRANSITION,14,7,7,6,0.11264366274458713,0.10741187855546437,7
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,NY_PM->TRANSITION,14,7,7,6,0.12638466192878986,0.12103199134430812,7
contact_session,TRANSITION,32,22,6,6,0.01591341086165666,0.001298241861540303,7
entry_session,TRANSITION,32,22,6,6,0.0030724199088927925,-0.001972788585251826,6
relevant_age_bucket,7-30d,32,21,6,6,0.0482737021957276,0.05943519542404314,7
relevant_source_tf,30min,14,14,6,6,0.03080286028772949,0.028774786292311196,6
relevant_age_bucket,1-3d,32,27,10,5,0.02424289818005288,0.030029956929316565,10
transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_PM->ASIA_CME,14,8,6,5,0.09731708122020777,0.10910097631300306,7
transition:MEMORY_activation_to_entry,ASIA_CME->LONDON,9,7,6,5,0.2794087233987231,0.28563416584252377,6
relevant_age_bucket,3-7d,32,21,5,5,-0.0014207339435160136,0.003145613970586332,5
transition:DISPLACEMENT_ORIGIN_origin_to_entry,LONDON->NY_AM,14,13,5,5,0.0541497814269981,0.04169832373762297,6
relevant_variant,NY_PM_LOW,9,8,5,5,0.10608300617410979,0.094998392794529,6
transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_AM->LONDON,14,8,5,5,0.05714994152699064,0.0583755825521717,5
transition:DISPLACEMENT_ORIGIN_origin_to_entry,LONDON->ASIA_CME,14,7,5,5,0.06702516225920452,0.04195672671660015,5
relevant_age_bucket,4-12h,32,29,6,4,0.026959727176597573,0.02445083421070876,6
transition:DISPLACEMENT_ORIGIN_origin_to_entry,ASIA_CME->NY_AM,14,13,5,4,0.06161997475336789,0.05977119239714018,6
transition:DISPLACEMENT_ORIGIN_origin_to_entry,NY_PM->NY_AM,14,8,5,4,0.030525245579685396,0.05118286488018109,5
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,NY_PM->NY_PM,14,8,4,4,0.06478952621858056,0.06703787510710661,5
transition:DISPLACEMENT_ORIGIN_origin_to_entry,NY_PM->ASIA_CME,14,8,6,3,0.058078647403627406,0.05867448904188816,6
transition:DISPLACEMENT_ORIGIN_activation_to_entry,ASIA_CME->NY_AM,14,13,5,3,0.02208627435301133,0.009691154974801108,5
transition:DISPLACEMENT_ORIGIN_origin_to_entry,NY_AM->LONDON,14,8,5,3,0.054951117897852765,0.06910336559471739,5
entry_session,NY_AM,32,32,4,3,0.01704368210351219,0.021936053847060526,7
contact_session,NY_AM,32,32,4,2,0.017343112599068414,0.020557360163215,7
relevant_age_bucket,>=30d,32,21,2,2,0.00791567938043385,0.014843521507142673,3
transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_AM->ASIA_CME,14,10,2,2,0.006834952457937967,0.011897474668442733,2
transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_PM->NY_AM,14,8,2,2,0.023228936196272282,0.02722134273483702,4
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,TRANSITION->NY_PM,14,8,2,2,0.0777677519657032,0.06251040714093145,5
relevant_age_bucket,12-24h,32,28,7,1,0.01857589702848355,0.02436304161916438,10
transition:MEMORY_activation_to_entry,LONDON->NY_AM,9,7,3,1,0.1725642434140396,0.16013058552540743,3
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,NY_AM->NY_AM,14,14,2,1,0.03494232916000408,0.026159405149251982,2
